Team 1,Team 1 Score,Team 2,Team 2 Score,Date
UCLA,3,Daemen,0,01-02-2020
King (TN),1,Loyola Chicago,3,01-02-2020
Princeton,2,Southern California,3,01-02-2020
BYU,3,Loyola Chicago,1,01-03-2020
North Greenville,3,Urbana,1,01-03-2020
King (TN),0,Lewis,3,01-03-2020
Charleston (WV),0,Hawaii,3,01-03-2020
Menlo,0,Stanford,3,01-03-2020
UC Santa Cruz,0,Stanford,3,01-04-2020
Charleston (WV),0,Hawaii,3,01-04-2020
North Greenville,0,Ohio St.,3,01-04-2020
UCLA,3,George Mason,0,01-04-2020
BYU,3,Lewis,1,01-04-2020
Cal Lutheran,0,Pepperdine,3,01-05-2020
UCLA,3,Princeton,2,01-06-2020
St. Katherine,1,Concordia (CA),3,01-06-2020
Urbana,0,Ohio St.,3,01-07-2020
Mount Olive,0,Lincoln Memorial,3,01-07-2020
Stanford,2,Saint Francis (PA),3,01-08-2020
Concordia (CA),0,UC Santa Barbara,3,01-09-2020
McKendree,3,CSUN,2,01-09-2020
Mount Olive,3,Lindenwood (MO),0,01-09-2020
Belmont Abbey,3,Indiana Tech,0,01-09-2020
Lewis,3,UC Irvine,2,01-09-2020
Emmanuel (GA),0,Hawaii,3,01-09-2020
Loyola Chicago,2,UC San Diego,3,01-09-2020
Saint Francis (PA),0,Ohio St.,3,01-09-2020
Benedictine Mesa,0,Long Beach St.,3,01-09-2020
Harvard,3,Grand Canyon,0,01-09-2020
McKendree,1,Long Beach St.,3,01-10-2020
Mount Olive,3,Quincy,0,01-10-2020
NJIT,1,Stanford,3,01-10-2020
Benedictine Mesa,0,UC Santa Barbara,3,01-10-2020
St. Francis Brooklyn,0,Sacred Heart,3,01-10-2020
Harvard,0,Hawaii,3,01-10-2020
Loyola Chicago,1,UC Irvine,3,01-10-2020
Urbana,0,King (TN),3,01-10-2020
Southern California,0,George Mason,3,01-10-2020
Penn St.,0,BYU,3,01-10-2020
Lincoln Memorial,1,Lindenwood (MO),3,01-10-2020
Grand Canyon,3,Emmanuel (GA),0,01-10-2020
Queens (NC),1,Purdue Fort Wayne,3,01-10-2020
Belmont Abbey,0,Ball St.,3,01-10-2020
Princeton,3,Charleston (WV),0,01-10-2020
Concordia (CA),3,CSUN,2,01-10-2020
Urbana,0,Tusculum,3,01-11-2020
Belmont Abbey,0,Purdue Fort Wayne,3,01-11-2020
Benedictine Mesa,0,CSUN,3,01-11-2020
Mount Olive,3,Urbana,0,01-11-2020
Princeton,3,Charleston (WV),0,01-11-2020
Emmanuel (GA),0,Harvard,3,01-11-2020
Penn St.,0,BYU,3,01-11-2020
Southern California,0,NJIT,3,01-11-2020
Concordia (CA),2,Long Beach St.,3,01-11-2020
Mount Olive,3,Tusculum,0,01-11-2020
Lincoln Memorial,3,Quincy,0,01-11-2020
Lewis,3,UC San Diego,0,01-11-2020
Grand Canyon,0,Hawaii,3,01-11-2020
Queens (NC),0,Ball St.,3,01-11-2020
Stanford,3,George Mason,0,01-11-2020
McKendree,0,UC Santa Barbara,3,01-11-2020
Lincoln Memorial,3,Tusculum,0,01-14-2020
Wittenberg,3,Urbana,2,01-14-2020
Pepperdine,3,Daemen,0,01-14-2020
Vassar,0,UC San Diego,3,01-15-2020
Purdue Fort Wayne,3,CSUN,0,01-15-2020
Pepperdine,3,Harvard,1,01-15-2020
Harvard,3,Daemen,1,01-16-2020
Sacred Heart,,Springfield,,01-16-2020
Concordia (CA),3,Southern California,0,01-16-2020
Belmont Abbey,1,Queens (NC),3,01-16-2020
Lincoln Memorial,1,Ohio St.,3,01-16-2020
Park (AZ),0,Grand Canyon,3,01-17-2020
Mo. Baptist,3,Quincy,2,01-17-2020
Tusculum,1,North Greenville,3,01-17-2020
Purdue Fort Wayne,0,UC Santa Barbara,3,01-17-2020
King (TN),0,Ohio St.,3,01-17-2020
NJIT,2,McKendree,3,01-17-2020
Erskine,1,Charleston (WV),3,01-17-2020
Southern California,1,Long Beach St.,3,01-17-2020
Saint Francis (PA),1,Lindenwood (MO),3,01-17-2020
Stanford,1,UC Irvine,3,01-17-2020
BYU,3,Mount Olive,0,01-17-2020
UCLA,0,UC San Diego,3,01-17-2020
Ball St.,3,CSUN,2,01-17-2020
Hawaii,3,Lewis,1,01-17-2020
Penn St.,3,Loyola Chicago,0,01-17-2020
Lees-McRae,1,Queens (NC),3,01-17-2020
Pepperdine,1,George Mason,3,01-17-2020
Baruch,0,St. Francis Brooklyn,3,01-18-2020
BYU,3,Mount Olive,0,01-18-2020
Tusculum,0,Belmont Abbey,3,01-18-2020
Hawaii,3,Loyola Chicago,1,01-18-2020
Benedictine Mesa,0,Quincy,3,01-18-2020
UC San Diego,1,Grand Canyon,3,01-18-2020
Penn St.,3,Lewis,2,01-18-2020
Ball St.,0,UC Santa Barbara,3,01-18-2020
Limestone,3,Charleston (WV),2,01-18-2020
Saint Francis (PA),0,McKendree,3,01-18-2020
NJIT,3,Lindenwood (MO),1,01-18-2020
Erskine,3,Bluefield Col.,0,01-18-2020
Campbellsville,3,Quincy,1,01-19-2020
Hawaii,3,Lincoln Memorial,0,01-20-2020
Belmont Abbey,0,Mount Olive,3,01-21-2020
Alderson Broaddus,0,Geneva,3,01-21-2020
Emmanuel (GA),0,North Greenville,3,01-21-2020
Erskine,0,Limestone,3,01-21-2020
Hawaii,3,King (TN),0,01-21-2020
Queens (NC),2,Barton,3,01-22-2020
BYU,3,UC Irvine,1,01-22-2020
Concordia (CA),,Vanguard,,01-22-2020
Purdue Fort Wayne,0,NJIT,3,01-23-2020
UC San Diego,3,Lindenwood (MO),2,01-23-2020
Ball St.,2,George Mason,3,01-23-2020
McKendree,1,Grand Canyon,3,01-24-2020
UC San Diego,3,Quincy,0,01-24-2020
Southern California,0,Ohio St.,3,01-24-2020
Barton,3,Emmanuel (GA),0,01-24-2020
Mount Olive,3,Erskine,0,01-24-2020
Urbana,0,Lewis,3,01-24-2020
Saint Francis (PA),3,King (TN),2,01-24-2020
Charleston (WV),1,Loyola Chicago,3,01-24-2020
Menlo,3,CSUN,1,01-24-2020
BYU,3,UC Irvine,1,01-24-2020
UCLA,0,Penn St.,3,01-24-2020
Lees-McRae,0,Lindenwood (MO),3,01-24-2020
Sacred Heart,3,Arcadia,1,01-25-2020
Sacred Heart,3,St. Joseph's (L.I.),0,01-25-2020
Purdue Fort Wayne,3,George Mason,1,01-25-2020
Grand Canyon,3,Lindenwood (MO),0,01-25-2020
Urbana,0,Loyola Chicago,3,01-25-2020
Pepperdine,1,Long Beach St.,3,01-25-2020
Cal Lutheran,0,CSUN,3,01-25-2020
Ball St.,0,NJIT,3,01-25-2020
UC Santa Barbara,3,Stanford,0,01-25-2020
St. Francis Brooklyn,3,Elms,2,01-25-2020
UC San Diego,3,McKendree,2,01-25-2020
Limestone,3,Queens (NC),0,01-25-2020
Lees-McRae,0,Quincy,3,01-25-2020
Belmont Abbey,2,King (TN),3,01-25-2020
Mount Olive,3,Emmanuel (GA),0,01-25-2020
St. Andrews,3,Alderson Broaddus,0,01-25-2020
Saint Francis (PA),2,Lincoln Memorial,3,01-25-2020
Barton,3,Erskine,0,01-25-2020
Bluefield Col.,0,Tusculum,3,01-25-2020
Charleston (WV),0,Lewis,3,01-25-2020
Lees-McRae,0,McKendree,3,01-26-2020
Grand Canyon,3,Quincy,0,01-26-2020
Daemen,3,D'Youville,0,01-26-2020
UCLA,3,Ohio St.,1,01-26-2020
Southern California,2,Penn St.,3,01-26-2020
Princeton,1,UC San Diego,3,01-28-2020
St. Andrews,0,Erskine,3,01-28-2020
North Greenville,1,Queens (NC),3,01-28-2020
Benedictine Mesa,0,Grand Canyon,3,01-29-2020
St. Andrews,0,Limestone,3,01-29-2020
Concordia (CA),1,UC Irvine,3,01-30-2020
Princeton,3,UCLA,1,01-30-2020
Lewis,3,Barton,0,01-31-2020
Harvard,3,Sacred Heart,1,01-31-2020
Queens (NC),3,Charleston (WV),1,01-31-2020
Lees-McRae,0,King (TN),3,01-31-2020
UC Santa Barbara,1,BYU,3,01-31-2020
Wittenberg,1,Daemen,3,01-31-2020
Ball St.,3,Penn St.,0,01-31-2020
Loyola Chicago,0,George Mason,3,01-31-2020
North Greenville,3,Erskine,1,01-31-2020
Urbana,0,McKendree,3,01-31-2020
Ohio St.,3,Saint Francis (PA),0,01-31-2020
Southern California,3,CSUN,2,01-31-2020
Limestone,2,Emmanuel (GA),3,01-31-2020
Concordia (CA),3,UC San Diego,1,01-31-2020
Tusculum,0,Lindenwood (MO),3,01-31-2020
Belmont Abbey,0,Lincoln Memorial,3,01-31-2020
St. John Fisher,3,Daemen,1,02-01-2020
Webber Int'l,3,Erskine,1,02-01-2020
Urbana,1,Lindenwood (MO),3,02-01-2020
Princeton,3,CSUN,0,02-01-2020
Lewis,3,George Mason,0,02-01-2020
UCLA,3,Long Beach St.,1,02-01-2020
Ball St.,3,Saint Francis (PA),0,02-01-2020
Ohio St.,3,Penn St.,0,02-01-2020
Tusculum,0,McKendree,3,02-01-2020
Wittenberg,3,Alderson Broaddus,0,02-01-2020
UC Irvine,3,Southern California,1,02-01-2020
Quincy,2,St. Xavier,3,02-01-2020
Stanford,0,Grand Canyon,3,02-01-2020
UC Santa Barbara,2,BYU,3,02-01-2020
Alderson Broaddus,0,Daemen,3,02-01-2020
St. Francis Brooklyn,0,NJIT,3,02-01-2020
Loyola Chicago,0,Barton,3,02-01-2020
Belmont Abbey,3,Lees-McRae,1,02-01-2020
St. Francis Brooklyn,1,Harvard,3,02-02-2020
UC San Diego,3,Concordia (CA),0,02-04-2020
North Greenville,0,Limestone,3,02-04-2020
Concordia (CA),1,UC Irvine,3,02-06-2020
Pepperdine,3,Stanford,2,02-06-2020
Queens (NC),0,Hawaii,3,02-06-2020
Campbellsville,2,Belmont Abbey,3,02-06-2020
Urbana,0,Ball St.,3,02-06-2020
Southern California,1,UC San Diego,3,02-06-2020
UCLA,0,BYU,3,02-06-2020
Long Beach St.,3,Penn St.,1,02-07-2020
UC Irvine,3,Queens (NC),1,02-07-2020
Princeton,3,NJIT,0,02-07-2020
Concordia (CA),0,Hawaii,3,02-07-2020
Campbellsville,0,Limestone,3,02-07-2020
Barton,1,Harvard,3,02-07-2020
Urbana,0,Purdue Fort Wayne,3,02-07-2020
Erskine,3,Lees-McRae,0,02-07-2020
McKendree,3,Lewis,2,02-07-2020
Emmanuel (GA),1,King (TN),3,02-07-2020
UC Santa Barbara,3,Ohio St.,1,02-07-2020
CSUN,1,Lindenwood (MO),3,02-07-2020
Mount Olive,1,Sacred Heart,3,02-07-2020
George Mason,3,Charleston (WV),0,02-07-2020
Erskine,0,King (TN),3,02-08-2020
UC Irvine,0,Hawaii,3,02-08-2020
Tusculum,0,Charleston (WV),3,02-08-2020
CSUN,2,Lindenwood (MO),3,02-08-2020
Grand Canyon,3,Southern California,0,02-08-2020
Vanguard,0,UC San Diego,3,02-08-2020
St. Francis Brooklyn,0,Saint Francis (PA),3,02-08-2020
Barton,3,Sacred Heart,0,02-08-2020
Daemen,0,Ball St.,3,02-08-2020
Grand View,3,Quincy,0,02-08-2020
UC Santa Barbara,3,Penn St.,2,02-08-2020
Long Beach St.,3,Ohio St.,1,02-08-2020
Purdue Fort Wayne,3,Loyola Chicago,0,02-08-2020
Queens (NC),0,Concordia (CA),3,02-08-2020
Pepperdine,1,BYU,3,02-08-2020
Campbellsville,3,North Greenville,0,02-08-2020
Emmanuel (GA),3,Lees-McRae,1,02-08-2020
Tusculum,0,George Mason,3,02-08-2020
Mount Olive,0,Harvard,3,02-08-2020
UCLA,0,Stanford,3,02-08-2020
Daemen,3,Urbana,1,02-09-2020
Daemen,3,Lincoln Memorial,2,02-09-2020
Lincoln Memorial,3,Urbana,0,02-09-2020
King (TN),3,North Greenville,0,02-11-2020
