Rank,Player,Cl,Ht,Pos,S,Aces,Per Set
72,"Christopher Knowles, LIU (NEC)",Jr.,6-7,OH,59,18,0.305
73,"Tristan Whitfield, Princeton (EIVA)",So.,6-7,MB,56,17,0.304
74,"Karter Rogers, Grand Canyon (MPSF)",Sr.,6-5,OH,76,23,0.303
75,"Paul Stommel, Charleston (WV) (EIVA)",Sr.,6-3,S,73,22,0.301
76,"Philip Tein, Barry (DI Independent)",Fr.,6-5,OH,74,22,0.297
77,"Lucas Tran, Rockhurst (DI Independent)",Fr.,6-6,OPP,71,21,0.296
78,"Nick Dvorak, Vanguard  (MPSF)",Fr.,6-8,OPP,78,23,0.295
79,"Tomas Badan, Quincy (MIVA)",Fr.,6-5,MB,92,27,0.293
79,"Landon Brouwer, Roberts Wesleyan (ECC)",Fr.,6-3,S,92,27,0.293
81,"Marcus Franck, St. Thomas Aquinas (ECC)",Jr.,6-5,S,75,22,0.293
82,"Jamal Gray, Kentucky St. (SIAC)",So.,5-6,L,24,7,0.292
82,"Mustafa Selçuk Uyar, Menlo (MPSF)",Sr.,6-8,OPP,72,21,0.292
84,"Louis Sakanoko, Hawaii (Big West)",So.,6-5,OH,66,19,0.288
84,"Eliel Salva Torres, Lincoln Memorial (DI Independent)",So.,6-5,MB,66,19,0.288
86,"Theoren Brouillette, Stanford (MPSF)",Jr.,6-3,S,73,21,0.288
87,"D'Angelo Coleman, Kentucky St. (SIAC)",So.,5-7,L,21,6,0.286
87,"Chance Shampine, Queens (NC) (MIVA)",So.,6-2,OH,84,24,0.286
89,"Ryan Vena, Princeton (EIVA)",Jr.,6-7,MB,67,19,0.284
90,"Daniel Henwood Rodriguez, Ohio St. (MIVA)",Fr.,6-3,S,85,24,0.282
91,"Nathan Jacques, Rockhurst (DI Independent)",So.,6-0,S,78,22,0.282
92,"Bryce Simmons, Edward Waters (SIAC)",Fr.,6-5,MB,71,20,0.282
93,"Daryl McClain, LeMoyne-Owen (SIAC)",Fr.,6-5,OH,50,14,0.280
94,"Ian De Wilde, D'Youville (NEC)",Sr.,6-1,OH,65,18,0.277
94,"Kory Grant, Mount Olive (Conference Carolinas)",Jr.,6-3,OH,65,18,0.277
96,"Ondrej Arabasz, Daemen (NEC)",So.,6-7,MB,58,16,0.276
97,"Axel van Baars, Lincoln Memorial (DI Independent)",Sr.,6-7,OH,69,19,0.275
98,"Teilon-Jonathan Tufuga, BYU (MPSF)",So.,6-5,OH,80,22,0.275
99,"Artem Vetrov, FDU (NEC)",Sr.,6-3,OH,51,14,0.275
100,"Moses Wagner, Stanford (MPSF)",Jr.,6-6,OPP,73,20,0.274
