Rank,Player,Cl,Ht,Pos,S,Kills,Errors,Total Attacks,Per Set
1,"Geste Bianchi, UC Santa Barbara (Big West)",Jr.,6-6,OPP,97,468,172,"1,058",10.91
2,"Hilir Henno, UC Irvine (Big West)",Jr.,6-8,OH,117,557,138,"1,124",9.61
3,"Jamal Ellis Carballo, FDU (NEC)",So.,6-6,OPP,77,342,158,729,9.47
4,"Patrick Mucherino, Sacred Heart (NEC)",Sr.,6-5,OH,108,461,197,"1,018",9.43
5,"Raje Alleyne, Quincy (MIVA)",Jr.,6-6,OPP,83,366,135,742,8.94
6,"Tyrone Sands, Central St. (OH) (SIAC)",Jr.,6-4,MH,115,348,227,"1,027",8.93
7,"Will Rottman, Stanford (MPSF)",Sr.,6-6,OH,74,275,68,647,8.74
8,"Eli Zdonek, Emmanuel (GA) (Conference Carolinas)",Sr.,6-0,OH,100,367,141,873,8.73
9,"Jon Diedrich, Purdue Fort Wayne (MIVA)",Sr.,6-6,OPP,99,370,118,864,8.73
10,"Parker Van Buren, Loyola Chicago (MIVA)",Jr.,6-9,OH,94,402,107,811,8.63
11,"Tinaishe Ndavazocheva, Ball St. (MIVA)",Jr.,6-6,OH,81,327,102,693,8.56
12,"Nathan Zini, Saint Francis (NEC)",Jr.,6-7,OPP,107,410,105,910,8.50
13,"Phinehas Wiley, Dominican (NY) (ECC)",Fr.,6-5,OH,84,287,124,710,8.45
14,"Warren Davis, King (TN) (Conference Carolinas)",Sr.,6-0,OH,82,290,140,692,8.44
15,"Logan Whitaker, Merrimack (NEC)",So.,6-4,OH,87,324,156,732,8.41
16,"Max Roquet, Lewis (MIVA)",Jr.,6-8,OH,112,406,122,930,8.30
17,"Zach Puentes, Belmont Abbey (Conference Carolinas)",So.,6-2,OH,94,327,130,772,8.21
18,"Deklan Wingo, Tusculum (DI Independent)",Jr.,6-4,OH,107,371,169,874,8.17
19,"Robert Santana, American Int'l (ECC)",So.,6-1,OH,68,223,158,554,8.15
20,"Ben Harrington, Princeton (EIVA)",Sr.,6-4,,91,342,139,736,8.09
20,"Brandon Johnston, Barton (Conference Carolinas)",Sr.,6-3,OH,91,246,133,736,8.09
22,"Camden Gianni, Grand Canyon (MPSF)",Sr.,6-5,OPP,104,368,124,836,8.04
23,"Luke Kraft, Maryville (MO) (DI Independent)",Fr.,6-5,OPP,95,282,129,759,7.99
24,"Zach Schneider, Daemen (NEC)",Sr.,6-6,OH,83,320,123,663,7.99
25,"Kyle Hobus, CSUN (Big West)",Sr.,6-8,OH,110,406,164,875,7.95
26,"Cole Ketrzynski, Pepperdine (MPSF)",Sr.,6-8,OPP,94,332,113,745,7.93
27,"Pablo Zamar, Erskine (Conference Carolinas)",Jr.,6-4,OH,69,246,107,546,7.91
28,"Edgerrin Austin, Erskine (Conference Carolinas)",Sr.,5-11,OH,72,267,108,567,7.88
29,"Matthew Staskunas, Belmont Abbey (Conference Carolinas)",Jr.,6-5,OH,95,300,93,743,7.82
30,"John Kerr, Penn St. (EIVA)",Sr.,6-6,OPP,106,420,132,829,7.82
31,"Mark Frazier, Purdue Fort Wayne (MIVA)",Jr.,6-6,MB,98,377,129,765,7.81
32,"Nate Meyer, Missouri S&T (DI Independent)",So.,6-3,OH,71,239,111,549,7.73
33,"Garret Schnitker, Charleston (WV) (EIVA)",Sr.,6-6,RS,97,358,154,747,7.70
34,"Jack Bolz, George Mason (EIVA)",Sr.,6-7,OPP,79,256,86,608,7.70
35,"Diego Rosich, North Greenville (Conference Carolinas)",Sr.,6-5,OH,75,257,93,570,7.60
36,"AJ Lewis, Lindenwood (MIVA)",Sr.,6-5,OH,96,309,98,728,7.58
37,"Dillon Klein, Southern California (MPSF)",So.,6-6,OH,102,351,117,773,7.58
38,"Anthony Cherfan, UC San Diego (Big West)",Jr.,6-6,OPP,89,279,122,674,7.57
39,"Nyherowo Omene, Princeton (EIVA)",Jr.,6-7,,89,311,126,667,7.49
40,"Aidan Feeney, Emmanuel (GA) (Conference Carolinas)",So.,6-5,OH,84,249,128,629,7.49
41,"Omar Hoyos, George Mason (EIVA)",Sr.,6-6,OH,106,343,121,785,7.41
42,"Jack Brinkman, Queens (NC) (MIVA)",Sr.,6-2,OH,91,285,123,673,7.40
43,"Ethan Young, FDU (NEC)",Sr.,6-3,OH,81,222,93,597,7.37
44,"Ian Schuller, Lindenwood (MIVA)",So.,6-5,OPP,95,319,125,694,7.31
45,"Aaron Sallade, Missouri S&T (DI Independent)",So.,6-6,OPP,71,226,96,511,7.20
46,"Logan Keothavy, North Greenville (Conference Carolinas)",Fr.,6-0,OH,85,249,122,609,7.16
47,"Ian De Wilde, D'Youville (NEC)",Jr.,6-1,OH,61,178,72,437,7.16
48,"Shane Wetzel, Ohio St. (MIVA)",So.,6-7,OPP,102,344,149,723,7.09
49,"Alessandro Negri, NJIT (EIVA)",Jr.,6-4,OH,101,324,118,713,7.06
50,"Kevin Schuele, McKendree (MIVA)",Jr.,6-4,OH,88,264,84,621,7.06
51,"Luke Benson, BYU (MPSF)",Jr.,6-7,OH,86,297,89,605,7.03
52,"Jacob Pasteur, Ohio St. (MIVA)",Sr.,6-4,OH,110,390,138,770,7.00
53,"Gabriel Vieira, St. Thomas Aquinas (ECC)",Fr.,6-6,OH,78,217,110,543,6.96
54,"Clay Wieter, Lindenwood (MIVA)",Sr.,6-6,OH,101,327,103,703,6.96
55,"Jack Sandahl, Barton (Conference Carolinas)",Jr.,6-3,OH,65,177,76,452,6.95
56,"Hayden Frear, Mount Olive (Conference Carolinas)",Sr.,6-3,OH,86,255,114,598,6.95
57,"Clarke Godbold, Long Beach St. (Big West)",Sr.,6-5,OPP,74,239,67,511,6.91
58,"Jack Deuchar, Southern California (MPSF)",Jr.,6-9,OPP,100,298,133,689,6.89
59,"Ties Cornelissen, CUI (MPSF)",Fr.,6-6,OH,70,221,88,482,6.89
60,"Carlos Santa Cruz, Sacred Heart (NEC)",Sr.,6-5,S,108,310,99,735,6.81
61,"Kale Spencer, LIU (NEC)",So.,6-5,S,80,226,95,543,6.79
62,"Sotiris Siapanis, Long Beach St. (Big West)",Jr.,6-3,OH,97,308,83,658,6.78
63,"Gage Doble, CUI (MPSF)",So.,6-5,OH,72,175,99,488,6.78
64,"Jalen Phillips, CSUN (Big West)",Fr.,6-6,OPP,104,340,134,702,6.75
65,"Skyler Varga, Long Beach St. (Big West)",Jr.,6-7,OH,95,283,116,636,6.69
66,"Jonah Grbic, Roberts Wesleyan (ECC)",Jr.,6-2,OH,82,191,123,548,6.68
67,"Makai Scott, Maryville (MO) (DI Independent)",Fr.,6-0,OH,93,280,128,620,6.67
68,"Andrew Deardorff, Saint Francis (NEC)",Jr.,6-5,OH,95,275,103,632,6.65
69,"Colby Landry, Tusculum (DI Independent)",Sr.,6-0,OH,102,299,138,676,6.63
70,"Griffin Monrad, Roberts Wesleyan (ECC)",Fr.,6-3,OPP,82,214,109,540,6.59
