Rank,Player,Cl,Ht,Pos,S,Kills,Per Set
62,"Logan Keothavy, North Greenville (Conference Carolinas)",Fr.,6-0,OH,85,249,2.93
63,"Ian De Wilde, D'Youville (NEC)",Jr.,6-1,OH,61,178,2.92
64,"Kyran  Versteegen, St. Thomas Aquinas (ECC)",Fr.,6-4,S,78,227,2.91
65,"Griffin Wheatley, Lincoln Memorial (DI Independent)",Fr.,6-6,OH,65,189,2.91
66,"Andrew Deardorff, Saint Francis (NEC)",Jr.,6-5,OH,95,275,2.89
67,"Jackson Hickman, Grand Canyon (MPSF)",Sr.,6-4,OH,110,317,2.88
68,"Miks Ramanis, BYU (MPSF)",Jr.,6-4,OH,83,239,2.88
69,"Daniel Fabikovic, Loyola Chicago (MIVA)",Fr.,6-6,OH,95,273,2.87
70,"Carlos Santa Cruz, Sacred Heart (NEC)",Sr.,6-5,S,108,310,2.87
71,"Kale Spencer, LIU (NEC)",So.,6-5,S,80,226,2.83
72,"Gabriel Vieira, St. Thomas Aquinas (ECC)",Fr.,6-6,OH,78,217,2.78
73,"Ethan Young, FDU (NEC)",Sr.,6-3,OH,81,222,2.74
74,"Jack Sandahl, Barton (Conference Carolinas)",Jr.,6-3,OH,65,177,2.72
75,"Brandon Johnston, Barton (Conference Carolinas)",Sr.,6-3,OH,91,246,2.70
76,"Chance Shampine, Queens (NC) (MIVA)",Fr.,6-2,OH,85,228,2.68
77,"Akin Akinwumi, Pepperdine (MPSF)",Sr.,6-5,OH,81,216,2.67
78,"Justin Gregory, Mount Olive (Conference Carolinas)",Sr.,6-6,OPP,84,222,2.64
79,"Jaxon Hicks, Fort Valley St. (SIAC)",Jr.,6-3,OPP,78,206,2.64
80,"Owen Fanning, Harvard (EIVA)",Jr.,6-7,OH,80,211,2.64
81,"Daniel Haber, Lewis (MIVA)",So.,6-6,OH,91,240,2.64
82,"Cooper Robinson, UCLA (MPSF)",Jr.,6-7,OH,95,250,2.63
83,"Griffin Monrad, Roberts Wesleyan (ECC)",Fr.,6-3,OPP,82,214,2.61
84,"Livan Moreno, LIU (NEC)",Sr.,6-3,OH,76,197,2.59
85,"Kupono Browne, BYU (MPSF)",Sr.,6-5,OPP,90,229,2.54
86,"Jake Read, Loyola Chicago (MIVA)",Fr.,6-4,OH,83,211,2.54
87,"Sebastian Lara, UC San Diego (Big West)",Jr.,6-4,OH,83,210,2.53
88,"Ryan Barnett, Pepperdine (MPSF)",So.,6-5,OH,80,200,2.50
89,"Alejandro Miranda, American Int'l (ECC)",So.,6-0,L/DS,67,167,2.49
90,"Ben Coordt, UC Santa Barbara (Big West)",So.,6-4,OH,93,230,2.47
91,"Gage Doble, CUI (MPSF)",So.,6-5,OH,72,175,2.43
92,"Griffin Walters, CSUN (Big West)",Sr.,6-6,OH,99,240,2.42
93,"Tymek Brzoza, D'Youville (NEC)",Jr.,6-5,MB,81,196,2.42
94,"Ethan Champlin, UCLA (MPSF)",Sr.,6-3,OH,112,270,2.41
95,"Christian Galoppo, CUI (MPSF)",Fr.,6-6,OPP,82,196,2.39
96,"Kory Grant, Mount Olive (Conference Carolinas)",So.,6-3,OPP,83,198,2.39
97,"Paul Fillion, Roberts Wesleyan (ECC)",Fr.,6-4,MH,82,192,2.34
98,"Jonah Grbic, Roberts Wesleyan (ECC)",Jr.,6-2,OH,82,191,2.33
99,"Antonio Feliciano, NJIT (EIVA)",Jr.,6-4,OH,90,209,2.32
100,"Toby Ezeonu, Penn St. (EIVA)",Sr.,6-7,MB,112,259,2.31
