Rank,Team,S,W-L,Digs,Per Set
1,McKendree (MIVA),94,14-12,958,10.19
2,Maryville (MO) (DI Independent),105,21-8,"1,059",10.09
3,Belmont Abbey (Conference Carolinas),97,21-5,956,9.86
4,Fort Valley St. (SIAC),81,17-9,791,9.77
5,Barton (Conference Carolinas),92,12-13,891,9.68
6,North Greenville (Conference Carolinas),94,15-9,889,9.46
7,Benedict (SIAC),76,3-17,714,9.39
8,Daemen (NEC),90,20-6,825,9.17
9,Ball St. (MIVA),113,21-10,"1,034",9.15
10,Emmanuel (GA) (Conference Carolinas),101,9-19,924,9.15
11,Roberts Wesleyan (ECC),84,8-16,768,9.14
12,UC Irvine (Big West),117,20-11,"1,068",9.13
13,Grand Canyon (MPSF),110,26-5,"1,000",9.09
14,Mount Olive (Conference Carolinas),96,17-10,871,9.07
15,Stanford (MPSF),99,14-12,897,9.06
16,St. Thomas Aquinas (ECC),78,10-12,704,9.03
17,LIU (NEC),96,14-13,859,8.95
18,Erskine (Conference Carolinas),85,13-11,751,8.84
19,Hawaii (Big West),106,23-7,934,8.81
20,Pepperdine (MPSF),103,17-11,906,8.80
21,FDU (NEC),99,12-15,869,8.78
22,Lewis (MIVA),117,15-15,"1,022",8.74
23,American Int'l (ECC),70,2-18,608,8.69
24,Lindenwood (MIVA),102,16-12,882,8.65
25,George Mason (EIVA),107,18-10,920,8.60
26,Merrimack (NEC),88,9-16,755,8.58
27,Harvard (EIVA),96,12-13,822,8.56
28,Saint Francis (PA) (NEC),113,21-9,966,8.55
29,Ohio St. (MIVA),121,22-9,"1,031",8.52
30,D'Youville (NEC),82,10-13,696,8.49
31,Kentucky St. (SIAC),74,6-17,620,8.38
32,Queens (NC) (MIVA),108,9-21,904,8.37
33,Loyola Chicago (MIVA),106,19-10,887,8.37
34,Penn St. (EIVA),116,23-7,965,8.32
35,Long Beach St. (Big West),107,27-3,889,8.31
36,Sacred Heart (NEC),118,12-20,977,8.28
37,Lincoln Memorial (DI Independent),93,21-5,764,8.22
38,BYU (MPSF),98,16-9,798,8.14
39,Tusculum (DI Independent),108,8-23,879,8.14
40,Dominican (NY) (ECC),86,12-13,698,8.12
41,Purdue Fort Wayne (MIVA),99,14-12,800,8.08
42,UC Santa Barbara (Big West),110,9-18,880,8.00
43,King (TN) (Conference Carolinas),92,7-21,735,7.99
44,Southern California (MPSF),109,13-15,859,7.88
45,Missouri S&T (DI Independent),75,10-12,589,7.85
46,Central St. (OH) (SIAC),118,9-27,926,7.85
47,UCLA (MPSF),118,26-5,917,7.77
48,Charleston (WV) (EIVA),110,13-16,853,7.75
49,Lees-McRae (Conference Carolinas),97,2-26,748,7.71
50,CUI (MPSF),89,6-19,681,7.65
