Rank,Player,Cl,Ht,Pos,S,Kills,Aces,Block Solos,Block Assists,Pts,Per Set
60,"Alendy Sincoul, LeMoyne-Owen (SIAC)",Fr.,6-4,OH,44,137,8,9,5,0,3.56
61,"Allen Faison, Erskine (Conference Carolinas)",Jr.,6-2,OH,55,164,9,5,32,0,3.53
62,"Mason Rice, Princeton (EIVA)",Fr.,6-5,OH,69,208,9,4,44,0,3.52
63,"Aaron Sallade, Missouri S&T (DI Independent)",Jr.,6-6,OPP,72,215,12,10,33,0,3.52
64,"Brendan Louthain, Lindenwood (MIVA)",Jr.,6-1,OH,83,256,17,8,19,0,3.50
65,"Michael de la Cruz, North Greenville (Conference Carolinas)",Sr.,6-3,MB,79,213,32,3,51,0,3.46
66,"Matthew Luoma, Penn St. (EIVA)",So.,6-7,OH,62,178,12,4,41,0,3.46
67,"Riggs Guy, UC Santa Barbara (Big West)",Fr.,6-3,OH,71,217,10,5,26,0,3.45
68,"Robert Evangelista, George Mason (EIVA)",So.,6-4,OH,59,176,14,5,15,0,3.43
69,"Josh Schellinger, UC San Diego (Big West)",Jr.,6-5,OH,86,257,17,1,38,0,3.42
70,"Colton Beres, Barry (DI Independent)",Fr.,6-5,OH,65,178,17,4,43,0,3.39
71,"Jack Sandahl, Barton (Conference Carolinas)",Sr.,6-3,OH,74,209,11,8,46,0,3.39
72,"Axel Melendez Watts, Purdue Fort Wayne (MIVA)",Sr.,6-10,OH,73,214,17,4,25,0,3.39
73,"Jacob Schurfranz, Thomas More (DI Independent)",So.,6-8,MB,63,161,16,17,36,0,3.37
74,"Billy Wieberg, Daemen (NEC)",Sr.,6-4,OH,66,182,27,5,16,0,3.36
75,"Sam Hoskin, McKendree (MIVA)",Jr.,6-4,OH,91,277,12,2,29,0,3.36
76,"Lawson Hink, Barton (Conference Carolinas)",Fr.,6-6,OH,80,240,13,5,21,0,3.36
77,"Carter Stenmark, Lindenwood (MIVA)",Sr.,6-3,OH,83,232,28,7,17,0,3.32
78,"Trent Moser, Grand Canyon (MPSF)",So.,6-7,OH,79,224,14,6,35,0,3.31
79,"Wojciech Nowak, Menlo (MPSF)",So.,6-3,OH,73,185,40,6,19,0,3.29
80,"Chance Shampine, Queens (NC) (MIVA)",So.,6-2,OH,84,228,24,7,35,0,3.29
81,"Matthew Pilch, Queens (NC) (MIVA)",Sr.,6-3,OH,85,245,20,4,21,0,3.29
82,"Brady Stump, Saint Francis (NEC)",Jr.,6-7,OH,68,190,15,2,27,0,3.24
83,"Andrea Di Paola, Roosevelt  (DI Independent)",Sr.,6-5,OH,67,194,10,4,18,0,3.24
84,"Kevin Schuele, McKendree (MIVA)",Sr.,6-4,OH,82,242,7,2,29,0,3.24
85,"Dylan McFadden, FDU (NEC)",Jr.,6-2,OH,66,180,16,4,25,0,3.22
86,"Leo Pravednikov, UC San Diego (Big West)",Jr.,6-4,OH,83,211,31,3,43,0,3.21
87,"Louis Sakanoko, Hawaii (Big West)",So.,6-5,OH,66,172,19,4,31,0,3.19
88,"Grant Dvorak, Vanguard  (MPSF)",So.,6-6,S,64,177,15,4,16,0,3.19
89,"Ryan DeJohn, Roberts Wesleyan (ECC)",Fr.,5-11,OH,83,242,10,5,15,0,3.19
90,"Jaedyn Harris, Central St. (OH) (SIAC)",So.,6-2,OH,74,189,28,3,30,0,3.18
91,"Wiktor Nowak, NJIT (EIVA)",Fr.,0-0,,64,178,8,1,32,0,3.17
92,"Sterling Foley, Southern California (MPSF)",Fr.,6-6,OH,77,191,21,6,52,0,3.17
93,"Ties Cornelissen, CUI (MPSF)",So.,6-6,OH,68,187,9,6,26,0,3.16
94,"Logan Shepherd, Harvard (EIVA)",Sr.,6-4,OH,56,140,22,2,24,0,3.14
95,"Austin Beaird, Lees-McRae (Conference Carolinas)",Jr.,6-3,OH,87,247,15,1,20,0,3.14
96,"Diego Esquivel, Roosevelt  (DI Independent)",Jr.,6-6,MB,51,121,25,2,24,0,3.14
97,"Kajetan Bieniek, Roosevelt  (DI Independent)",Fr.,6-7,OPP,70,191,14,6,17,0,3.14
98,"Kyran Versteegen, St. Thomas Aquinas (ECC)",So.,6-4,S,62,168,12,3,22,0,3.13
99,"Carter Shomock, North Greenville (Conference Carolinas)",Fr.,6-5,OPP,63,171,7,3,29,0,3.10
100,"Moni Nikolov, Long Beach St. (Big West)",Fr.,6-8,S,78,126,82,5,56,0,3.09
