Rank,Player,Cl,Ht,Pos,S,Block Solos,Block Assists,Total,Per Set
89,"Simon Falayi, Central St. (OH) (SIAC)",So.,6-5,MB,76,15,40,55,0.724
90,"Colton Beres, Barry (DI Independent)",Fr.,6-5,OH,65,4,43,47,0.723
90,"Sean Haberthy, King (TN) (Conference Carolinas)",Sr.,6-6,MB,65,12,35,47,0.723
92,"Kaumana Carreira, Stanford (MPSF)",Fr.,6-8,MB,54,2,37,39,0.722
93,"Nick Tidik, Merrimack (DI Independent)",Jr.,6-6,MB,61,2,42,44,0.721
94,"Panagiotis Kourmouzos, FDU (NEC)",Jr.,6-2,MB,57,5,36,41,0.719
94,"William Phinizy, Barry (DI Independent)",So.,6-6,OH,57,1,40,41,0.719
96,"Joseph Morris, Belmont Abbey (Conference Carolinas)",So.,6-6,S,71,9,42,51,0.718
97,"Hakan Godoy, Benedict (SIAC)",So.,6-2,MB,66,21,26,47,0.712
98,"Tread Rosenthal, Hawaii (Big West)",So.,6-8,S,86,4,57,61,0.709
99,"Grayson Stoudt, King (TN) (Conference Carolinas)",Sr.,6-4,MB,85,7,53,60,0.706
100,"Sam Lane, Saint Francis (NEC)",Jr.,6-6,MB,70,3,46,49,0.700
