Rank,Player,Cl,Ht,Pos,S,Assists,Per Set
1,"Caleb Blanchette, Southern California (MPSF)",So.,6-5,S,72,798,11.08
2,"Tread Rosenthal, Hawaii (Big West)",So.,6-8,S,86,934,10.86
3,"Jackson Lahey, Mount Olive (Conference Carolinas)",Jr.,6-2,S,68,730,10.74
4,"Ryan McElligott, Loyola Chicago (MIVA)",Jr.,6-5,S,74,794,10.73
5,"Zach Solomon, Lindenwood (MIVA)",Jr.,6-3,S,81,848,10.47
6,"Bryce Dvorak, UC San Diego (Big West)",Sr.,6-4,S,87,902,10.37
7,"Theoren Brouillette, Stanford (MPSF)",Jr.,6-3,S,73,756,10.36
8,"John Luers, Lincoln Memorial (DI Independent)",Sr.,6-1,S,70,720,10.29
9,"Logan Taylor, North Greenville (Conference Carolinas)",So.,6-3,S,74,760,10.27
10,"Paul Stommel, Charleston (WV) (EIVA)",Sr.,6-3,S,73,748,10.25
11,"Kristian Smith, Catawba (DI Independent)",So.,6-3,S,76,763,10.04
12,"Kyle Charles, Saint Francis (NEC)",Fr.,6-6,S,67,671,10.01
13,"Nathan Flayter, McKendree (MIVA)",So.,6-4,S,97,971,10.01
14,"Gino Briglio, Erskine (Conference Carolinas)",Jr.,6-2,S,66,659,9.98
15,"Gabriel Dyer, Pepperdine (MPSF)",Jr.,6-5,S,74,731,9.88
16,"Joe Karlous, UC Irvine (Big West)",Sr.,6-0,S,68,669,9.84
17,"Ethan Beyreis-Heim, Maryville (MO) (DI Independent)",Sr.,6-4,S,74,727,9.82
18,"Andrew Rowan, UCLA (MPSF)",Jr.,6-6,S,67,658,9.82
19,"Donovan Constable, CSUN (Big West)",Sr.,6-2,S,88,858,9.75
20,"Daniel Henwood Rodriguez, Ohio St. (MIVA)",Fr.,6-3,S,85,827,9.73
21,"Moni Nikolov, Long Beach St. (Big West)",Fr.,6-8,S,78,757,9.71
22,"Tyler Morgan, Lewis (MIVA)",Sr.,6-7,S,95,908,9.56
23,"Troy McDonald, George Mason (EIVA)",Sr.,6-4,S,65,610,9.38
24,"Armaan Dosanjh, Quincy (MIVA)",Jr.,6-3,S,84,785,9.35
25,"Joseph Morris, Belmont Abbey (Conference Carolinas)",So.,6-6,S,71,662,9.32
26,"Cole Schobel, UC Santa Barbara (Big West)",So.,6-1,S,61,563,9.23
27,"Jaxon Herr, Grand Canyon (MPSF)",Jr.,6-6,S,77,705,9.16
28,"Henry Wedbush, Princeton (EIVA)",Sr.,6-4,S,69,629,9.12
29,"Bruno Figueiredo, NJIT (EIVA)",Fr.,0-0,S,71,647,9.11
30,"Oneil Daley, Edward Waters (SIAC)",Sr.,5-9,S,77,701,9.10
31,"William Lawler, Menlo (MPSF)",Jr.,6-2,S,74,655,8.85
32,"Reece Lindstrom, Merrimack (DI Independent)",So.,6-6,S,49,433,8.84
33,"Cayden Marin, Queens (NC) (MIVA)",Jr.,6-1,S,73,645,8.84
34,"Andrej Polomac, Purdue Fort Wayne (MIVA)",So.,6-6,S,79,695,8.80
35,"Michael Schwob, Penn St. (EIVA)",So.,6-6,S,69,603,8.74
36,"Landon Brouwer, Roberts Wesleyan (ECC)",Fr.,6-3,S,92,789,8.58
37,"Seth Deppe, Barton (Conference Carolinas)",Sr.,6-2,S,88,752,8.55
38,"Jose Angarita, FDU (NEC)",Sr.,6-2,S,60,511,8.52
39,"Grant Edmonds, Missouri S&T (DI Independent)",So.,6-2,S,71,598,8.42
40,"James Bardin, Harvard (EIVA)",Sr.,6-7,S,60,503,8.38
41,"Michele Bascape, Roosevelt  (DI Independent)",Sr.,5-10,S,57,473,8.30
42,"Marcus Franck, St. Thomas Aquinas (ECC)",Jr.,6-5,S,75,622,8.29
43,"Thiago Da Silva, Lees-McRae (Conference Carolinas)",Jr.,6-1,S,80,644,8.05
44,"Joao Pedro Ribeiro, King (TN) (Conference Carolinas)",Fr.,0-0,S,84,653,7.77
45,"Noah Smith-Trondle, Thomas More (DI Independent)",Jr.,6-4,S,57,443,7.77
46,"Oliwer Wrobel, Emmanuel (GA) (Conference Carolinas)",Fr.,6-3,S,83,645,7.77
47,"Tristan Blake, Barry (DI Independent)",So.,6-3,S,78,606,7.77
48,"Lucas Machado, Ball St. (MIVA)",So.,6-6,S,83,643,7.75
49,"Tyler Herget, BYU (MPSF)",Jr.,6-2,S,79,612,7.75
50,"Adam Sheppard, Central St. (OH) (SIAC)",Jr.,6-2,S,52,402,7.73
