Rank,Player,Cl,Ht,Pos,S,Kills,Per Set
1,"Deklan Wingo, Tusculum (DI Independent)",Sr.,6-4,OH,90,441,4.90
2,"Gabriel Vieira, St. Thomas Aquinas (ECC)",So.,6-9,OH,68,297,4.37
3,"Hilir Henno, UC Irvine (Big West)",Sr.,6-8,OH,74,321,4.34
4,"Parker Van Buren, Loyola Chicago (MIVA)",Sr.,6-9,OH,79,335,4.24
5,"Kristian Titriyski, Hawaii (Big West)",Fr.,6-5,OPP,76,322,4.24
6,"Logan Muir, Purdue Fort Wayne (MIVA)",So.,6-5,OPP,83,344,4.14
7,"Nyherowo Omene, Princeton (EIVA)",Sr.,6-7,OH,69,284,4.12
8,"Jalen Phillips, CSUN (Big West)",So.,6-6,OPP,85,348,4.09
9,"Trevor Phillips, Catawba (DI Independent)",Sr.,6-6,OH,77,315,4.09
10,"Dillon Klein, Southern California (MPSF)",Jr.,6-6,OH,67,274,4.09
11,"Oguzhan Oguz, Lewis (MIVA)",So.,6-8,OPP,97,389,4.01
12,"Theo Snoey, Stanford (MPSF)",Jr.,6-8,OPP,66,263,3.98
13,"Andrew Deardorff, Saint Francis (NEC)",Sr.,6-5,OH,79,309,3.91
14,"Zach Schneider, Daemen (NEC)",Sr.,6-6,OH,59,227,3.85
15,"Cole Hartke, Pepperdine (MPSF)",Fr.,0-0,OH,64,244,3.81
16,"Lucas Tran, Rockhurst (DI Independent)",Fr.,6-6,OPP,71,270,3.80
17,"Richard Hendricks, Edward Waters (SIAC)",Jr.,5-10,OH,77,292,3.79
18,"Isaiah Fedd, Fort Valley St. (SIAC)",Jr.,6-3,OH,64,242,3.78
19,"Kory Grant, Mount Olive (Conference Carolinas)",Jr.,6-3,OH,65,240,3.69
20,"Shane Wetzel, Ohio St. (MIVA)",Jr.,6-7,OPP,89,325,3.65
21,"Luke Kraft, Maryville (MO) (DI Independent)",So.,6-5,OPP,74,269,3.64
22,"Anthony Cherfan, UC San Diego (Big West)",Sr.,6-6,OPP,81,294,3.63
23,"Aleksandar Sosa, Quincy (MIVA)",So.,6-7,OPP,92,331,3.60
