Rank,Player,Cl,Ht,Pos,S,Block Solos,Block Assists,Total,Per Set
1,"Simon Torwie, Long Beach St. (Big West)",Jr.,6-10,OPP,86,15,124,139,1.616
2,"Teon Taylor, BYU (MPSF)",So.,6-6,OH,102,14,121,135,1.324
3,"Guy Genis, UCLA (MPSF)",So.,6-5,MB,79,18,81,99,1.253
4,"Nicodemus Meyer, Loyola Chicago (MIVA)",So.,6-10,MB,103,20,107,127,1.233
5,"Guilherme Voss, Hawaii (Big West)",Jr.,6-7,MB,92,9,98,107,1.163
6,"Owen Rose, Penn St. (EIVA)",So.,6-7,MB,104,10,105,115,1.106
7,"Clarke Godbold, Long Beach St. (Big West)",Jr.,6-5,OH,89,5,93,98,1.101
8,"Vanis Buckholz, Ball St. (MIVA)",So.,6-6,MB,94,5,98,103,1.096
9,"Merrick McHenry, UCLA (MPSF)",Sr.,6-7,OH,99,18,89,107,1.081
10,"Kasey Clouet, LIU (NEC)",So.,6-6,S,87,12,79,91,1.046
11,"Ethan Rehmann, Belmont Abbey (Conference Carolinas)",So.,6-8,MB,104,19,88,107,1.029
12,"Veit Bils, Charleston (WV) (EIVA)",So.,6-5,MB,73,8,67,75,1.027
13,"Felix Egharevba, Ball St. (MIVA)",Sr.,6-5,MH,99,10,91,101,1.020
14,"Jimmy Meinhart, Loyola Chicago (MIVA)",Jr.,6-8,MB,105,4,103,107,1.019
15,"Kellan Kennedy, King (TN) (Conference Carolinas)",Jr.,6-6,MB,117,21,98,119,1.017
16,"Cole Hogland, Hawaii (Big West)",Jr.,6-4,MB,87,9,79,88,1.011
17,"Lucas Frassrand, Southern California (MPSF)",Sr.,6-6,MB,92,7,86,93,1.011
17,"Kyle Paulson, Southern California (MPSF)",Jr.,6-6,S,92,4,89,93,1.011
19,"Pedro Gonzalez, Mount Olive (Conference Carolinas)",Sr.,6-7,MB,99,25,75,100,1.010
20,"Ryan Steponaitis, Purdue Fort Wayne (MIVA)",Fr.,6-7,MB,86,5,80,85,0.988
21,"Brandon Dunz, Saint Francis (NEC)",Sr.,6-8,MB,81,15,65,80,0.988
22,"Ife Loverton, Sacred Heart (NEC)",Sr.,6-5,OH,93,19,72,91,0.978
23,"Martin De Chavarria, NJIT (EIVA)",Sr.,6-7,MB,75,7,65,72,0.960
24,"David Fleischer, Maryville (MO) (DI Independent)",So.,6-7,MB,98,24,70,94,0.959
25,"Rayshawn Bonner, Lindenwood (MIVA)",Sr.,6-8,OH,67,10,54,64,0.955
26,"Bryce Walker, Purdue Fort Wayne (MIVA)",Jr.,6-8,MB,105,9,90,99,0.943
27,"Emanuel Adames, North Greenville (Conference Carolinas)",Jr.,6-6,MB,101,13,81,94,0.931
28,"Aaron Milstead, King (TN) (Conference Carolinas)",Sr.,6-4,MB,97,16,74,90,0.928
29,"Lorenz Liss, Limestone (DI Independent)",Fr.,6-5,MB,103,11,84,95,0.922
30,"Shaphar Grant, Tusculum (DI Independent)",Sr.,6-3,MB,89,24,58,82,0.921
31,"Matthew Gentry, Lincoln Memorial (DI Independent)",So.,6-7,MH,84,18,59,77,0.917
32,"Thomas Fanic, Barton (Conference Carolinas)",Jr.,6-5,MB,94,20,66,86,0.915
33,"Ace Backer, Lees-McRae (Conference Carolinas)",Sr.,6-6,MB,79,13,59,72,0.911
34,"Stirling Sims, Queens (NC) (DI Independent)",Jr.,6-4,OPP,67,7,54,61,0.910
35,"Lucas Little, George Mason (EIVA)",So.,6-6,MB,77,7,63,70,0.909
36,"Joelvi Jimenez, Edward Waters (SIAC)",So.,6-7,MB,64,11,47,58,0.906
37,"Rolen Lively, McKendree (MIVA)",Fr.,6-8,MB,82,3,71,74,0.902
38,"Jon Fuller, Erskine (Conference Carolinas)",Jr.,6-3,MB,93,15,68,83,0.892
39,"Toby Ezeonu, Penn St. (EIVA)",Jr.,6-7,MB,98,14,73,87,0.888
40,"Connor Campbell, UC Irvine (Big West)",Jr.,6-7,MB,96,12,73,85,0.885
41,"Nathaniel Gates, Stanford (MPSF)",Sr.,6-8,MB,101,16,72,88,0.871
42,"Jacob Fischer, Maryville (MO) (DI Independent)",Sr.,6-6,MB,98,10,74,84,0.857
43,"Dimitrios Mouchlias, Hawaii (Big West)",Jr.,6-6,OPP,90,6,71,77,0.856
44,"Thomas Leahey, Saint Francis (NEC)",Jr.,6-9,MB,94,19,61,80,0.851
45,"Trevor Schultz, Harvard (EIVA)",Jr.,6-6,MB,86,9,64,73,0.849
46,"Ryan Vena, Princeton (EIVA)",Fr.,6-7,MB,79,9,58,67,0.848
47,"Alex Knight, UCLA (MPSF)",Sr.,6-5,OH,85,6,66,72,0.847
48,"Cameron Thorne, Grand Canyon (MPSF)",Fr.,6-4,MB,75,24,39,63,0.840
49,"Akin Akinwumi, Pepperdine (MPSF)",Sr.,6-5,OH,112,3,91,94,0.839
50,"Mark Frazier, Purdue Fort Wayne (MIVA)",So.,6-6,MB,103,1,85,86,0.835
51,"Rashaun Wright, Fort Valley St. (SIAC)",So.,6-4,MH,75,12,49,61,0.813
52,"Sebastian Heer, Lees-McRae (Conference Carolinas)",So.,6-3,MB,95,17,60,77,0.811
53,"Trent Moser, BYU (MPSF)",Fr.,6-7,OH,76,6,54,60,0.789
54,"Luke Chandler, LIU (NEC)",So.,6-5,OPP,99,9,68,77,0.778
55,"Grayson Stoudt, Limestone (DI Independent)",Jr.,6-4,MB,103,8,72,80,0.777
56,"Arthur Sueur, LIU (NEC)",Sr.,6-7,OH,94,9,64,73,0.777
57,"Shane Holdaway, Long Beach St. (Big West)",Sr.,6-9,MB,85,3,63,66,0.776
58,"Gavin Julien, BYU (MPSF)",Jr.,6-8,MB,102,11,67,78,0.765
59,"Carson Williams, NJIT (EIVA)",Sr.,6-6,MB,72,10,45,55,0.764
60,"Spencer Olivier, Long Beach St. (Big West)",Sr.,6-6,OH,84,4,59,63,0.750
61,"Dan Mangun, Loyola Chicago (MIVA)",So.,6-4,S,103,5,72,77,0.748
62,"Justin Howard, Ohio St. (MIVA)",Jr.,6-6,MB,114,7,78,85,0.746
63,"Nick Rigo, UC San Diego (Big West)",Jr.,6-6,MB,90,9,58,67,0.744
64,"Henry Moffitt, Daemen (NEC)",Sr.,6-6,MH,86,15,49,64,0.744
65,"D'Aaron McCraney, Central St. (OH) (SIAC)",So.,6-8,MB,110,41,40,81,0.736
66,"Kaleb Jenness, Ball St. (MIVA)",Sr.,6-6,OH,98,4,68,72,0.735
67,"Michael de la Cruz, North Greenville (Conference Carolinas)",So.,6-3,MB,101,21,53,74,0.733
68,"Roman Deryckère, Quincy (MIVA)",Jr.,6-6,MH,84,10,51,61,0.726
69,"Nyherowo Omene, Princeton (EIVA)",So.,6-7,,96,11,58,69,0.719
70,"Taviian Martin, Fort Valley St. (SIAC)",Fr.,6-9,MB,79,11,45,56,0.709
71,"Ethan Smith, Harvard (EIVA)",Jr.,6-7,MB,90,5,58,63,0.700
72,"Cole Young, Ohio St. (MIVA)",So.,6-10,MB,119,6,77,83,0.697
73,"Trent Findley, Kentucky St. (SIAC)",So.,6-3,MB,98,27,41,68,0.694
74,"Jay Beller, Belmont Abbey (Conference Carolinas)",Fr.,6-5,MB,91,8,55,63,0.692
74,"Michael Sack, Lewis (MIVA)",Jr.,6-9,MB,91,9,54,63,0.692
76,"Francesco Sani, UC Irvine (Big West)",Jr.,6-8,OH,108,8,66,74,0.685
77,"Cal Fisher, Penn St. (EIVA)",Sr.,6-3,OPP,76,4,48,52,0.684
78,"Logan  Gieseke, Quincy (MIVA)",Fr.,6-4,MB,86,12,46,58,0.674
79,"Kyle Hobus, CSUN (Big West)",Jr.,6-8,OH,95,9,55,64,0.674
80,"Matthew Motes, Merrimack (NEC)",Jr.,0-0,MB,97,40,25,65,0.670
81,"De’Andrae Taylor, Benedict (SIAC)",So.,6-3,MB,69,20,26,46,0.667
82,"Ryan Benscoter, Sacred Heart (NEC)",So.,6-7,MB,86,12,45,57,0.663
83,"Diego Villafane, Charleston (WV) (EIVA)",Sr.,6-1,S,83,6,49,55,0.663
84,"Kohl Kutsch, Lincoln Memorial (DI Independent)",Fr.,6-4,S,68,4,41,45,0.662
85,"Patrick Mucherino, Sacred Heart (NEC)",Jr.,6-5,OH,85,9,47,56,0.659
86,"Dillon Klein, Southern California (MPSF)",Fr.,6-4,OH,99,9,56,65,0.657
87,"Chaz Galloway, Hawaii (Big West)",Jr.,6-3,OH,90,5,54,59,0.656
87,"Justin Gregory, Mount Olive (Conference Carolinas)",Jr.,6-6,OPP,90,9,50,59,0.656
