Rank,Player,Cl,Ht,Pos,S,Kills,Errors,Total Attacks,Pct.
1,"Bryce Walker, Purdue Fort Wayne (MIVA)",So.,6-8,MB,6,23,4,28,0.679
2,"Clarke Godbold, Long Beach St. (Big West)",So.,6-5,OH,3,14,3,19,0.579
3,"Eric Visgitis, Mount Olive (Conference Carolinas)",Sr.,6-5,MB,5,10,0,18,0.556
4,"Bryce Behrendt, Ball St. (MIVA)",Jr.,6-4,OH,6,19,3,29,0.552
5,"Diego Rosich, North Greenville (Conference Carolinas)",So.,6-5,OH,4,11,2,19,0.474
6,"Ethan Smith, Harvard (EIVA)",So.,6-7,MB,10,17,2,33,0.455
7,"Kade Bontrager, Purdue Fort Wayne (MIVA)",Sr.,6-0,OH,6,19,6,31,0.419
8,"Nick Martinski, Ball St. (MIVA)",Sr.,6-7,OH,5,12,2,24,0.417
9,"Matteo Miselli, Belmont Abbey (Conference Carolinas)",Jr.,6-2,OH,7,32,8,59,0.407
10,"Logan Clark, UC San Diego (Big West)",Sr.,6-7,MB,7,16,3,33,0.394
11,"Alex Nikolov, Long Beach St. (Big West)",Fr.,6-7,OH,3,8,3,13,0.385
12,"Jon Diedrich, Purdue Fort Wayne (MIVA)",Jr.,6-6,OPP,6,27,7,53,0.377
13,"Jacob Gall, McKendree (MIVA)",Jr.,6-6,MB,8,16,4,33,0.364
14,"Jacob Pasteur, Ohio St. (MIVA)",So.,6-4,OH,9,31,11,56,0.357
15,"Jayden Young, Emmanuel (GA) (Conference Carolinas)",Jr.,6-2,OH,5,19,5,41,0.341
16,"Omar Hoyos, George Mason (EIVA)",So.,6-6,OH,8,24,6,53,0.340
17,"Alex Ah Sue, BYU (MPSF)",Sr.,6-4,OPP,5,13,5,24,0.333
18,"Gregory Torres, North Greenville (Conference Carolinas)",Fr.,6-4,OH,3,8,3,16,0.313
19,"Haotian Xia, UC Santa Barbara (Big West)",Jr.,6-5,OPP,11,40,14,84,0.310
20,"Nyherowo Omene, Princeton (EIVA)",Fr.,6-7,,6,17,6,36,0.306
