Rank,Player,Cl,Ht,Pos,S,Kills,Errors,Total Attacks,Pct.
21,"Martin Lallemand, Ohio St. (MIVA)",Sr.,6-4,OH,9,19,7,40,0.300
22,"Camden Gianni, Grand Canyon (MPSF)",So.,6-5,OH,14,53,15,131,0.290
23,"Tobi Azeez, Mount Olive (Conference Carolinas)",Jr.,6-4,OH,5,19,5,50,0.280
23,"Diego Negron, Lindenwood (MIVA)",Sr.,6-5,OH,9,24,10,50,0.280
25,"Simon Gallas, Southern California (MPSF)",So.,6-8,OPP,14,51,19,115,0.278
26,"Michael Marsans, Lees-McRae (Conference Carolinas)",Jr.,6-5,OH,3,18,7,40,0.275
27,"Jack Bolz, George Mason (EIVA)",So.,6-7,OPP,8,25,11,52,0.269
28,"Caden Satterfield, LIU (DI Independent)",Jr.,6-3,OH,8,26,8,68,0.265
29,"Kade McGovern, Harvard (EIVA)",Fr.,6-6,OPP,10,21,10,42,0.262
30,"Blake Liprando, Saint Francis (EIVA)",Jr.,6-3,OH,10,24,7,65,0.262
31,"Charlie Siragusa, UC San Diego (Big West)",Sr.,6-9,OH,7,11,3,31,0.258
32,"Ben Harrington, Princeton (EIVA)",So.,6-4,,5,16,6,39,0.256
33,"Kupono Browne, BYU (MPSF)",So.,6-5,OH,5,7,2,20,0.250
33,"Spencer Olivier, Long Beach St. (Big West)",Jr.,6-6,OH,3,8,4,16,0.250
35,"Dominic Hagerty, Mount Olive (Conference Carolinas)",So.,6-3,S,5,13,5,33,0.242
36,"Brian Knoerr, Belmont Abbey (Conference Carolinas)",Fr.,6-5,OPP,7,16,8,34,0.235
37,"Ryan Ka, UC San Diego (Big West)",Jr.,6-3,OH,7,20,9,47,0.234
38,"Brandon Browning, Southern California (MPSF)",Sr.,6-4,OH,14,26,12,60,0.233
39,"Alessandro Negri, NJIT (EIVA)",Fr.,6-4,OH,8,24,10,61,0.230
40,"Kyle McCauley, UC San Diego (Big West)",Sr.,6-4,OH,7,31,15,70,0.229
41,"Hugo Fischer, Grand Canyon (MPSF)",Sr.,6-8,OPP,14,45,20,113,0.221
42,"Ryan Wilcox, UC Santa Barbara (Big West)",Jr.,6-2,OH,12,37,18,93,0.204
43,"Eli Zdonek, Emmanuel (GA) (Conference Carolinas)",So.,6-0,S,5,15,7,40,0.200
44,"Sam Kobrine, Southern California (MPSF)",Sr.,6-3,OH,13,40,20,102,0.196
45,"Julian Meissner, NJIT (EIVA)",Jr.,6-7,,8,25,13,62,0.194
46,"Patrick Ross, McKendree (MIVA)",Sr.,6-5,OH,8,23,11,63,0.190
47,"Jake Somers, Belmont Abbey (Conference Carolinas)",Sr.,6-4,OH,7,16,10,34,0.176
48,"Jacob Whyte, Tusculum (DI Independent)",Jr.,6-4,RS,7,16,9,41,0.171
49,"Luke Benson, BYU (MPSF)",Fr.,6-7,OH,5,11,6,30,0.167
50,"Samuel Clark, Ohio St. (MIVA)",Jr.,6-6,MB,8,20,12,49,0.163
51,"Campbell Schoenfeld, Harvard (EIVA)",Sr.,6-8,OH,10,27,14,80,0.163
52,"AJ Lewis, Lindenwood (MIVA)",Jr.,6-5,OH,8,22,11,69,0.159
53,"Ethan Carroll, McKendree (MIVA)",Sr.,6-8,OH,8,23,14,66,0.136
54,"Brendon Dunn, McKendree (MIVA)",Sr.,6-4,OH,6,8,4,33,0.121
55,"Shane Benetz, UC San Diego (Big West)",Sr.,6-6,MB,7,7,4,25,0.120
56,"Eric Li, Harvard (EIVA)",Sr.,6-6,OH,10,20,14,54,0.111
57,"Davide Gardini, BYU (MPSF)",Sr.,6-9,OH,6,17,13,41,0.098
58,"Nathan Zini, Saint Francis (EIVA)",Fr.,6-7,OPP,10,19,14,57,0.088
59,"Mark Stapley, LIU (DI Independent)",Sr.,6-4,OH,8,15,11,49,0.082
60,"Jens Feldthus, NJIT (EIVA)",Sr.,6-3,,8,14,12,41,0.049
61,"Dane Loup, Tusculum (DI Independent)",So.,6-0,OH,7,11,9,42,0.048
62,"Brandon Baker, North Greenville (Conference Carolinas)",Sr.,6-6,OH,4,5,4,24,0.042
62,"Deklan Wingo, Tusculum (DI Independent)",Fr.,6-4,OH,7,8,7,24,0.042
64,"Colby Landry, Tusculum (DI Independent)",So.,6-0,OH,7,9,8,31,0.032
65,"Jordan Cooper, LIU (DI Independent)",Jr.,6-3,OH,8,16,18,55,-0.036
66,"Colin Heath, George Mason (EIVA)",So.,6-6,OH,8,13,15,38,-0.053
67,"Jason Sall, Erskine (Conference Carolinas)",So.,6-3,OH,11,19,25,76,-0.079
68,"Phil Swartz, Lindenwood (MIVA)",Sr.,6-7,OH,8,12,16,44,-0.091
69,"M.J. Doyle, Lees-McRae (Conference Carolinas)",Jr.,6-2,OH,3,2,6,20,-0.200
