Rank,Player,Cl,Ht,Pos,S,Kills,Errors,Total Attacks,Per Set
75,"Luis Velez, George Mason (EIVA)",Jr.,6-4,,3,1,0,3,1.00
80,"Ian Cowen, Loyola Chicago (MVC)",Sr.,6-5,,8,4,0,7,0.88
80,"Wil Stanley, BYU (MPSF)",Sr.,6-4,,8,4,1,7,0.88
82,"Chaz Hafer, Urbana (DI Independent)",Jr.,6-0,,4,0,0,3,0.75
83,"Jake Boldog, North Greenville (Conference Carolinas)",Sr.,5-11,,6,0,0,3,0.50
84,"Joe Kelly, Princeton (EIVA)",Jr.,6-2,,8,0,1,3,0.38
85,"Gabriel Miranda, Stanford (MPSF)",Fr.,6-6,,6,1,1,2,0.33
85,"Rob Mullahey, Pepperdine (MPSF)",Sr.,6-4,,3,1,0,1,0.33
85,"Diego Villafane, Charleston (WV) (EIVA)",So.,6-1,,6,1,1,2,0.33
88,"Tomas Beralas, Urbana (DI Independent)",Jr.,6-0,,4,0,0,1,0.25
89,"Sergio Carrillo, North Greenville (Conference Carolinas)",So.,6-5,,5,0,1,1,0.20
90,"Cole Pender, UCLA (MPSF)",So.,6-2,,6,0,0,1,0.17
91,"Taylan Cook, Loyola Chicago (MVC)",Fr.,6-2,,7,0,0,1,0.14
92,"Nico Posivak, Princeton (EIVA)",Fr.,5-11,,8,0,0,1,0.13
