Rank,Player,Cl,Ht,Pos,S,Aces,Per Set
89,"Roque Nido, NJIT (EIVA)",Sr.,6-4,S,84,21,0.250
89,"Robert Santana, American Int'l (DI Independent)",Fr.,6-1,OH,76,19,0.250
92,"Christian Janke, Grand Canyon (MPSF)",Sr.,6-5,OH,105,26,0.248
93,"Jason Sall, Erskine (Conference Carolinas)",Jr.,6-3,OH,93,23,0.247
94,"Bryan Pepen, Edward Waters (SIAC)",Fr.,6-1,OH,49,12,0.245
95,"Trevor Schultz, Harvard (EIVA)",Jr.,6-6,MB,86,21,0.244
96,"Canyon Tuman, St. Francis Brooklyn (NEC)",Sr.,6-6,OH,78,19,0.244
97,"Matthew Motes, Merrimack (NEC)",Jr.,0-0,MB,97,23,0.237
98,"Kevin Lamp, Stanford (MPSF)",Sr.,6-6,OH,89,21,0.236
99,"Lorenz Liss, Limestone (DI Independent)",Fr.,6-5,MB,103,24,0.233
100,"Alejandro Miranda, American Int'l (DI Independent)",Fr.,6-0,L/DS,78,18,0.231
100,"Shay Spadaro, Lincoln Memorial (DI Independent)",Fr.,6-4,OH,78,18,0.231
