Rank,Player,Cl,Ht,Pos,S,Kills,Errors,Total Attacks,Per Set
1,"Ras Jesse Delancy, Benedict (SIAC)",So.,6-6,OH,69,371,113,812,11.77
2,"Jayden Young, Emmanuel (GA) (Conference Carolinas)",Sr.,6-2,OH,106,425,218,"1,015",9.58
3,"Uriel Batista, CUI (MPSF)",Sr.,6-4,OPP,90,353,149,853,9.48
4,"Brandon Johnston, Barton (Conference Carolinas)",Jr.,6-3,OH,76,229,133,707,9.30
5,"Ryan Ka, UC San Diego (Big West)",Sr.,6-3,OH,86,334,155,794,9.23
6,"Patrick Rogers, St. Francis Brooklyn (NEC)",Fr.,6-6,OH,80,315,127,734,9.18
7,"Jaylen Jasper, Pepperdine (MPSF)",Sr.,6-7,OH,109,544,183,991,9.09
8,"Matteo Miselli, Belmont Abbey (Conference Carolinas)",Sr.,6-2,OH,108,435,197,973,9.01
9,"Raje Alleyne, Quincy (MIVA)",So.,6-6,OH,93,393,169,832,8.95
10,"Jamal Ellis Carballo, FDU (NEC)",Fr.,6-6,OPP,66,282,105,585,8.86
11,"Parker Van Buren, Loyola Chicago (MIVA)",So.,6-9,OH,102,421,115,904,8.86
12,"Jon Diedrich, Purdue Fort Wayne (MIVA)",Sr.,6-6,OPP,104,389,144,915,8.80
13,"Will Rottman, Stanford (MPSF)",Sr.,6-6,OH,88,323,108,755,8.58
14,"Cameron Lee, Central St. (OH) (SIAC)",So.,6-1,OH,110,330,132,941,8.55
15,"Francesco Sani, UC Irvine (Big West)",Jr.,6-8,OH,108,421,146,915,8.47
16,"Kyle Hobus, CSUN (Big West)",Jr.,6-8,OH,95,341,138,798,8.40
17,"Warren Davis, King (TN) (Conference Carolinas)",Jr.,6-0,OH,124,469,188,"1,016",8.19
18,"Omar Hoyos, George Mason (EIVA)",Jr.,6-6,OH,90,322,114,732,8.13
19,"Nate Meyer, Missouri S&T (DI Independent)",Fr.,6-3,OH,71,278,118,577,8.13
20,"Bryan Pepen, Edward Waters (SIAC)",Fr.,6-1,OH,49,183,75,395,8.06
