Rank,Player,Cl,Ht,Pos,S,Assists,Per Set
1,"Michael Wright, Ohio St. (MIVA)",Fr.,6-4,,3,38,12.67
2,"Kevin Kauling, Lewis (MIVA)",Fr.,6-8,,6,67,11.17
3,"Wil Stanley, BYU (MPSF)",Sr.,6-4,,8,89,11.13
4,"Paul Bischoff, Stanford (MPSF)",Sr.,6-5,,5,54,10.80
5,"Patrick Vorenkamp, UC Irvine (Big West)",Fr.,6-6,,3,27,9.00
6,"Chris Hall, Southern California (MPSF)",Jr.,6-2,,5,43,8.60
7,"Joe Kelly, Princeton (EIVA)",Jr.,6-2,,8,67,8.38
8,"Diego Villafane, Charleston (WV) (EIVA)",So.,6-1,,6,49,8.17
9,"Ian Cowen, Loyola Chicago (MVC)",Sr.,6-5,,8,65,8.13
10,"Chaz Hafer, Urbana (DI Independent)",Jr.,6-0,,4,32,8.00
10,"Rob Mullahey, Pepperdine (MPSF)",Sr.,6-4,,3,24,8.00
12,"Mads Kyed Jensen, UCLA (MPSF)",Fr.,6-10,,6,44,7.33
13,"Jake Boldog, North Greenville (Conference Carolinas)",Sr.,5-11,,6,41,6.83
13,"Jakob Thelle, Hawaii (Big West)",So.,6-6,,6,41,6.83
15,"Sergio Carrillo, North Greenville (Conference Carolinas)",So.,6-5,,5,30,6.00
15,"Jack Sarnowski, King (TN) (Conference Carolinas)",Fr.,6-3,S,6,36,6.00
15,"Luis Velez, George Mason (EIVA)",Jr.,6-4,,3,18,6.00
18,"Michael Krueger, Daemen (DI Independent)",So.,6-2,,3,11,3.67
19,"Kevin Lamp, Stanford (MPSF)",Fr.,6-6,,6,12,2.00
20,"Gage Worsley, Hawaii (Big West)",Jr.,6-1,,6,6,1.00
20,"Zach Yerington, Daemen (DI Independent)",Sr.,6-5,,3,3,1.00
22,"Nico Posivak, Princeton (EIVA)",Fr.,5-11,,8,7,0.88
23,"Taylan Cook, Loyola Chicago (MVC)",Fr.,6-2,,7,6,0.86
24,"Tomas Beralas, Urbana (DI Independent)",Jr.,6-0,,4,3,0.75
25,"Brad Creamer, George Mason (EIVA)",Jr.,6-9,,3,2,0.67
25,"Noah Dyer, Pepperdine (MPSF)",Sr.,6-5,,3,2,0.67
25,"Andrew Hillman, Ohio St. (MIVA)",Sr.,6-3,,3,2,0.67
25,"Mike Kapusta, George Mason (EIVA)",So.,6-7,,3,2,0.67
25,"Justin Lui, Stanford (MPSF)",Fr.,5-10,,6,4,0.67
25,"Diego Perez, Pepperdine (MPSF)",Fr.,6-0,,3,2,0.67
25,"Joel Schneidmiller, UC Irvine (Big West)",Jr.,6-6,,3,2,0.67
25,"Scott Stadick, UC Irvine (Big West)",Sr.,7-0,,3,2,0.67
33,"Cole Paxson, Southern California (MPSF)",Jr.,5-11,,5,3,0.60
34,"Parker Dixon, Princeton (EIVA)",Sr.,6-6,,7,3,0.43
34,"Suetonius Harris, King (TN) (Conference Carolinas)",So.,6-1,OH,7,3,0.43
36,"Cole Schlothauer, Loyola Chicago (MVC)",Fr.,6-5,,8,3,0.38
37,"Samuel Clark, Ohio St. (MIVA)",Fr.,6-6,,3,1,0.33
37,"Colton Cowell, Hawaii (Big West)",Sr.,6-1,,6,2,0.33
37,"Sam Greenslade, George Mason (EIVA)",Sr.,6-7,,3,1,0.33
37,"JB Kam, UC Irvine (Big West)",Sr.,6-3,,3,1,0.33
37,"Trevor Kennan, George Mason (EIVA)",So.,6-2,,3,1,0.33
37,"JT Martin, Pepperdine (MPSF)",Fr.,6-6,,3,1,0.33
37,"Parker Mikesch, Ohio St. (MIVA)",So.,5-11,,3,1,0.33
37,"Max Senica, Charleston (WV) (EIVA)",Jr.,6-2,,6,2,0.33
45,"Jackson Gilbert, North Greenville (Conference Carolinas)",Sr.,6-6,,7,2,0.29
45,"Marty Jepsen, Lewis (MIVA)",Fr.,6-1,,7,2,0.29
45,"Christian Phung, North Greenville (Conference Carolinas)",So.,6-1,,7,2,0.29
48,"Billy Fauntleroy, Southern California (MPSF)",So.,6-8,,4,1,0.25
48,"Gabi Garcia Fernandez, BYU (MPSF)",Jr.,6-7,,8,2,0.25
48,"Sam Hargett, Urbana (DI Independent)",Fr.,6-2,,4,1,0.25
48,"Miki Jauhiainen, BYU (MPSF)",Sr.,6-9,,8,2,0.25
