Rank,Player,Cl,Ht,Pos,S,Kills,Per Set
1,"Davide Gardini, BYU (MPSF)",So.,6-9,,8,40,5.00
2,"Gabi Garcia Fernandez, BYU (MPSF)",Jr.,6-7,,8,38,4.75
3,"Jackson Gilbert, North Greenville (Conference Carolinas)",Sr.,6-6,,7,26,3.71
4,"Reese Devilbiss, Ohio St. (MIVA)",Sr.,6-2,,3,11,3.67
4,"Alexandre Nsakanda, UC Irvine (Big West)",So.,6-4,,3,11,3.67
6,"George Huhmann, Princeton (EIVA)",Sr.,6-11,,8,29,3.63
7,"Cole Schlothauer, Loyola Chicago (MVC)",Fr.,6-5,,8,28,3.50
8,"Tyler Mitchem, Lewis (MIVA)",Jr.,6-10,,7,24,3.43
9,"Samuel Clark, Ohio St. (MIVA)",Fr.,6-6,,3,10,3.33
9,"Noah Dyer, Pepperdine (MPSF)",Sr.,6-5,,3,10,3.33
9,"Hayden Wagner, George Mason (EIVA)",Sr.,6-6,,3,10,3.33
12,"Brandon Browning, Southern California (MPSF)",So.,6-4,,5,15,3.00
12,"Colton Cowell, Hawaii (Big West)",Sr.,6-1,,6,18,3.00
12,"Cade McGee, North Greenville (Conference Carolinas)",So.,6-1,,7,21,3.00
15,"Devin Joslyn, Loyola Chicago (MVC)",Jr.,6-6,,8,23,2.88
16,"Daenan Gyimah, UCLA (MPSF)",Sr.,6-8,,6,17,2.83
16,"TJ Murray, Lewis (MIVA)",Jr.,6-9,,6,17,2.83
18,"Tyler Chavez, Urbana (DI Independent)",Fr.,6-2,,4,11,2.75
18,"Sam Hargett, Urbana (DI Independent)",Fr.,6-2,,4,11,2.75
20,"Joshua Kim, King (TN) (Conference Carolinas)",Jr.,6-6,RS,7,19,2.71
21,"Andrew Hillman, Ohio St. (MIVA)",Sr.,6-3,,3,8,2.67
21,"Martin Lallemand, Ohio St. (MIVA)",Jr.,6-4,,3,8,2.67
21,"Joel Schneidmiller, UC Irvine (Big West)",Jr.,6-6,,3,8,2.67
21,"Ethan Talley, Ohio St. (MIVA)",So.,6-7,,3,8,2.67
25,"Rado Parapunov, Hawaii (Big West)",Sr.,6-9,,5,13,2.60
26,"Parker Dixon, Princeton (EIVA)",Sr.,6-6,,7,18,2.57
27,"Jack Brinkman, Urbana (DI Independent)",Fr.,6-2,,4,10,2.50
27,"Alex  Knight, UCLA (MPSF)",Fr.,6-5,,6,15,2.50
27,"Jake Vorburger, Charleston (WV) (EIVA)",Fr.,0-0,,6,15,2.50
30,"Ryan Coenen, Lewis (MIVA)",Sr.,6-9,,6,14,2.33
31,"Kyle Bugee, Lewis (MIVA)",Sr.,6-5,,7,16,2.29
32,"Billy Fauntleroy, Southern California (MPSF)",So.,6-8,,4,9,2.25
33,"Lachlan Bray, Charleston (WV) (EIVA)",So.,6-5,,5,11,2.20
34,"Max Senica, Charleston (WV) (EIVA)",Jr.,6-2,,6,13,2.17
35,"Kyle Gear, Southern California (MPSF)",Jr.,6-9,,5,10,2.00
35,"Ben Hamsho, North Greenville (Conference Carolinas)",Sr.,6-7,,7,14,2.00
35,"JB Kam, UC Irvine (Big West)",Sr.,6-3,,3,6,2.00
35,"Mike Kapusta, George Mason (EIVA)",So.,6-7,,3,6,2.00
35,"Jack Reese, George Mason (EIVA)",Jr.,6-8,,3,6,2.00
35,"Scott Stadick, UC Irvine (Big West)",Sr.,7-0,,3,6,2.00
35,"Zach Yerington, Daemen (DI Independent)",Sr.,6-5,,3,6,2.00
42,"Sean Kohlhase, King (TN) (Conference Carolinas)",Jr.,6-4,OH,7,13,1.86
43,"Zach Eschenberg, BYU (MPSF)",Sr.,6-6,,6,11,1.83
44,"Patrick Gasman, Hawaii (Big West)",Sr.,6-10,,5,9,1.80
