Rank,Player,Cl,Ht,Pos,S,Kills,Per Set
45,"Austin Matautia, UCLA (MPSF)",Sr.,6-4,,6,10,1.67
46,"Brandon Baker, North Greenville (Conference Carolinas)",Jr.,6-6,,7,11,1.57
46,"Suetonius Harris, King (TN) (Conference Carolinas)",So.,6-1,OH,7,11,1.57
46,"Jerod Nelsen, Princeton (EIVA)",So.,6-7,,7,11,1.57
49,"Brad Creamer, George Mason (EIVA)",Jr.,6-9,,3,4,1.33
49,"Dalen Instenes, Lewis (MIVA)",Sr.,6-5,,6,8,1.33
49,"Ismael  Sneed, Charleston (WV) (EIVA)",Fr.,0-0,,6,8,1.33
49,"Scott Solan, Pepperdine (MPSF)",Fr.,6-8,,3,4,1.33
53,"Alexander Mrkalj, Princeton (EIVA)",Fr.,6-5,,8,10,1.25
54,"Jakob Thelle, Hawaii (Big West)",So.,6-6,,6,7,1.17
55,"Greg Luck, Princeton (EIVA)",Sr.,6-5,,8,9,1.13
56,"Paul Bischoff, Stanford (MPSF)",Sr.,6-5,,5,5,1.00
56,"Sean Dennis, UC Irvine (Big West)",Jr.,6-11,,3,3,1.00
56,"Anton Frank, Loyola Chicago (MVC)",Fr.,6-9,,8,8,1.00
56,"JT Martin, Pepperdine (MPSF)",Fr.,6-6,,3,3,1.00
56,"Liam Morrissey, Urbana (DI Independent)",Fr.,6-5,,4,4,1.00
56,"Guilherme Voss, Hawaii (Big West)",Fr.,6-7,,5,5,1.00
56,"Austin Wilmot, Pepperdine (MPSF)",Jr.,6-10,,3,3,1.00
63,"Miki Jauhiainen, BYU (MPSF)",Sr.,6-9,,8,7,0.88
64,"Mads Kyed Jensen, UCLA (MPSF)",Fr.,6-10,,6,5,0.83
65,"Max Beck, Southern California (MPSF)",Fr.,6-8,,5,4,0.80
65,"Adriel Roberts, Charleston (WV) (EIVA)",Sr.,6-6,,5,4,0.80
67,"Danny Farrell, Loyola Chicago (MVC)",Fr.,6-8,,8,6,0.75
68,"Douglas Florencio, King (TN) (Conference Carolinas)",Jr.,6-7,MB,7,5,0.71
68,"Julian Young, King (TN) (Conference Carolinas)",Sr.,6-5,MB,7,5,0.71
70,"Sam Greenslade, George Mason (EIVA)",Sr.,6-7,,3,2,0.67
70,"Kevin Kauling, Lewis (MIVA)",Fr.,6-8,,6,4,0.67
72,"James Anastassiades, Hawaii (Big West)",Sr.,6-5,,6,3,0.50
72,"Ian Cowen, Loyola Chicago (MVC)",Sr.,6-5,,8,4,0.50
72,"Kurt Klamfoth, Urbana (DI Independent)",Fr.,6-5,,4,2,0.50
72,"JP Reilly, Stanford (MPSF)",Jr.,6-4,,6,3,0.50
72,"Wil Stanley, BYU (MPSF)",Sr.,6-4,,8,4,0.50
72,"Felipe de Brito Ferreira, BYU (MPSF)",Jr.,6-9,,6,3,0.50
78,"Michael Krueger, Daemen (DI Independent)",So.,6-2,,3,1,0.33
78,"Rob Mullahey, Pepperdine (MPSF)",Sr.,6-4,,3,1,0.33
78,"Jack Sarnowski, King (TN) (Conference Carolinas)",Fr.,6-3,S,6,2,0.33
78,"Luis Velez, George Mason (EIVA)",Jr.,6-4,,3,1,0.33
82,"Chris Hall, Southern California (MPSF)",Jr.,6-2,,5,1,0.20
83,"Gabriel Miranda, Stanford (MPSF)",Fr.,6-6,,6,1,0.17
83,"Diego Villafane, Charleston (WV) (EIVA)",So.,6-1,,6,1,0.17
