Rank,Player,Cl,Ht,Pos,S,Block Solos,Block Assists,Total,Per Set
66,"Michael Keegan, Purdue Fort Wayne (MIVA)",Sr.,6-3,,6,0,3,3,0.500
66,"Dimitrios Kyridis, Barton (Conference Carolinas)",So.,6-8,,4,0,2,2,0.500
66,"Angelos Mandilaris, Barton (Conference Carolinas)",Jr.,6-5,,4,0,2,2,0.500
66,"Calvin Mende, Penn St. (EIVA)",Jr.,6-11,,4,0,2,2,0.500
66,"Colton Stone, Purdue Fort Wayne (MIVA)",Sr.,6-5,,6,0,3,3,0.500
66,"Matt Szews, Ball St. (MIVA)",Jr.,6-8,,8,0,4,4,0.500
76,"Matthew Ctvrlik, Harvard (EIVA)",Jr.,6-5,,13,1,5,6,0.462
76,"Ryan Hong, Harvard (EIVA)",Fr.,6-2,,13,2,4,6,0.462
76,"Joe Kelly, Princeton (EIVA)",So.,6-2,,13,0,6,6,0.462
79,"Simon Andersen, Long Beach St. (Big West)",So.,6-8,,9,0,4,4,0.444
79,"TJ DeFalco, Long Beach St. (Big West)",Sr.,6-4,,9,0,4,4,0.444
81,"Brendin Chandler, Pepperdine (MPSF)",Fr.,6-3,,7,0,3,3,0.429
81,"Taylor Ittner, CSUN (Big West)",Fr.,6-4,,14,0,6,6,0.429
81,"Dylan Missry, UCLA (MPSF)",Sr.,6-4,,7,0,3,3,0.429
81,"Connor Walbrecht, UC San Diego (Big West)",Jr.,6-4,,7,0,3,3,0.429
81,"David Wieczorek, Pepperdine (MPSF)",Sr.,6-8,,7,0,3,3,0.429
86,"Philip Barker, CSUN (Big West)",Fr.,6-7,,10,0,4,4,0.400
86,"Eric Beatty, Stanford (MPSF)",Jr.,6-7,,5,1,1,2,0.400
88,"Erik Johnsson, Harvard (EIVA)",Jr.,6-4,,13,1,4,5,0.385
88,"Campbell Schoenfeld, Harvard (EIVA)",Fr.,6-8,,13,1,4,5,0.385
90,"Kyle Piekarski, Loyola Chicago (MIVA)",Jr.,6-8,,8,0,3,3,0.375
90,"Garrett Zolg, Loyola Chicago (MIVA)",So.,6-3,,8,0,3,3,0.375
92,"Maarten Bartels, Charleston (WV) (EIVA)",So.,6-4,,3,1,0,1,0.333
92,"Aaron Campbell, North Greenville (Conference Carolinas)",Sr.,6-6,,6,0,2,2,0.333
92,"Nic Cavallaro, Queens (NC) (DI Independent)",So.,6-3,,3,0,1,1,0.333
92,"Dante Chakravorti, UC Irvine (Big West)",Sr.,6-4,,9,0,3,3,0.333
92,"Kyle Ensing, Long Beach St. (Big West)",Sr.,6-7,,9,0,3,3,0.333
92,"Brandon Greenway, Charleston (WV) (EIVA)",Sr.,6-4,,3,0,1,1,0.333
92,"Casey McGarry, UC Santa Barbara (Big West)",Jr.,6-1,,9,1,2,3,0.333
92,"Roque Nido, NJIT (Independent)",Fr.,6-4,,6,0,2,2,0.333
92,"JP Payne, Queens (NC) (DI Independent)",So.,6-4,,3,0,1,1,0.333
92,"Adriel Roberts, Charleston (WV) (EIVA)",Jr.,6-6,,3,0,1,1,0.333
92,"Tristan Santoyo, Queens (NC) (DI Independent)",So.,6-3,,3,0,1,1,0.333
92,"Lee Smith, Penn St. (EIVA)",Sr.,6-6,,3,0,1,1,0.333
92,"Pelegrin Vargas, Purdue Fort Wayne (MIVA)",Jr.,6-4,,6,0,2,2,0.333
92,"Diego Villafane, Charleston (WV) (EIVA)",Fr.,6-1,,3,0,1,1,0.333
