Rank,Player,Cl,Ht,Pos,S,Kills,Per Set
71,"Justin Howard, Ohio St. (MIVA)",So.,6-6,MB,9,14,1.56
73,"Martin De Chavarria, NJIT (EIVA)",Jr.,6-7,,8,12,1.50
73,"Lucas Frassrand, Southern California (MPSF)",Jr.,6-6,MB,14,21,1.50
73,"Phil Swartz, Lindenwood (MIVA)",Sr.,6-7,OH,8,12,1.50
76,"Kupono Browne, BYU (MPSF)",So.,6-5,OH,5,7,1.40
76,"Sam Collins, UC Santa Barbara (Big West)",So.,6-2,OH,10,14,1.40
76,"Troy Culp, Grand Canyon (MPSF)",Jr.,6-4,MB,10,14,1.40
79,"Brendon Dunn, McKendree (MIVA)",Sr.,6-4,OH,6,8,1.33
79,"Shane Holdaway, Long Beach St. (Big West)",Jr.,6-9,MB,3,4,1.33
79,"Branden Oberender, BYU (MPSF)",Sr.,6-7,MB,6,8,1.33
82,"Colby Landry, Tusculum (DI Independent)",So.,6-0,OH,7,9,1.29
83,"Thomas Leahey, Saint Francis (EIVA)",So.,6-9,,11,14,1.27
84,"Emanuel Adames, North Greenville (Conference Carolinas)",So.,6-6,MB,4,5,1.25
84,"Brandon Baker, North Greenville (Conference Carolinas)",Sr.,6-6,OH,4,5,1.25
84,"Riley Mulkey, Belmont Abbey (Conference Carolinas)",Sr.,6-5,MB,8,10,1.25
84,"Eamonn Testerman, George Mason (EIVA)",So.,6-8,MB,8,10,1.25
88,"Alex Pappas, Lindenwood (MIVA)",Sr.,6-7,MB,9,11,1.22
89,"Cody Johnson, Purdue Fort Wayne (MIVA)",Sr.,6-7,MB,6,7,1.17
90,"Karter Rogers, Grand Canyon (MPSF)",So.,6-5,OH,14,16,1.14
90,"Deklan Wingo, Tusculum (DI Independent)",Fr.,6-4,OH,7,8,1.14
92,"Carson Williams, NJIT (EIVA)",Jr.,6-6,,8,9,1.13
93,"Cole Young, Ohio St. (MIVA)",Fr.,6-10,MB,9,10,1.11
94,"Shane Benetz, UC San Diego (Big West)",Sr.,6-6,MB,7,7,1.00
94,"Shaphar Grant, Tusculum (DI Independent)",Jr.,6-4,OH,7,7,1.00
94,"Sebastian Heer, Lees-McRae (Conference Carolinas)",Fr.,6-3,MB,3,3,1.00
94,"Shaun Kampshoff, Tusculum (DI Independent)",Sr.,6-3,S,7,7,1.00
94,"Grant Marocchi, Long Beach St. (Big West)",Jr.,6-7,MB,3,3,1.00
94,"Tommy McGrath, McKendree (MIVA)",Sr.,6-7,MB,8,8,1.00
94,"Ryan Serrano, McKendree (MIVA)",Sr.,6-4,S,8,8,1.00
