Rank,Player,Cl,Ht,Pos,S,Kills,Per Set
1,"Ras Jesse Delancy, Benedict (SIAC)",So.,6-6,OH,69,371,5.38
2,"Jaylen Jasper, Pepperdine (MPSF)",Sr.,6-7,OH,109,544,4.99
3,"Jamal Ellis Carballo, FDU (NEC)",Fr.,6-6,OPP,66,282,4.27
4,"Raje Alleyne, Quincy (MIVA)",So.,6-6,OH,93,393,4.23
5,"Parker Van Buren, Loyola Chicago (MIVA)",So.,6-9,OH,102,421,4.13
6,"Matteo Miselli, Belmont Abbey (Conference Carolinas)",Sr.,6-2,OH,108,435,4.03
7,"Jayden Young, Emmanuel (GA) (Conference Carolinas)",Sr.,6-2,OH,106,425,4.01
8,"Dimitrios Mouchlias, Hawaii (Big West)",Jr.,6-6,OPP,90,356,3.96
9,"Patrick Rogers, St. Francis Brooklyn (NEC)",Fr.,6-6,OH,80,315,3.94
10,"Uriel Batista, CUI (MPSF)",Sr.,6-4,OPP,90,353,3.92
11,"Nate Meyer, Missouri S&T (DI Independent)",Fr.,6-3,OH,71,278,3.92
12,"Jacob Pasteur, Ohio St. (MIVA)",Jr.,6-4,OH,119,464,3.90
13,"Francesco Sani, UC Irvine (Big West)",Jr.,6-8,OH,108,421,3.90
14,"Ryan Ka, UC San Diego (Big West)",Sr.,6-3,OH,86,334,3.88
15,"Zach Schneider, Daemen (NEC)",Sr.,6-6,OH,83,318,3.83
16,"Warren Davis, King (TN) (Conference Carolinas)",Jr.,6-0,OH,124,469,3.78
17,"Jon Diedrich, Purdue Fort Wayne (MIVA)",Sr.,6-6,OPP,104,389,3.74
18,"Bryan Pepen, Edward Waters (SIAC)",Fr.,6-1,OH,49,183,3.73
19,"Will Rottman, Stanford (MPSF)",Sr.,6-6,OH,88,323,3.67
20,"Kaleb Jenness, Ball St. (MIVA)",Sr.,6-6,OH,98,359,3.66
21,"Albert Warzocha, Limestone (DI Independent)",So.,6-3,OH,74,271,3.66
22,"Kaelen Ingram, Edward Waters (SIAC)",So.,6-6,OH,59,215,3.64
23,"Tinaishe Ndavazocheva, Ball St. (MIVA)",So.,6-6,OH,95,342,3.60
24,"Dillon Klein, Southern California (MPSF)",Fr.,6-4,OH,99,356,3.60
25,"Kyle Hobus, CSUN (Big West)",Jr.,6-8,OH,95,341,3.59
26,"Omar Hoyos, George Mason (EIVA)",Jr.,6-6,OH,90,322,3.58
27,"Matthew Pilch, Queens (NC) (DI Independent)",So.,6-3,OH,83,294,3.54
28,"Ido David, UCLA (MPSF)",So.,6-7,OH,91,322,3.54
29,"Ben Harrington, Princeton (EIVA)",Jr.,6-4,,95,334,3.52
30,"Spyros Chakas, Hawaii (Big West)",Jr.,6-4,OH,90,315,3.50
31,"Hilir Henno, UC Irvine (Big West)",So.,6-8,OH,99,343,3.46
32,"Isaiah Fedd, Fort Valley St. (SIAC)",Fr.,6-3,OH,99,340,3.43
33,"Cal Fisher, Penn St. (EIVA)",Sr.,6-3,OPP,76,261,3.43
34,"Cole Schlothauer, Loyola Chicago (MIVA)",Sr.,6-5,OH,90,306,3.40
35,"Max Roquet, Lewis (MIVA)",So.,6-8,OH,91,304,3.34
36,"Edgerrin Austin, Erskine (Conference Carolinas)",Jr.,5-11,OH,87,289,3.32
37,"Patrick Mucherino, Sacred Heart (NEC)",Jr.,6-5,OH,85,282,3.32
38,"Miks Ramanis, BYU (MPSF)",So.,6-4,OH,96,313,3.26
39,"Kacper Rybarczyk, Erskine (Conference Carolinas)",Jr.,6-4,OH,76,247,3.25
