Rank,Player,Cl,Ht,Pos,S,Kills,Aces,Block Solos,Block Assists,Per Set
1,"Gabi Garcia Fernandez, BYU (MPSF)",Jr.,6-7,,8,38,11,0,8,6.63
2,"Davide Gardini, BYU (MPSF)",So.,6-9,,8,40,1,0,8,5.63
3,"Jackson Gilbert, North Greenville (Conference Carolinas)",Sr.,6-6,,7,26,5,1,2,4.71
4,"George Huhmann, Princeton (EIVA)",Sr.,6-11,,8,29,6,0,5,4.69
5,"Alexandre Nsakanda, UC Irvine (Big West)",So.,6-4,,3,11,2,0,2,4.67
6,"Hayden Wagner, George Mason (EIVA)",Sr.,6-6,,3,10,1,0,5,4.50
7,"Devin Joslyn, Loyola Chicago (MVC)",Jr.,6-6,,8,23,8,1,4,4.25
8,"Daenan Gyimah, UCLA (MPSF)",Sr.,6-8,,6,17,4,1,6,4.17
9,"Noah Dyer, Pepperdine (MPSF)",Sr.,6-5,,3,10,0,0,4,4.00
9,"Andrew Hillman, Ohio St. (MIVA)",Sr.,6-3,,3,8,3,0,2,4.00
9,"Joel Schneidmiller, UC Irvine (Big West)",Jr.,6-6,,3,8,3,0,2,4.00
12,"Tyler Mitchem, Lewis (MIVA)",Jr.,6-10,,7,24,1,1,3,3.93
13,"Cole Schlothauer, Loyola Chicago (MVC)",Fr.,6-5,,8,28,2,0,2,3.88
14,"Reese Devilbiss, Ohio St. (MIVA)",Sr.,6-2,,3,11,0,0,1,3.83
14,"Martin Lallemand, Ohio St. (MIVA)",Jr.,6-4,,3,8,2,0,3,3.83
16,"Samuel Clark, Ohio St. (MIVA)",Fr.,6-6,,3,10,0,0,2,3.67
16,"Scott Stadick, UC Irvine (Big West)",Sr.,7-0,,3,6,1,2,4,3.67
18,"Colton Cowell, Hawaii (Big West)",Sr.,6-1,,6,18,1,1,3,3.58
19,"Kyle Bugee, Lewis (MIVA)",Sr.,6-5,,7,16,8,0,1,3.50
20,"Kyle Gear, Southern California (MPSF)",Jr.,6-9,,5,10,4,1,3,3.30
21,"Tyler Chavez, Urbana (DI Independent)",Fr.,6-2,,4,11,2,0,0,3.25
21,"TJ Murray, Lewis (MIVA)",Jr.,6-9,,6,17,1,0,3,3.25
23,"Ben Hamsho, North Greenville (Conference Carolinas)",Sr.,6-7,,7,14,4,1,7,3.21
24,"Cade McGee, North Greenville (Conference Carolinas)",So.,6-1,,7,21,0,0,2,3.14
25,"Brandon Browning, Southern California (MPSF)",So.,6-4,,5,15,0,0,1,3.10
26,"Patrick Gasman, Hawaii (Big West)",Sr.,6-10,,5,9,3,0,6,3.00
26,"Sam Hargett, Urbana (DI Independent)",Fr.,6-2,,4,11,0,1,0,3.00
26,"Jack Reese, George Mason (EIVA)",Jr.,6-8,,3,6,0,0,6,3.00
26,"Ethan Talley, Ohio St. (MIVA)",So.,6-7,,3,8,0,0,2,3.00
30,"Joshua Kim, King (TN) (Conference Carolinas)",Jr.,6-6,RS,7,19,0,0,3,2.93
31,"Alex  Knight, UCLA (MPSF)",Fr.,6-5,,6,15,2,0,1,2.92
32,"Rado Parapunov, Hawaii (Big West)",Sr.,6-9,,5,13,1,0,1,2.90
33,"Ryan Coenen, Lewis (MIVA)",Sr.,6-9,,6,14,2,0,2,2.83
33,"Austin Matautia, UCLA (MPSF)",Sr.,6-4,,6,10,6,0,2,2.83
35,"Parker Dixon, Princeton (EIVA)",Sr.,6-6,,7,18,0,0,3,2.79
36,"Jake Vorburger, Charleston (WV) (EIVA)",Fr.,0-0,,6,15,0,0,3,2.75
37,"Zach Eschenberg, BYU (MPSF)",Sr.,6-6,,6,11,4,0,2,2.67
37,"JT Martin, Pepperdine (MPSF)",Fr.,6-6,,3,3,1,0,8,2.67
37,"Zach Yerington, Daemen (DI Independent)",Sr.,6-5,,3,6,2,0,0,2.67
40,"Jack Brinkman, Urbana (DI Independent)",Fr.,6-2,,4,10,0,0,1,2.63
40,"Billy Fauntleroy, Southern California (MPSF)",So.,6-8,,4,9,1,0,1,2.63
42,"JB Kam, UC Irvine (Big West)",Sr.,6-3,,3,6,0,0,2,2.33
42,"Max Senica, Charleston (WV) (EIVA)",Jr.,6-2,,6,13,0,0,2,2.33
44,"Lachlan Bray, Charleston (WV) (EIVA)",So.,6-5,,5,11,0,0,0,2.20
45,"Mike Kapusta, George Mason (EIVA)",So.,6-7,,3,6,0,0,1,2.17
46,"Dalen Instenes, Lewis (MIVA)",Sr.,6-5,,6,8,4,0,1,2.08
46,"Mads Kyed Jensen, UCLA (MPSF)",Fr.,6-10,,6,5,5,1,3,2.08
48,"Brandon Baker, North Greenville (Conference Carolinas)",Jr.,6-6,,7,11,1,2,1,2.07
48,"Sean Kohlhase, King (TN) (Conference Carolinas)",Jr.,6-4,OH,7,13,1,0,1,2.07
50,"Sean Dennis, UC Irvine (Big West)",Jr.,6-11,,3,3,1,0,4,2.00
50,"Jerod Nelsen, Princeton (EIVA)",So.,6-7,,7,11,1,0,4,2.00
50,"Scott Solan, Pepperdine (MPSF)",Fr.,6-8,,3,4,0,0,4,2.00
53,"Greg Luck, Princeton (EIVA)",Sr.,6-5,,8,9,1,1,9,1.94
54,"Suetonius Harris, King (TN) (Conference Carolinas)",So.,6-1,OH,7,11,1,0,1,1.79
55,"Paul Bischoff, Stanford (MPSF)",Sr.,6-5,,5,5,0,1,5,1.70
56,"Liam Morrissey, Urbana (DI Independent)",Fr.,6-5,,4,4,0,2,1,1.63
57,"Ismael  Sneed, Charleston (WV) (EIVA)",Fr.,0-0,,6,8,0,1,1,1.58
58,"Alexander Mrkalj, Princeton (EIVA)",Fr.,6-5,,8,10,2,0,1,1.56
59,"Brad Creamer, George Mason (EIVA)",Jr.,6-9,,3,4,0,0,1,1.50
59,"Guilherme Voss, Hawaii (Big West)",Fr.,6-7,,5,5,0,1,3,1.50
59,"Austin Wilmot, Pepperdine (MPSF)",Jr.,6-10,,3,3,0,0,3,1.50
62,"Miki Jauhiainen, BYU (MPSF)",Sr.,6-9,,8,7,1,0,7,1.44
62,"Wil Stanley, BYU (MPSF)",Sr.,6-4,,8,4,4,1,5,1.44
64,"Jakob Thelle, Hawaii (Big West)",So.,6-6,,6,7,0,0,3,1.42
65,"Max Beck, Southern California (MPSF)",Fr.,6-8,,5,4,0,0,6,1.40
66,"Douglas Florencio, King (TN) (Conference Carolinas)",Jr.,6-7,MB,7,5,2,0,5,1.36
67,"Sam Greenslade, George Mason (EIVA)",Sr.,6-7,,3,2,1,0,2,1.33
68,"Danny Farrell, Loyola Chicago (MVC)",Fr.,6-8,,8,6,1,0,7,1.31
69,"Adriel Roberts, Charleston (WV) (EIVA)",Sr.,6-6,,5,4,0,0,5,1.30
70,"Anton Frank, Loyola Chicago (MVC)",Fr.,6-9,,8,8,0,0,4,1.25
71,"James Anastassiades, Hawaii (Big West)",Sr.,6-5,,6,3,4,0,0,1.17
71,"JP Reilly, Stanford (MPSF)",Jr.,6-4,,6,3,1,2,2,1.17
73,"Felipe de Brito Ferreira, BYU (MPSF)",Jr.,6-9,,6,3,0,0,7,1.08
74,"Julian Young, King (TN) (Conference Carolinas)",Sr.,6-5,MB,7,5,0,1,3,1.07
75,"Kevin Kauling, Lewis (MIVA)",Fr.,6-8,,6,4,1,0,2,1.00
76,"Jack Sarnowski, King (TN) (Conference Carolinas)",Fr.,6-3,S,6,2,3,0,1,0.92
77,"Kurt Klamfoth, Urbana (DI Independent)",Fr.,6-5,,4,2,0,1,1,0.88
78,"Ian Cowen, Loyola Chicago (MVC)",Sr.,6-5,,8,4,1,0,1,0.69
79,"Diego Villafane, Charleston (WV) (EIVA)",So.,6-1,,6,1,1,1,1,0.58
80,"Sergio Carrillo, North Greenville (Conference Carolinas)",So.,6-5,,5,0,1,0,3,0.50
80,"Luis Velez, George Mason (EIVA)",Jr.,6-4,,3,1,0,0,1,0.50
82,"Jake Boldog, North Greenville (Conference Carolinas)",Sr.,5-11,,6,0,0,2,1,0.42
83,"Chris Hall, Southern California (MPSF)",Jr.,6-2,,5,1,0,0,2,0.40
84,"Michael Krueger, Daemen (DI Independent)",So.,6-2,,3,1,0,0,0,0.33
84,"Rob Mullahey, Pepperdine (MPSF)",Sr.,6-4,,3,1,0,0,0,0.33
84,"Kyle Skinner, Ohio St. (MIVA)",Sr.,6-4,,3,0,1,0,0,0.33
84,"Patrick Vorenkamp, UC Irvine (Big West)",Fr.,6-6,,3,0,0,0,2,0.33
88,"Joe Kelly, Princeton (EIVA)",Jr.,6-2,,8,0,0,0,4,0.25
88,"Kevin Lamp, Stanford (MPSF)",Fr.,6-6,,6,0,0,0,3,0.25
90,"Gabriel Miranda, Stanford (MPSF)",Fr.,6-6,,6,1,0,0,0,0.17
91,"Chaz Hafer, Urbana (DI Independent)",Jr.,6-0,,4,0,0,0,1,0.13
91,"Andrew Lyons, Loyola Chicago (MVC)",Fr.,6-7,,8,0,1,0,0,0.13
