Rank,Player,Cl,Ht,Pos,S,Kills,Aces,Block Solos,Block Assists,Per Set
1,"Jake Hanes, Ohio St. (MIVA)",So.,6-10,,7,37,5,0,2,6.14
2,"Joel Schneidmiller, UC Irvine (Big West)",So.,6-6,,9,41,4,0,6,5.33
3,"Kyle Ensing, Long Beach St. (Big West)",Sr.,6-7,,9,42,4,0,3,5.28
4,"Pelegrin Vargas, Purdue Fort Wayne (MIVA)",Jr.,6-4,,6,28,2,0,2,5.17
5,"Calvin Mende, Penn St. (EIVA)",Jr.,6-11,,4,18,1,0,2,5.00
6,"Hayden Wagner, George Mason (EIVA)",Jr.,6-6,,7,24,4,2,7,4.79
7,"Parker Dixon, Princeton (EIVA)",Jr.,6-6,,13,52,5,0,8,4.69
8,"Brandon Rattray, UCLA (MPSF)",Jr.,6-5,,7,28,1,0,6,4.57
9,"Corey Chavers, UC Santa Barbara (Big West)",Sr.,6-6,,11,42,4,0,6,4.45
10,"Jaylen Jasper, Stanford (MPSF)",So.,6-7,,6,19,4,0,6,4.33
11,"Christian Janke, Grand Canyon (MPSF)",Fr.,6-5,,11,40,6,0,3,4.32
12,"Dimitar Kalchev, CSUN (Big West)",Sr.,6-4,,14,49,8,0,3,4.18
13,"Michael Wexter, Pepperdine (MPSF)",Sr.,6-6,,7,24,1,0,6,4.00
14,"Ksawery Tomsia, CSUN (Big West)",Jr.,6-7,,11,36,4,0,7,3.95
15,"Daenan Gyimah, UCLA (MPSF)",Jr.,6-8,,7,14,7,3,7,3.93
16,"Kaleb Denmark, Pepperdine (MPSF)",Sr.,6-4,,7,20,5,0,4,3.86
17,"TJ Murray, Lewis (MIVA)",So.,6-9,,6,18,1,0,8,3.83
18,"Reese Devilbiss, Ohio St. (MIVA)",Jr.,6-2,,7,19,5,0,5,3.79
18,"Dylan Missry, UCLA (MPSF)",Sr.,6-4,,7,23,2,0,3,3.79
18,"David Wieczorek, Pepperdine (MPSF)",Sr.,6-8,,7,23,2,0,3,3.79
21,"Ryan Coenen, Lewis (MIVA)",Jr.,6-9,,6,18,1,1,5,3.75
21,"Matt Szews, Ball St. (MIVA)",Jr.,6-8,,8,23,5,0,4,3.75
23,"Kaleb Jenness, Ball St. (MIVA)",Fr.,6-6,,7,22,1,0,6,3.71
24,"George Huhmann, Princeton (EIVA)",Jr.,6-11,,13,40,2,1,9,3.65
25,"Collin Mahan, Loyola Chicago (MIVA)",Sr.,6-5,,7,21,0,0,8,3.57
26,"TJ DeFalco, Long Beach St. (Big West)",Sr.,6-4,,9,26,3,0,4,3.44
27,"Sam Greenslade, George Mason (EIVA)",Jr.,6-7,,7,15,8,0,2,3.43
28,"Tony Price, Purdue Fort Wayne (MIVA)",Sr.,6-4,,6,15,3,0,5,3.42
29,"Vasilis Mandilaris, Barton (Conference Carolinas)",Sr.,6-5,,4,10,3,0,1,3.38
30,"Maarten Bartels, Charleston (WV) (EIVA)",So.,6-4,,3,8,1,1,0,3.33
30,"Richie Diedrich, Purdue Fort Wayne (MIVA)",Jr.,6-9,,6,14,4,0,4,3.33
32,"Jordan Hoppe, CUI (MPSF)",Jr.,0-0,,10,30,0,0,6,3.30
33,"Paul Narup, Loyola Chicago (MIVA)",Sr.,6-7,,7,15,0,3,10,3.29
33,"Langston Payne, George Mason (EIVA)",Sr.,6-5,,7,17,2,2,4,3.29
35,"Blake Leeson, Ohio St. (MIVA)",Sr.,6-7,,7,16,4,0,5,3.21
35,"Tyler Mitchem, Lewis (MIVA)",So.,6-10,,7,18,0,1,7,3.21
35,"Will Tischler, Loyola Chicago (MIVA)",Sr.,6-7,,7,20,2,0,1,3.21
38,"Matthew McLaren, Penn St. (EIVA)",Sr.,6-4,,4,11,1,0,1,3.13
39,"Tomas Gago, Purdue Fort Wayne (MIVA)",So.,6-8,,6,15,0,0,7,3.08
39,"Colton Stone, Purdue Fort Wayne (MIVA)",Sr.,6-5,,6,12,5,0,3,3.08
41,"Simon Andersen, Long Beach St. (Big West)",So.,6-8,,9,22,3,0,4,3.00
41,"Aaron Koubi, UC Irvine (Big West)",Sr.,6-5,,9,25,1,0,2,3.00
41,"Angelos Mandilaris, Barton (Conference Carolinas)",Jr.,6-5,,4,9,2,0,2,3.00
41,"Stephen Moye, Stanford (MPSF)",Jr.,6-9,,5,11,2,0,4,3.00
41,"David Siebum, Ball St. (MIVA)",Sr.,6-4,,8,20,3,0,2,3.00
46,"Eric Beatty, Stanford (MPSF)",Jr.,6-7,,5,9,4,1,1,2.90
47,"Lee Smith, Penn St. (EIVA)",Sr.,6-6,,3,8,0,0,1,2.83
48,"Daniel Wetter, CSUN (Big West)",Fr.,6-5,,14,29,2,4,9,2.82
49,"Karl Apfelbach, UC Irvine (Big West)",Sr.,6-8,,9,20,1,0,8,2.78
50,"Jackson Gilbert, North Greenville (Conference Carolinas)",Jr.,6-6,,6,16,0,0,1,2.75
50,"Kyler Presho, Stanford (MPSF)",So.,6-8,,6,11,2,1,5,2.75
52,"Xander Jimenez, UC San Diego (Big West)",Jr.,6-4,,7,13,3,2,2,2.71
53,"Jordan Ewert, Stanford (MPSF)",Sr.,6-4,,6,13,3,0,0,2.67
54,"Raymond Barsemian, CUI (MPSF)",Jr.,6-6,,10,23,3,0,1,2.65
55,"Hunter Howell, CUI (MPSF)",Sr.,6-7,,10,18,2,2,8,2.60
