Rank,Player,Cl,Ht,Pos,S,Block Solos,Block Assists,Total,Per Set
1,"JT Martin, Pepperdine (MPSF)",Fr.,6-6,,3,0,8,8,2.667
2,"Jack Reese, George Mason (EIVA)",Jr.,6-8,,3,0,6,6,2.000
2,"Scott Stadick, UC Irvine (Big West)",Sr.,7-0,,3,2,4,6,2.000
4,"Hayden Wagner, George Mason (EIVA)",Sr.,6-6,,3,0,5,5,1.667
5,"Sean Dennis, UC Irvine (Big West)",Jr.,6-11,,3,0,4,4,1.333
5,"Noah Dyer, Pepperdine (MPSF)",Sr.,6-5,,3,0,4,4,1.333
5,"Scott Solan, Pepperdine (MPSF)",Fr.,6-8,,3,0,4,4,1.333
8,"Greg Luck, Princeton (EIVA)",Sr.,6-5,,8,1,9,10,1.250
9,"Max Beck, Southern California (MPSF)",Fr.,6-8,,5,0,6,6,1.200
9,"Paul Bischoff, Stanford (MPSF)",Sr.,6-5,,5,1,5,6,1.200
9,"Patrick Gasman, Hawaii (Big West)",Sr.,6-10,,5,0,6,6,1.200
12,"Daenan Gyimah, UCLA (MPSF)",Sr.,6-8,,6,1,6,7,1.167
12,"Felipe de Brito Ferreira, BYU (MPSF)",Jr.,6-9,,6,0,7,7,1.167
14,"Ben Hamsho, North Greenville (Conference Carolinas)",Sr.,6-7,,7,1,7,8,1.143
15,"Gabi Garcia Fernandez, BYU (MPSF)",Jr.,6-7,,8,0,8,8,1.000
15,"Davide Gardini, BYU (MPSF)",So.,6-9,,8,0,8,8,1.000
15,"Martin Lallemand, Ohio St. (MIVA)",Jr.,6-4,,3,0,3,3,1.000
15,"Adriel Roberts, Charleston (WV) (EIVA)",Sr.,6-6,,5,0,5,5,1.000
15,"Austin Wilmot, Pepperdine (MPSF)",Jr.,6-10,,3,0,3,3,1.000
20,"Danny Farrell, Loyola Chicago (MVC)",Fr.,6-8,,8,0,7,7,0.875
20,"Miki Jauhiainen, BYU (MPSF)",Sr.,6-9,,8,0,7,7,0.875
22,"Kyle Gear, Southern California (MPSF)",Jr.,6-9,,5,1,3,4,0.800
22,"Guilherme Voss, Hawaii (Big West)",Fr.,6-7,,5,1,3,4,0.800
24,"Liam Morrissey, Urbana (DI Independent)",Fr.,6-5,,4,2,1,3,0.750
24,"Wil Stanley, BYU (MPSF)",Sr.,6-4,,8,1,5,6,0.750
26,"Douglas Florencio, King (TN) (Conference Carolinas)",Jr.,6-7,MB,7,0,5,5,0.714
27,"Samuel Clark, Ohio St. (MIVA)",Fr.,6-6,,3,0,2,2,0.667
27,"Colton Cowell, Hawaii (Big West)",Sr.,6-1,,6,1,3,4,0.667
27,"Sam Greenslade, George Mason (EIVA)",Sr.,6-7,,3,0,2,2,0.667
27,"Andrew Hillman, Ohio St. (MIVA)",Sr.,6-3,,3,0,2,2,0.667
27,"JB Kam, UC Irvine (Big West)",Sr.,6-3,,3,0,2,2,0.667
27,"Mads Kyed Jensen, UCLA (MPSF)",Fr.,6-10,,6,1,3,4,0.667
27,"Alexandre Nsakanda, UC Irvine (Big West)",So.,6-4,,3,0,2,2,0.667
27,"JP Reilly, Stanford (MPSF)",Jr.,6-4,,6,2,2,4,0.667
27,"Joel Schneidmiller, UC Irvine (Big West)",Jr.,6-6,,3,0,2,2,0.667
27,"Ethan Talley, Ohio St. (MIVA)",So.,6-7,,3,0,2,2,0.667
27,"Patrick Vorenkamp, UC Irvine (Big West)",Fr.,6-6,,3,0,2,2,0.667
38,"George Huhmann, Princeton (EIVA)",Sr.,6-11,,8,0,5,5,0.625
38,"Devin Joslyn, Loyola Chicago (MVC)",Jr.,6-6,,8,1,4,5,0.625
40,"Sergio Carrillo, North Greenville (Conference Carolinas)",So.,6-5,,5,0,3,3,0.600
41,"Tyler Mitchem, Lewis (MIVA)",Jr.,6-10,,7,1,3,4,0.571
41,"Jerod Nelsen, Princeton (EIVA)",So.,6-7,,7,0,4,4,0.571
41,"Julian Young, King (TN) (Conference Carolinas)",Sr.,6-5,MB,7,1,3,4,0.571
44,"Jake Boldog, North Greenville (Conference Carolinas)",Sr.,5-11,,6,2,1,3,0.500
44,"Anton Frank, Loyola Chicago (MVC)",Fr.,6-9,,8,0,4,4,0.500
44,"Joe Kelly, Princeton (EIVA)",Jr.,6-2,,8,0,4,4,0.500
44,"Kurt Klamfoth, Urbana (DI Independent)",Fr.,6-5,,4,1,1,2,0.500
44,"Kevin Lamp, Stanford (MPSF)",Fr.,6-6,,6,0,3,3,0.500
44,"TJ Murray, Lewis (MIVA)",Jr.,6-9,,6,0,3,3,0.500
