Rank,Player,Cl,Ht,Pos,S,Digs,Per Set
1,"David Parker, UC Irvine (Big West)",Sr.,6-1,,9,26,2.89
2,"Hayden Boehle, UC Santa Barbara (Big West)",Sr.,6-1,,11,30,2.73
3,"Kolbie Knorr, Purdue Fort Wayne (MIVA)",Sr.,6-1,,6,16,2.67
4,"Avery Aylsworth, Loyola Chicago (MIVA)",Sr.,6-0,,7,18,2.57
5,"Aaron Samarin, Ohio St. (MIVA)",Sr.,6-0,,7,17,2.43
6,"TJ DeFalco, Long Beach St. (Big West)",Sr.,6-4,,9,21,2.33
6,"Addison Enriques, CUI (MPSF)",So.,5-10,,9,21,2.33
6,"Tristan Santoyo, Queens (NC) (DI Independent)",So.,6-3,,3,7,2.33
6,"Michael Simmons, Lewis (MIVA)",Sr.,6-4,,6,14,2.33
6,"Pelegrin Vargas, Purdue Fort Wayne (MIVA)",Jr.,6-4,,6,14,2.33
11,"Noah Dyer, Pepperdine (MPSF)",Jr.,6-5,,7,16,2.29
11,"Michael Wexter, Pepperdine (MPSF)",Sr.,6-6,,7,16,2.29
13,"Luke Braswell, Penn St. (EIVA)",Jr.,6-4,,4,9,2.25
14,"Tony Price, Purdue Fort Wayne (MIVA)",Sr.,6-4,,6,13,2.17
15,"Ryan Lew, UC San Diego (Big West)",Jr.,5-11,,7,15,2.14
15,"Brandon Rattray, UCLA (MPSF)",Jr.,6-5,,7,15,2.14
15,"Will Tischler, Loyola Chicago (MIVA)",Sr.,6-7,,7,15,2.14
18,"Chris Wise, NJIT (Independent)",Sr.,5-9,,8,17,2.13
19,"Aaron Koubi, UC Irvine (Big West)",Sr.,6-5,,9,18,2.00
19,"Micah Ma'a, UCLA (MPSF)",Sr.,6-3,,7,14,2.00
19,"Matthew McLaren, Penn St. (EIVA)",Sr.,6-4,,4,8,2.00
19,"Jordan Molina, Long Beach St. (Big West)",Sr.,5-9,,9,18,2.00
19,"Matt Szews, Ball St. (MIVA)",Jr.,6-8,,8,16,2.00
19,"Garrett Zolg, Loyola Chicago (MIVA)",So.,6-3,,8,16,2.00
25,"Jason Shen, Harvard (EIVA)",Fr.,5-11,,12,23,1.92
26,"Luke Denton, Loyola Chicago (MIVA)",Fr.,6-6,,7,13,1.86
27,"Kyle Dagostino, Stanford (MPSF)",Sr.,5-9,,6,11,1.83
28,"Josh Tuaniga, Long Beach St. (Big West)",Sr.,6-3,,9,16,1.78
29,"Emmett Enriques, CSUN (Big West)",Sr.,6-1,,14,24,1.71
29,"Jake Hanes, Ohio St. (MIVA)",So.,6-10,,7,12,1.71
31,"Matt Yoshimoto, Lewis (MIVA)",Sr.,6-5,,6,10,1.67
32,"Maciej Ptaszynski, CSUN (Big West)",So.,6-6,,14,23,1.64
33,"Alvaro Gimeno, NJIT (Independent)",So.,6-7,,8,13,1.63
33,"Louis Richard, Long Beach St. (Big West)",Sr.,6-3,,8,13,1.63
33,"Jake Romano, Ball St. (MIVA)",Jr.,6-6,,8,13,1.63
33,"Adam Wessel, Ball St. (MIVA)",Sr.,5-11,,8,13,1.63
37,"Eric Beatty, Stanford (MPSF)",Jr.,6-7,,5,8,1.60
38,"Karl Apfelbach, UC Irvine (Big West)",Sr.,6-8,,9,14,1.56
38,"Chandler Gibb, CUI (MPSF)",Sr.,6-2,,9,14,1.56
38,"Cole Udall, Grand Canyon (MPSF)",Fr.,6-3,,9,14,1.56
41,"Aleksa Brkovic, Barton (Conference Carolinas)",Sr.,6-3,,4,6,1.50
41,"Aaron Campbell, North Greenville (Conference Carolinas)",Sr.,6-6,,6,9,1.50
41,"Ryan Coenen, Lewis (MIVA)",Jr.,6-9,,6,9,1.50
41,"Michael Keegan, Purdue Fort Wayne (MIVA)",Sr.,6-3,,6,9,1.50
45,"Corey Chavers, UC Santa Barbara (Big West)",Sr.,6-6,,11,16,1.45
46,"Kaleb Denmark, Pepperdine (MPSF)",Sr.,6-4,,7,10,1.43
46,"Reese Devilbiss, Ohio St. (MIVA)",Jr.,6-2,,7,10,1.43
46,"Taylor Ittner, CSUN (Big West)",Fr.,6-4,,14,20,1.43
49,"Raymond Barsemian, CUI (MPSF)",Jr.,6-6,,10,14,1.40
49,"Jake Boldog, North Greenville (Conference Carolinas)",Jr.,6-2,,5,7,1.40
49,"Wyatt Harrison, UC San Diego (Big West)",So.,6-4,,5,7,1.40
49,"Collin Shannon, UC San Diego (Big West)",So.,6-7,,5,7,1.40
53,"Jens Feldhus, NJIT (Independent)",Fr.,6-3,,8,11,1.38
53,"David Siebum, Ball St. (MIVA)",Sr.,6-4,,8,11,1.38
55,"Jerod Nelsen, Princeton (EIVA)",Fr.,6-7,,11,15,1.36
56,"Dante Chakravorti, UC Irvine (Big West)",Sr.,6-4,,9,12,1.33
56,"Jordan Ewert, Stanford (MPSF)",Sr.,6-4,,6,8,1.33
56,"Casey McGarry, UC Santa Barbara (Big West)",Jr.,6-1,,9,12,1.33
56,"Joel Schneidmiller, UC Irvine (Big West)",So.,6-6,,9,12,1.33
60,"Matthew Ctvrlik, Harvard (EIVA)",Jr.,6-5,,13,17,1.31
61,"Xander Jimenez, UC San Diego (Big West)",Jr.,6-4,,7,9,1.29
61,"Martin Lallemand, Ohio St. (MIVA)",So.,6-4,,7,9,1.29
61,"Sanil Thomas, Ohio St. (MIVA)",Sr.,6-0,,7,9,1.29
64,"Ksawery Tomsia, CSUN (Big West)",Jr.,6-7,,11,14,1.27
65,"Will Bantle, Penn St. (EIVA)",Fr.,6-5,,4,5,1.25
65,"Oscar Fiorentino, Barton (Conference Carolinas)",Jr.,6-4,,4,5,1.25
65,"Calvin Mende, Penn St. (EIVA)",Jr.,6-11,,4,5,1.25
68,"Greg Luck, Princeton (EIVA)",Jr.,6-5,,13,16,1.23
69,"Onur Cukur, Grand Canyon (MPSF)",So.,6-8,,11,13,1.18
70,"Sam Greenslade, George Mason (EIVA)",Jr.,6-7,,7,8,1.14
71,"Jack Burton, Grand Canyon (MPSF)",Jr.,6-4,,10,11,1.10
72,"Parker Dixon, Princeton (EIVA)",Jr.,6-6,,13,14,1.08
73,"Brandon Baker, North Greenville (Conference Carolinas)",So.,6-6,,5,5,1.00
73,"Nic Cavallaro, Queens (NC) (DI Independent)",So.,6-3,,3,3,1.00
73,"Brendin Chandler, Pepperdine (MPSF)",Fr.,6-3,,7,7,1.00
73,"Ruben Greenstein, Queens (NC) (DI Independent)",So.,5-7,,3,3,1.00
73,"Brandon Greenway, Charleston (WV) (EIVA)",Sr.,6-4,,3,3,1.00
73,"Adrian Iglesias, Barton (Conference Carolinas)",Fr.,6-5,,4,4,1.00
73,"Christian Janke, Grand Canyon (MPSF)",Fr.,6-5,,11,11,1.00
73,"Dimitar Kalchev, CSUN (Big West)",Sr.,6-4,,14,14,1.00
73,"Angelos Mandilaris, Barton (Conference Carolinas)",Jr.,6-5,,4,4,1.00
73,"Dylan Missry, UCLA (MPSF)",Sr.,6-4,,7,7,1.00
73,"Julian Moses, Lewis (MIVA)",Sr.,6-4,,6,6,1.00
73,"Griffin Schmit, Harvard (EIVA)",So.,6-5,,13,13,1.00
73,"Will Schwob, Grand Canyon (MPSF)",Sr.,6-4,,9,9,1.00
73,"Max Senica, Charleston (WV) (EIVA)",So.,6-2,,3,3,1.00
73,"Diego Villafane, Charleston (WV) (EIVA)",Fr.,6-1,,3,3,1.00
73,"David Wieczorek, Pepperdine (MPSF)",Sr.,6-8,,7,7,1.00
89,"Erik Johnsson, Harvard (EIVA)",Jr.,6-4,,13,12,0.92
90,"Randy DeWeese, UC Santa Barbara (Big West)",Jr.,6-6,,8,7,0.88
91,"Kaleb Jenness, Ball St. (MIVA)",Fr.,6-6,,7,6,0.86
91,"Austin Matautia, UCLA (MPSF)",Jr.,6-4,,7,6,0.86
93,"Jackson Gilbert, North Greenville (Conference Carolinas)",Jr.,6-6,,6,5,0.83
93,"Colton Stone, Purdue Fort Wayne (MIVA)",Sr.,6-5,,6,5,0.83
95,"Jordan Hoppe, CUI (MPSF)",Jr.,0-0,,10,8,0.80
96,"Kyle Ensing, Long Beach St. (Big West)",Sr.,6-7,,9,7,0.78
97,"Luca Berger, NJIT (Independent)",Jr.,6-10,,8,6,0.75
97,"Vasilis Mandilaris, Barton (Conference Carolinas)",Sr.,6-5,,4,3,0.75
99,"Owen Chun, CUI (MPSF)",So.,0-0,,7,5,0.71
99,"Felix Egharevba, Ball St. (MIVA)",Fr.,6-5,,7,5,0.71
99,"Hayden Wagner, George Mason (EIVA)",Jr.,6-6,,7,5,0.71
99,"Connor Walbrecht, UC San Diego (Big West)",Jr.,6-4,,7,5,0.71
