Rank,Player,Cl,Ht,Pos,S,Kills,Aces,Block Solos,Block Assists,Pts,Per Set
61,"Bartek Zielinski, St. Francis Brooklyn (NEC)",Sr.,6-4,OH,67,205,10,4,30,0,3.49
62,"Colby Landry, Tusculum (DI Independent)",Jr.,6-0,OH,100,311,28,6,7,0,3.49
63,"Garret Schnitker, Charleston (WV) (EIVA)",Sr.,6-6,RS,80,236,17,3,45,0,3.48
64,"Mark Frazier, Purdue Fort Wayne (MIVA)",So.,6-6,MB,103,277,38,1,85,0,3.48
65,"Luke Benson, BYU (MPSF)",So.,6-7,OH,71,212,14,3,34,0,3.46
66,"Deklan Wingo, Tusculum (DI Independent)",So.,6-4,OH,83,239,22,10,33,0,3.46
67,"Ethan Champlin, UCLA (MPSF)",Jr.,6-3,OH,99,269,36,6,57,0,3.43
68,"Andrew Deardorff, Saint Francis (NEC)",So.,6-5,OH,75,223,17,6,22,0,3.43
69,"Jack Brinkman, Queens (NC) (DI Independent)",Sr.,6-2,OH,86,239,30,8,35,0,3.42
70,"Michael Marsans, Lees-McRae (Conference Carolinas)",Sr.,6-5,OH,86,246,27,8,24,0,3.41
71,"Jack Bolz, George Mason (EIVA)",Jr.,6-7,OPP,84,234,29,2,39,0,3.39
72,"Justin Sharfenaker, Lincoln Memorial (DI Independent)",Jr.,6-6,RS,62,171,21,3,28,0,3.37
73,"Cameron Milligan, Daemen (NEC)",Jr.,6-4,OPP,86,238,26,18,15,0,3.37
74,"Christian Janke, Grand Canyon (MPSF)",Sr.,6-5,OH,105,293,26,14,36,0,3.34
75,"Griffin Walters, CSUN (Big West)",Jr.,6-6,OH,95,265,31,4,32,0,3.33
76,"Cameron Lee, Central St. (OH) (SIAC)",So.,6-1,OH,110,330,17,12,12,0,3.32
77,"Tate Sandvig, Mount Olive (Conference Carolinas)",So.,6-5,OH,99,280,25,7,32,0,3.31
78,"Spencer Olivier, Long Beach St. (Big West)",Sr.,6-6,OH,84,231,13,4,59,0,3.30
79,"Simon Gallas, Southern California (MPSF)",Jr.,6-8,OPP,84,226,23,3,49,0,3.29
80,"Loic Nanchen, Alderson Broaddus (DI Independent)",Jr.,6-3,OH,92,248,39,4,18,0,3.26
81,"Kyle Wilson, McKendree (MIVA)",Sr.,6-4,OH,84,233,16,2,43,0,3.24
82,"Shay Spadaro, Lincoln Memorial (DI Independent)",Fr.,6-4,OH,78,224,18,3,15,0,3.24
83,"Blake Liprando, Saint Francis (NEC)",Sr.,6-3,OH,91,256,25,3,21,0,3.24
84,"Lachlan Bray, Charleston (WV) (EIVA)",Sr.,6-5,OH,85,238,9,6,41,0,3.22
85,"Luuk Hoge Bavel, Charleston (WV) (EIVA)",So.,6-6,OH,75,210,6,5,40,0,3.21
86,"Trent Moser, BYU (MPSF)",Fr.,6-7,OH,76,190,20,6,54,0,3.20
87,"Merrick McHenry, UCLA (MPSF)",Sr.,6-7,OH,99,224,28,18,89,0,3.18
88,"Theo Snoey, Stanford (MPSF)",Fr.,6-8,OH,101,270,23,7,35,0,3.14
89,"Nyherowo Omene, Princeton (EIVA)",So.,6-7,,96,223,38,11,58,0,3.14
90,"Matthew Gentry, Lincoln Memorial (DI Independent)",So.,6-7,MH,84,178,36,18,59,0,3.11
91,"Bryce Walker, Purdue Fort Wayne (MIVA)",Jr.,6-8,MB,105,229,42,9,90,0,3.10
92,"Zach Berty, Harvard (EIVA)",Fr.,6-6,OH,80,202,32,2,23,0,3.09
93,"D'Aaron McCraney, Central St. (OH) (SIAC)",So.,6-8,MB,110,242,35,41,40,0,3.07
94,"Cole Gillis, UC Irvine (Big West)",Jr.,6-5,OH,96,243,26,6,39,0,3.07
94,"Michal Kowal, Penn St. (EIVA)",Jr.,6-2,OH,96,238,32,5,39,0,3.07
96,"Justin Gregory, Mount Olive (Conference Carolinas)",Jr.,6-6,OPP,90,215,27,9,50,0,3.07
97,"Kade McGovern, Harvard (EIVA)",So.,6-6,OPP,75,189,15,5,41,0,3.06
98,"Kellan Kennedy, King (TN) (Conference Carolinas)",Jr.,6-6,MB,117,275,12,21,98,0,3.05
99,"Alex Knight, UCLA (MPSF)",Sr.,6-5,OH,85,206,13,6,66,0,3.04
100,"Kevin Lamp, Stanford (MPSF)",Sr.,6-6,OH,89,229,21,6,28,0,3.03
