Rank,Player,Cl,Ht,Pos,S,Assists,Per Set
1,"Jakob Thelle, Hawaii (Big West)",Sr.,6-6,S,77,826,10.73
2,"Bryce Dvorak, Pepperdine (MPSF)",Jr.,6-4,S,112,"1,195",10.67
3,"Jorge Riesgo, North Greenville (Conference Carolinas)",Jr.,6-0,S,96,"1,023",10.66
4,"Dan Mangun, Loyola Chicago (MIVA)",So.,6-4,S,103,"1,063",10.32
5,"Jackson Lahey, Mount Olive (Conference Carolinas)",Fr.,6-2,S,98,"1,006",10.27
6,"David Flores, Ball St. (MIVA)",Sr.,6-1,S,88,902,10.25
7,"Cole Bogner, Penn St. (EIVA)",Sr.,6-3,S,109,"1,114",10.22
8,"Connor Sheehan, Lindenwood (MIVA)",Jr.,6-0,S,84,857,10.20
9,"Nicholas Slight, Grand Canyon (MPSF)",So.,6-3,S,101,"1,019",10.09
10,"Tyler Poulsen, McKendree (MIVA)",Sr.,6-4,S,92,928,10.09
11,"Kohl Kutsch, Lincoln Memorial (DI Independent)",Fr.,6-4,S,68,684,10.06
12,"Jack Sarnowski, King (TN) (Conference Carolinas)",Sr.,6-3,S,108,"1,082",10.02
13,"Cayden Marin, Limestone (DI Independent)",So.,6-1,S,87,870,10.00
14,"Andrew Rowan, UCLA (MPSF)",Fr.,6-6,S,101,995,9.85
15,"Francisco Pomar, Erskine (Conference Carolinas)",Jr.,5-10,S,93,912,9.81
16,"Aidan Knipe, Long Beach St. (Big West)",Jr.,6-3,S,87,845,9.71
17,"Brian Schwob, Queens (NC) (DI Independent)",Sr.,6-3,S,83,805,9.70
18,"Nathan Lietzke, Stanford (MPSF)",Sr.,6-6,S,95,917,9.65
19,"Bradley Peters, Lees-McRae (Conference Carolinas)",Sr.,6-2,S,96,920,9.58
20,"Jack Walmer, UC Santa Barbara (Big West)",So.,6-3,S,95,906,9.54
21,"Gabriel Dyer, UC San Diego (Big West)",So.,6-5,S,88,831,9.44
22,"Henry Wedbush, Princeton (EIVA)",So.,6-4,,95,895,9.42
23,"Matthew Maxwell, Belmont Abbey (Conference Carolinas)",Sr.,5-10,L,109,"1,026",9.41
24,"Diego Villafane, Charleston (WV) (EIVA)",Sr.,6-1,S,83,780,9.40
25,"Henrik Westhoff, Emmanuel (GA) (Conference Carolinas)",Sr.,6-6,S,97,909,9.37
26,"Joe Karlous, UC Irvine (Big West)",Jr.,6-0,S,108,995,9.21
27,"Sean Califf, Daemen (NEC)",Sr.,6-5,S,85,779,9.16
28,"Heath Hughes, BYU (MPSF)",Sr.,6-7,S,80,725,9.06
29,"Ryan Parker, Saint Francis (NEC)",Jr.,6-3,S,84,760,9.05
30,"Donovan Constable, CSUN (Big West)",So.,6-1,S,91,820,9.01
31,"Carson Bashford, Merrimack (NEC)",Fr.,0-0,S,97,866,8.93
32,"Georgi Zahariev, George Mason (EIVA)",Fr.,6-7,S,92,816,8.87
33,"Jonas Holzinger, Quincy (MIVA)",So.,6-4,S,88,766,8.70
34,"Rui Fernandes, FDU (NEC)",Sr.,6-4,S,76,652,8.58
35,"Tyler Morgan, Lewis (MIVA)",So.,6-7,S,83,707,8.52
36,"Tyler Kwinta, Sacred Heart (NEC)",Sr.,5-11,L/DS,78,662,8.49
37,"Luca Holanda, LIU (NEC)",So.,6-2,S,90,762,8.47
38,"Nathan Biteau, CUI (MPSF)",Sr.,6-4,S,67,556,8.30
39,"Cameron Chambers, Maryville (MO) (DI Independent)",Jr.,6-0,S,89,736,8.27
40,"Matt Mongin, St. Francis Brooklyn (NEC)",Jr.,6-5,S,70,577,8.24
41,"Sergio Carrillo, Purdue Fort Wayne (MIVA)",Sr.,6-6,S,73,595,8.15
42,"Andrew Haber, Alderson Broaddus (DI Independent)",Fr.,0-0,S,92,745,8.10
43,"Justin Yates, Fort Valley St. (SIAC)",So.,6-2,S,90,727,8.08
44,"James Bardin, Harvard (EIVA)",So.,6-7,S,87,682,7.84
45,"Brayden Kuruzovich, Missouri S&T (DI Independent)",Fr.,6-4,S,54,422,7.81
46,"Nate Tennant, Southern California (MPSF)",Jr.,6-4,S,91,709,7.79
47,"Roque Nido, NJIT (EIVA)",Sr.,6-4,S,84,626,7.45
48,"Kendersley Marcellin, Benedict (SIAC)",Fr.,5-10,S,64,463,7.23
49,"Seth Deppe, Barton (Conference Carolinas)",So.,6-2,S,90,571,6.34
50,"Michael Maldonado, American Int'l (DI Independent)",Fr.,6-0,S,73,420,5.75
