Rank,Player,Cl,Ht,Pos,S,Kills,Per Set
1,"Blake Reardon, Ball St. (MIVA)",Sr.,6-4,OH,9,49,5.44
2,"Andrew Kohut, Belmont Abbey (Conference Carolinas)",Jr.,6-6,OPP,4,20,5.00
3,"Cole Schlothauer, Loyola Chicago (MIVA)",So.,6-5,,7,33,4.71
4,"Luke Denton, Loyola Chicago (MIVA)",Jr.,6-6,,7,27,3.86
5,"Joshua Kim, King (TN) (Conference Carolinas)",Sr.,6-6,RS,5,19,3.80
6,"Omari Wheeler, Quincy (MIVA)",Sr.,6-5,OPP,9,34,3.78
7,"Ryan Coenen, Lewis (MIVA)",Sr.,6-9,OH,10,37,3.70
8,"Justin Sharfenaker, Lincoln Memorial (DI Independent)",Fr.,6-6,,13,47,3.62
9,"Shaun Kampshoff, Tusculum (DI Independent)",Jr.,6-4,RS,7,25,3.57
10,"Patrick Ross, McKendree (MIVA)",Sr.,6-5,,3,10,3.33
11,"Jackson Gilbert, North Greenville (Conference Carolinas)",Sr.,6-6,OH,4,13,3.25
12,"Jack Bolz, George Mason (EIVA)",Fr.,6-7,,9,29,3.22
12,"Kaleb Jenness, Ball St. (MIVA)",Jr.,6-6,OH,9,29,3.22
14,"Kacper Rybarczyk, Erskine (Conference Carolinas)",Fr.,6-3,OH,11,35,3.18
15,"Matteo Miselli, Belmont Abbey (Conference Carolinas)",Sr.,6-2,OH,4,12,3.00
15,"Jacob Pasteur, Ohio St. (MIVA)",Fr.,6-4,OH,6,18,3.00
15,"Francisco Salinger, Limestone (DI Independent)",Sr.,6-5,OH,8,24,3.00
18,"Tyler Mitchem, Lewis (MIVA)",Sr.,6-10,MB,10,29,2.90
19,"Geraldo Rivera, Limestone (DI Independent)",Sr.,6-0,OH,7,20,2.86
20,"Nic Cavallaro, Queens (NC) (DI Independent)",Sr.,6-3,OH,14,38,2.71
21,"Michael Ladner, Quincy (MIVA)",So.,6-3,OH,9,24,2.67
21,"Zach Schnittker, McKendree (MIVA)",Sr.,6-4,,3,8,2.67
23,"Jacob Whyte, Erskine (Conference Carolinas)",Fr.,6-4,OPP,10,26,2.60
24,"Alexander Finch, Saint Francis (EIVA)",So.,6-3,,16,40,2.50
24,"Jacob Titus, Lincoln Memorial (DI Independent)",So.,6-4,,10,25,2.50
26,"Joshua Blair, Saint Francis (EIVA)",Jr.,6-5,,16,37,2.31
27,"Johansen Negron, Lincoln Memorial (DI Independent)",So.,6-2,,11,25,2.27
28,"Zac Cabral, Saint Francis (EIVA)",So.,6-10,,14,29,2.07
29,"Emanuel Adames, North Greenville (Conference Carolinas)",Fr.,6-6,MB,4,8,2.00
29,"Brandon Baker, North Greenville (Conference Carolinas)",Sr.,6-6,MB,4,8,2.00
29,"Nic Brewster, Lees-McRae (Conference Carolinas)",Fr.,6-4,OH,3,6,2.00
29,"Colton Brooks, Loyola Chicago (MIVA)",So.,6-4,,6,12,2.00
29,"Gannon Chinen, Alderson Broaddus (DI Independent)",Fr.,6-3,RS,3,6,2.00
29,"Brad Creamer, George Mason (EIVA)",Sr.,6-9,,9,18,2.00
29,"Lucas Galifos, McKendree (MIVA)",Sr.,6-6,,3,6,2.00
29,"Jack Reese, George Mason (EIVA)",Sr.,6-8,,9,18,2.00
29,"Spencer Saint-Eloi, Limestone (DI Independent)",Sr.,6-1,OPP,8,16,2.00
38,"Jason Sall, Erskine (Conference Carolinas)",Fr.,6-3,OH,10,19,1.90
39,"Pedro Carvalho, Lincoln Memorial (DI Independent)",Sr.,6-7,,13,24,1.85
40,"Luis Kannee, North Greenville (Conference Carolinas)",Sr.,6-3,OPP,4,7,1.75
41,"Colby Landry, Tusculum (DI Independent)",Fr.,6-1,OH,7,12,1.71
42,"Cal Fisher, Penn St. (EIVA)",Jr.,6-3,OPP,6,10,1.67
42,"Tommy McGrath, McKendree (MIVA)",Jr.,6-7,,3,5,1.67
42,"Andrew Nielsen, Alderson Broaddus (DI Independent)",Fr.,6-7,MB,3,5,1.67
45,"Omar Hoyos, George Mason (EIVA)",Fr.,6-6,,7,11,1.57
45,"Zach Reider, Quincy (MIVA)",Sr.,6-7,MB,7,11,1.57
47,"Jon Fuller, Erskine (Conference Carolinas)",Fr.,6-3,MB,11,17,1.55
48,"Riley Mulkey, Belmont Abbey (Conference Carolinas)",Jr.,6-5,MB,4,6,1.50
48,"Jake Somers, Belmont Abbey (Conference Carolinas)",Sr.,6-4,OH,4,6,1.50
50,"Richie Hoff, George Mason (EIVA)",Jr.,6-4,,9,13,1.44
51,"Bryce Behrendt, Ball St. (MIVA)",So.,6-4,OH,7,10,1.43
52,"Tim Baldwin, Ohio St. (MIVA)",So.,6-6,OPP,5,7,1.40
52,"Jackson Carroll, King (TN) (Conference Carolinas)",So.,6-2,OH,5,7,1.40
52,"Diego Marcano, King (TN) (Conference Carolinas)",So.,6-2,RS,5,7,1.40
55,"Jack Brinkman, Queens (NC) (DI Independent)",So.,6-2,OH,14,19,1.36
56,"Ace Backer, Lees-McRae (Conference Carolinas)",So.,6-6,MH,3,4,1.33
56,"Austin Gerwig, Ohio St. (MIVA)",Sr.,6-6,MB,6,8,1.33
56,"Jaelin Gray, Alderson Broaddus (DI Independent)",Fr.,6-1,MB,3,4,1.33
56,"Will Hippe, Ball St. (MIVA)",Sr.,6-8,MH,9,12,1.33
56,"Max Kuntz, Lees-McRae (Conference Carolinas)",Jr.,6-3,OH,3,4,1.33
56,"Michael Marsans, Lees-McRae (Conference Carolinas)",So.,6-4,OH,3,4,1.33
56,"Loic Nanchen, Alderson Broaddus (DI Independent)",Fr.,6-3,OH,3,4,1.33
56,"Brett Wildman, Penn St. (EIVA)",Jr.,6-5,OH,6,8,1.33
64,"JP Payne, Queens (NC) (DI Independent)",Sr.,6-4,MH,20,26,1.30
65,"Andrew Lyons, Loyola Chicago (MIVA)",So.,6-7,,7,9,1.29
66,"Cole Brillhart, Lewis (MIVA)",So.,6-2,OH,10,12,1.20
66,"Aaron Milstead, King (TN) (Conference Carolinas)",Jr.,6-4,RS,5,6,1.20
68,"Cole Vigo, Erskine (Conference Carolinas)",So.,6-6,MB,11,13,1.18
69,"Samuel Clark, Ohio St. (MIVA)",So.,6-6,MB,6,7,1.17
69,"Dawson Walker, Lincoln Memorial (DI Independent)",So.,6-6,,12,14,1.17
71,"Dane Loup, Tusculum (DI Independent)",Fr.,6-2,OH,7,8,1.14
72,"TJ Murray, Lewis (MIVA)",Sr.,6-9,MB,9,10,1.11
73,"Ethan Carroll, McKendree (MIVA)",Sr.,6-8,,3,3,1.00
73,"Tom Curry, North Greenville (Conference Carolinas)",Fr.,6-2,OH,4,4,1.00
73,"Felix Egharevba, Ball St. (MIVA)",Jr.,6-5,MH,7,7,1.00
73,"Jon Igo, Limestone (DI Independent)",Jr.,6-7,MB,8,8,1.00
77,"Josh Bragg, Queens (NC) (DI Independent)",Sr.,6-4,OH,18,16,0.89
77,"Cooper Coleman, Quincy (MIVA)",Jr.,6-11,MH,9,8,0.89
79,"Christos Gkitersos, Limestone (DI Independent)",So.,6-4,S,8,7,0.88
80,"William Morris, Belmont Abbey (Conference Carolinas)",Sr.,6-5,MB,4,3,0.75
81,"Jimmy Meinhart, Loyola Chicago (MIVA)",Fr.,6-8,MB,7,5,0.71
82,"Kevin Kauling, Lewis (MIVA)",So.,6-8,S,10,7,0.70
83,"Ethan Gardner, Lees-McRae (Conference Carolinas)",Sr.,6-5,MB,3,2,0.67
83,"Bradley Peters, Lees-McRae (Conference Carolinas)",So.,6-2,S,3,2,0.67
83,"Ryan Serrano, McKendree (MIVA)",Jr.,6-3,,3,2,0.67
86,"Kellan Kennedy, King (TN) (Conference Carolinas)",Fr.,6-6,MB,5,3,0.60
87,"Jack Wozniak, Tusculum (DI Independent)",Fr.,6-5,MB,7,4,0.57
88,"Quinn Isaacson, Ball St. (MIVA)",Sr.,6-2,S,9,5,0.56
89,"Sergio Carrillo, North Greenville (Conference Carolinas)",Jr.,6-5,S,4,2,0.50
90,"AJ Drooker, King (TN) (Conference Carolinas)",Fr.,6-3,S,5,2,0.40
91,"Che' Arbo, Alderson Broaddus (DI Independent)",Fr.,6-1,S,3,1,0.33
92,"Garrett Zolg, Loyola Chicago (MIVA)",Sr.,6-3,,7,2,0.29
93,"Juan Alcoba, Erskine (Conference Carolinas)",Fr.,6-3,S,11,3,0.27
94,"AJ Risavy, Lincoln Memorial (DI Independent)",Jr.,6-7,,9,2,0.22
95,"Luke Lentin, Ohio St. (MIVA)",Jr.,6-3,S,5,1,0.20
96,"Lucas Blanco, Tusculum (DI Independent)",So.,6-3,S,7,1,0.14
