Rank,Player,Cl,Ht,Pos,S,Digs,Per Set
72,"Connor Sheehan, Lindenwood (MIVA)",So.,6-0,S,9,10,1.11
74,"James Bardin, Harvard (EIVA)",Fr.,6-7,S,10,11,1.10
74,"Campbell Schoenfeld, Harvard (EIVA)",Sr.,6-8,OH,10,11,1.10
76,"Haotian Xia, UC Santa Barbara (Big West)",Jr.,6-5,OPP,11,12,1.09
77,"Ryan Wilcox, UC Santa Barbara (Big West)",Jr.,6-2,OH,12,13,1.08
78,"Mason Briggs, Long Beach St. (Big West)",So.,6-0,L,3,3,1.00
78,"Sergio Carrillo, North Greenville (Conference Carolinas)",Sr.,6-6,S,4,4,1.00
78,"Blake Crisp, UC San Diego (Big West)",Sr.,6-3,S,7,7,1.00
78,"Arthur Della Nina, Tusculum (DI Independent)",Fr.,5-7,L,6,6,1.00
78,"Kyle Ferguson, Belmont Abbey (Conference Carolinas)",Sr.,6-5,MB,7,7,1.00
78,"James Hartley, Princeton (EIVA)",So.,6-6,,5,5,1.00
78,"Eric Li, Harvard (EIVA)",Sr.,6-6,OH,10,10,1.00
78,"Grant Marocchi, Long Beach St. (Big West)",Jr.,6-7,MB,3,3,1.00
78,"Kade McGovern, Harvard (EIVA)",Fr.,6-6,OPP,10,10,1.00
78,"Carlos Mercado, Purdue Fort Wayne (MIVA)",Jr.,6-5,OPP,5,5,1.00
78,"Christian Phung, North Greenville (Conference Carolinas)",Sr.,6-1,L,4,4,1.00
78,"Diego Rosich, North Greenville (Conference Carolinas)",So.,6-5,OH,4,4,1.00
78,"Mark Stapley, LIU (DI Independent)",Sr.,6-4,OH,8,8,1.00
78,"Henry Wedbush, Princeton (EIVA)",Fr.,6-4,,6,6,1.00
78,"Jacob Whyte, Tusculum (DI Independent)",Jr.,6-4,RS,7,7,1.00
78,"Jayden Young, Emmanuel (GA) (Conference Carolinas)",Jr.,6-2,OH,5,5,1.00
94,"Kyle Deutschmann, Lindenwood (MIVA)",Jr.,6-2,L,9,8,0.89
95,"Alessandro Negri, NJIT (EIVA)",Fr.,6-4,OH,8,7,0.88
96,"Griffin Fieseler, NJIT (EIVA)",So.,6-7,S,7,6,0.86
96,"Shaun Kampshoff, Tusculum (DI Independent)",Sr.,6-3,S,7,6,0.86
98,"Kade Bontrager, Purdue Fort Wayne (MIVA)",Sr.,6-0,OH,6,5,0.83
98,"Davide Gardini, BYU (MPSF)",Sr.,6-9,OH,6,5,0.83
98,"Brandon Hicks, UC Santa Barbara (Big West)",Jr.,6-4,MB,12,10,0.83
98,"Nyherowo Omene, Princeton (EIVA)",Fr.,6-7,,6,5,0.83
