Rank,Player,Cl,Ht,Pos,S,Digs,Per Set
1,"Trevor Kennan, George Mason (EIVA)",Jr.,6-2,,9,29,3.22
2,"Christian Phung, North Greenville (Conference Carolinas)",Jr.,5-10,L,4,12,3.00
3,"Taylor Phillips, Tusculum (DI Independent)",Fr.,6-0,L,7,20,2.86
4,"Noam Hannoun, Quincy (MIVA)",Jr.,5-11,L,9,22,2.44
4,"Michael Ladner, Quincy (MIVA)",So.,6-3,OH,9,22,2.44
4,"Yoran Raymaekers, Quincy (MIVA)",Sr.,6-4,S,9,22,2.44
7,"Francisco  Comas, McKendree (MIVA)",Jr.,5-6,,3,7,2.33
7,"Joe  Mercado Samaniego, Alderson Broaddus (DI Independent)",Fr.,5-6,L,3,7,2.33
9,"Andrew Kohut, Belmont Abbey (Conference Carolinas)",Jr.,6-6,OPP,4,9,2.25
9,"Matthew Maxwell, Belmont Abbey (Conference Carolinas)",So.,5-10,L,4,9,2.25
11,"Matthew Menosky, Saint Francis (EIVA)",So.,6-0,,15,32,2.13
12,"Michal Podgorzak, Limestone (DI Independent)",Jr.,5-11,L,8,17,2.13
13,"Cole Brillhart, Lewis (MIVA)",So.,6-2,OH,10,20,2.00
13,"Spencer Saint-Eloi, Limestone (DI Independent)",Sr.,6-1,OPP,8,16,2.00
13,"Zach Schnittker, McKendree (MIVA)",Sr.,6-4,,3,6,2.00
16,"Bryce Behrendt, Ball St. (MIVA)",So.,6-4,OH,7,13,1.86
16,"Luke Denton, Loyola Chicago (MIVA)",Jr.,6-6,,7,13,1.86
16,"Geraldo Rivera, Limestone (DI Independent)",Sr.,6-0,OH,7,13,1.86
19,"Taylan Cook, Loyola Chicago (MIVA)",So.,6-2,,5,9,1.80
19,"Jacob Titus, Lincoln Memorial (DI Independent)",So.,6-4,,10,18,1.80
21,"Jack Bolz, George Mason (EIVA)",Fr.,6-7,,9,16,1.78
22,"Matteo Miselli, Belmont Abbey (Conference Carolinas)",Sr.,6-2,OH,4,7,1.75
23,"Johansen Negron, Lincoln Memorial (DI Independent)",So.,6-2,,11,19,1.73
24,"Colton Brooks, Loyola Chicago (MIVA)",So.,6-4,,6,10,1.67
24,"Kaleb Jenness, Ball St. (MIVA)",Jr.,6-6,OH,9,15,1.67
24,"Omari Wheeler, Quincy (MIVA)",Sr.,6-5,OPP,9,15,1.67
27,"Kacper Rybarczyk, Erskine (Conference Carolinas)",Fr.,6-3,OH,11,18,1.64
28,"Tim Baldwin, Ohio St. (MIVA)",So.,6-6,OPP,5,8,1.60
28,"Jacob Whyte, Erskine (Conference Carolinas)",Fr.,6-4,OPP,10,16,1.60
30,"Cole Schlothauer, Loyola Chicago (MIVA)",So.,6-5,,7,11,1.57
