Rank,Player,Cl,Ht,Pos,S,Digs,Per Set
31,"Justin Rendon, Erskine (Conference Carolinas)",So.,5-11,L,11,17,1.55
32,"Tom Curry, North Greenville (Conference Carolinas)",Fr.,6-2,OH,4,6,1.50
32,"Jackson Gilbert, North Greenville (Conference Carolinas)",Sr.,6-6,OH,4,6,1.50
32,"Luke Meidel, Ohio St. (MIVA)",Sr.,6-1,L,6,9,1.50
35,"Juan Alcoba, Erskine (Conference Carolinas)",Fr.,6-3,S,11,16,1.45
36,"Quinn Isaacson, Ball St. (MIVA)",Sr.,6-2,S,9,13,1.44
37,"Luis Velez, George Mason (EIVA)",Sr.,6-4,,7,10,1.43
37,"Jack Yentz, Loyola Chicago (MIVA)",So.,6-6,,7,10,1.43
39,"Jackson Carroll, King (TN) (Conference Carolinas)",So.,6-2,OH,5,7,1.40
39,"Joshua Kim, King (TN) (Conference Carolinas)",Sr.,6-6,RS,5,7,1.40
41,"Attia Soliman, Lincoln Memorial (DI Independent)",Fr.,5-8,,13,18,1.38
42,"Gannon Chinen, Alderson Broaddus (DI Independent)",Fr.,6-3,RS,3,4,1.33
42,"Jason Gibbs, Lewis (MIVA)",So.,6-3,L,9,12,1.33
42,"Blake Reardon, Ball St. (MIVA)",Sr.,6-4,OH,9,12,1.33
42,"AJ Risavy, Lincoln Memorial (DI Independent)",Jr.,6-7,,9,12,1.33
46,"Guillermo Jordan, Queens (NC) (DI Independent)",So.,5-10,L/DS,20,26,1.30
46,"Kevin Kauling, Lewis (MIVA)",So.,6-8,S,10,13,1.30
48,"Jack Brinkman, Queens (NC) (DI Independent)",So.,6-2,OH,14,18,1.29
49,"Brandon Baker, North Greenville (Conference Carolinas)",Sr.,6-6,MB,4,5,1.25
49,"Brennan Davis, Belmont Abbey (Conference Carolinas)",Sr.,6-0,S,4,5,1.25
51,"Matt Bridenbaugh, Lincoln Memorial (DI Independent)",Jr.,5-10,,13,16,1.23
51,"Justin Sharfenaker, Lincoln Memorial (DI Independent)",Fr.,6-6,,13,16,1.23
53,"Nic Cavallaro, Queens (NC) (DI Independent)",Sr.,6-3,OH,14,17,1.21
54,"Diego Marcano, King (TN) (Conference Carolinas)",So.,6-2,RS,5,6,1.20
55,"Josh Bragg, Queens (NC) (DI Independent)",Sr.,6-4,OH,18,21,1.17
55,"Jacob Pasteur, Ohio St. (MIVA)",Fr.,6-4,OH,6,7,1.17
57,"Colby Landry, Tusculum (DI Independent)",Fr.,6-1,OH,7,8,1.14
58,"Christos Gkitersos, Limestone (DI Independent)",So.,6-4,S,8,9,1.13
58,"Francisco Salinger, Limestone (DI Independent)",Sr.,6-5,OH,8,9,1.13
60,"Richie Hoff, George Mason (EIVA)",Jr.,6-4,,9,10,1.11
60,"Nick Lavanchy, Ball St. (MIVA)",Sr.,5-10,L,9,10,1.11
62,"Ryan Coenen, Lewis (MIVA)",Sr.,6-9,OH,10,11,1.10
63,"Che' Arbo, Alderson Broaddus (DI Independent)",Fr.,6-1,S,3,3,1.00
63,"Lucas Blanco, Tusculum (DI Independent)",So.,6-3,S,7,7,1.00
63,"Sergio Carrillo, North Greenville (Conference Carolinas)",Jr.,6-5,S,4,4,1.00
63,"Ethan Carroll, McKendree (MIVA)",Sr.,6-8,,3,3,1.00
63,"Ruben Greenstein, Queens (NC) (DI Independent)",Sr.,5-7,L/DS,18,18,1.00
63,"Shaun Kampshoff, Tusculum (DI Independent)",Jr.,6-4,RS,7,7,1.00
63,"Luis Kannee, North Greenville (Conference Carolinas)",Sr.,6-3,OPP,4,4,1.00
63,"Luke Lentin, Ohio St. (MIVA)",Jr.,6-3,S,5,5,1.00
63,"Patrick Ross, McKendree (MIVA)",Sr.,6-5,,3,3,1.00
72,"Alexander Finch, Saint Francis (EIVA)",So.,6-3,,16,15,0.94
73,"Dane Loup, Tusculum (DI Independent)",Fr.,6-2,OH,7,6,0.86
73,"Garrett Zolg, Loyola Chicago (MIVA)",Sr.,6-3,,7,6,0.86
75,"Jack Driscoll, Penn St. (EIVA)",Jr.,6-4,S,6,5,0.83
75,"Cal Fisher, Penn St. (EIVA)",Jr.,6-3,OPP,6,5,0.83
77,"AJ Drooker, King (TN) (Conference Carolinas)",Fr.,6-3,S,5,4,0.80
77,"Noah Melendez, King (TN) (Conference Carolinas)",Jr.,5-10,L,5,4,0.80
77,"Leo de Quadros, King (TN) (Conference Carolinas)",Sr.,6-0,L,5,4,0.80
80,"Colin Ensalaco, Ball St. (MIVA)",Sr.,6-1,L,9,7,0.78
81,"Jason Sall, Erskine (Conference Carolinas)",Fr.,6-3,OH,10,7,0.70
82,"Will Bantle, Penn St. (EIVA)",Jr.,6-5,L,6,4,0.67
82,"Nic Brewster, Lees-McRae (Conference Carolinas)",Fr.,6-4,OH,3,2,0.67
82,"Lucas Galifos, McKendree (MIVA)",Sr.,6-6,,3,2,0.67
82,"Michael Marsans, Lees-McRae (Conference Carolinas)",So.,6-4,OH,3,2,0.67
82,"Steven Nalls, Lees-McRae (Conference Carolinas)",So.,6-0,L,3,2,0.67
82,"Bradley Peters, Lees-McRae (Conference Carolinas)",So.,6-2,S,3,2,0.67
82,"Ryan Serrano, McKendree (MIVA)",Jr.,6-3,,3,2,0.67
82,"Brett Wildman, Penn St. (EIVA)",Jr.,6-5,OH,6,4,0.67
90,"Kellan Kennedy, King (TN) (Conference Carolinas)",Fr.,6-6,MB,5,3,0.60
91,"Dawson Walker, Lincoln Memorial (DI Independent)",So.,6-6,,12,7,0.58
92,"Omar Hoyos, George Mason (EIVA)",Fr.,6-6,,7,4,0.57
93,"Brad Creamer, George Mason (EIVA)",Sr.,6-9,,9,5,0.56
94,"JP Payne, Queens (NC) (DI Independent)",Sr.,6-4,MH,20,11,0.55
95,"Jake Somers, Belmont Abbey (Conference Carolinas)",Sr.,6-4,OH,4,2,0.50
96,"Pedro Carvalho, Lincoln Memorial (DI Independent)",Sr.,6-7,,13,6,0.46
97,"Jack Reese, George Mason (EIVA)",Sr.,6-8,,9,4,0.44
98,"Andrew Lyons, Loyola Chicago (MIVA)",So.,6-7,,7,3,0.43
98,"Jimmy Meinhart, Loyola Chicago (MIVA)",Fr.,6-8,MB,7,3,0.43
98,"Zach Reider, Quincy (MIVA)",Sr.,6-7,MB,7,3,0.43
