Rank,Player,Cl,Ht,Pos,S,Aces,Per Set
1,"Gabi Garcia Fernandez, BYU (MPSF)",Jr.,6-7,,8,11,1.375
2,"Kyle Bugee, Lewis (MIVA)",Sr.,6-5,,7,8,1.143
3,"Andrew Hillman, Ohio St. (MIVA)",Sr.,6-3,,3,3,1.000
3,"Devin Joslyn, Loyola Chicago (MVC)",Jr.,6-6,,8,8,1.000
3,"Austin Matautia, UCLA (MPSF)",Sr.,6-4,,6,6,1.000
3,"Joel Schneidmiller, UC Irvine (Big West)",Jr.,6-6,,3,3,1.000
7,"Mads Kyed Jensen, UCLA (MPSF)",Fr.,6-10,,6,5,0.833
8,"Kyle Gear, Southern California (MPSF)",Jr.,6-9,,5,4,0.800
9,"George Huhmann, Princeton (EIVA)",Sr.,6-11,,8,6,0.750
10,"Jackson Gilbert, North Greenville (Conference Carolinas)",Sr.,6-6,,7,5,0.714
11,"James Anastassiades, Hawaii (Big West)",Sr.,6-5,,6,4,0.667
11,"Zach Eschenberg, BYU (MPSF)",Sr.,6-6,,6,4,0.667
11,"Daenan Gyimah, UCLA (MPSF)",Sr.,6-8,,6,4,0.667
11,"Dalen Instenes, Lewis (MIVA)",Sr.,6-5,,6,4,0.667
11,"Martin Lallemand, Ohio St. (MIVA)",Jr.,6-4,,3,2,0.667
11,"Alexandre Nsakanda, UC Irvine (Big West)",So.,6-4,,3,2,0.667
11,"Zach Yerington, Daemen (DI Independent)",Sr.,6-5,,3,2,0.667
18,"Patrick Gasman, Hawaii (Big West)",Sr.,6-10,,5,3,0.600
19,"Ben Hamsho, North Greenville (Conference Carolinas)",Sr.,6-7,,7,4,0.571
20,"Tyler Chavez, Urbana (DI Independent)",Fr.,6-2,,4,2,0.500
20,"Jack Sarnowski, King (TN) (Conference Carolinas)",Fr.,6-3,S,6,3,0.500
20,"Wil Stanley, BYU (MPSF)",Sr.,6-4,,8,4,0.500
23,"Ryan Coenen, Lewis (MIVA)",Sr.,6-9,,6,2,0.333
23,"Sean Dennis, UC Irvine (Big West)",Jr.,6-11,,3,1,0.333
23,"Sam Greenslade, George Mason (EIVA)",Sr.,6-7,,3,1,0.333
23,"Alex  Knight, UCLA (MPSF)",Fr.,6-5,,6,2,0.333
23,"JT Martin, Pepperdine (MPSF)",Fr.,6-6,,3,1,0.333
23,"Kyle Skinner, Ohio St. (MIVA)",Sr.,6-4,,3,1,0.333
23,"Scott Stadick, UC Irvine (Big West)",Sr.,7-0,,3,1,0.333
23,"Hayden Wagner, George Mason (EIVA)",Sr.,6-6,,3,1,0.333
31,"Douglas Florencio, King (TN) (Conference Carolinas)",Jr.,6-7,MB,7,2,0.286
32,"Billy Fauntleroy, Southern California (MPSF)",So.,6-8,,4,1,0.250
32,"Alexander Mrkalj, Princeton (EIVA)",Fr.,6-5,,8,2,0.250
32,"Cole Schlothauer, Loyola Chicago (MVC)",Fr.,6-5,,8,2,0.250
35,"Sergio Carrillo, North Greenville (Conference Carolinas)",So.,6-5,,5,1,0.200
35,"Rado Parapunov, Hawaii (Big West)",Sr.,6-9,,5,1,0.200
37,"Colton Cowell, Hawaii (Big West)",Sr.,6-1,,6,1,0.167
37,"Kevin Kauling, Lewis (MIVA)",Fr.,6-8,,6,1,0.167
37,"TJ Murray, Lewis (MIVA)",Jr.,6-9,,6,1,0.167
37,"JP Reilly, Stanford (MPSF)",Jr.,6-4,,6,1,0.167
37,"Diego Villafane, Charleston (WV) (EIVA)",So.,6-1,,6,1,0.167
42,"Brandon Baker, North Greenville (Conference Carolinas)",Jr.,6-6,,7,1,0.143
42,"Suetonius Harris, King (TN) (Conference Carolinas)",So.,6-1,OH,7,1,0.143
42,"Sean Kohlhase, King (TN) (Conference Carolinas)",Jr.,6-4,OH,7,1,0.143
42,"Tyler Mitchem, Lewis (MIVA)",Jr.,6-10,,7,1,0.143
42,"Jerod Nelsen, Princeton (EIVA)",So.,6-7,,7,1,0.143
47,"Ian Cowen, Loyola Chicago (MVC)",Sr.,6-5,,8,1,0.125
47,"Danny Farrell, Loyola Chicago (MVC)",Fr.,6-8,,8,1,0.125
47,"Davide Gardini, BYU (MPSF)",So.,6-9,,8,1,0.125
47,"Miki Jauhiainen, BYU (MPSF)",Sr.,6-9,,8,1,0.125
47,"Greg Luck, Princeton (EIVA)",Sr.,6-5,,8,1,0.125
47,"Andrew Lyons, Loyola Chicago (MVC)",Fr.,6-7,,8,1,0.125
