Rank,Player,Cl,Ht,Pos,S,Block Solos,Block Assists,Total,Per Set
1,"Lucas Galifos, McKendree (MIVA)",Sr.,6-6,,3,0,10,10,3.333
2,"Tyler Mitchem, Lewis (MIVA)",Sr.,6-10,MB,10,4,15,19,1.900
3,"Brandon Baker, North Greenville (Conference Carolinas)",Sr.,6-6,MB,4,1,6,7,1.750
3,"Sergio Carrillo, North Greenville (Conference Carolinas)",Jr.,6-5,S,4,2,5,7,1.750
5,"Jimmy Meinhart, Loyola Chicago (MIVA)",Fr.,6-8,MB,7,0,12,12,1.714
5,"Zach Reider, Quincy (MIVA)",Sr.,6-7,MB,7,2,10,12,1.714
7,"Patrick Ross, McKendree (MIVA)",Sr.,6-5,,3,1,4,5,1.667
7,"Ryan Serrano, McKendree (MIVA)",Jr.,6-3,,3,1,4,5,1.667
9,"Dawson Walker, Lincoln Memorial (DI Independent)",So.,6-6,,12,1,18,19,1.583
10,"Jack Reese, George Mason (EIVA)",Sr.,6-8,,9,5,9,14,1.556
11,"William Morris, Belmont Abbey (Conference Carolinas)",Sr.,6-5,MB,4,1,5,6,1.500
12,"Andrew Nielsen, Alderson Broaddus (DI Independent)",Fr.,6-7,MB,3,3,1,4,1.333
13,"Cole Vigo, Erskine (Conference Carolinas)",So.,6-6,MB,11,0,14,14,1.273
14,"Brad Creamer, George Mason (EIVA)",Sr.,6-9,,9,1,10,11,1.222
14,"Will Hippe, Ball St. (MIVA)",Sr.,6-8,MH,9,1,10,11,1.222
14,"TJ Murray, Lewis (MIVA)",Sr.,6-9,MB,9,0,11,11,1.222
17,"Samuel Clark, Ohio St. (MIVA)",So.,6-6,MB,6,0,7,7,1.167
18,"Zac Cabral, Saint Francis (EIVA)",So.,6-10,,14,2,13,15,1.071
19,"JP Payne, Queens (NC) (DI Independent)",Sr.,6-4,MH,20,5,16,21,1.050
20,"Ethan Carroll, McKendree (MIVA)",Sr.,6-8,,3,0,3,3,1.000
20,"Kaleb Jenness, Ball St. (MIVA)",Jr.,6-6,OH,9,2,7,9,1.000
20,"Omari Wheeler, Quincy (MIVA)",Sr.,6-5,OPP,9,0,9,9,1.000
23,"Kacper Rybarczyk, Erskine (Conference Carolinas)",Fr.,6-3,OH,11,3,7,10,0.909
24,"Cole Brillhart, Lewis (MIVA)",So.,6-2,OH,10,0,9,9,0.900
25,"Cooper Coleman, Quincy (MIVA)",Jr.,6-11,MH,9,2,6,8,0.889
26,"Jon Igo, Limestone (DI Independent)",Jr.,6-7,MB,8,4,3,7,0.875
27,"Luis Velez, George Mason (EIVA)",Sr.,6-4,,7,0,6,6,0.857
27,"Garrett Zolg, Loyola Chicago (MIVA)",Sr.,6-3,,7,1,5,6,0.857
29,"Jon Fuller, Erskine (Conference Carolinas)",Fr.,6-3,MB,11,3,6,9,0.818
30,"Diego Marcano, King (TN) (Conference Carolinas)",So.,6-2,RS,5,2,2,4,0.800
31,"Jackson Gilbert, North Greenville (Conference Carolinas)",Sr.,6-6,OH,4,1,2,3,0.750
31,"Andrew Kohut, Belmont Abbey (Conference Carolinas)",Jr.,6-6,OPP,4,0,3,3,0.750
31,"Riley Mulkey, Belmont Abbey (Conference Carolinas)",Jr.,6-5,MB,4,1,2,3,0.750
34,"Luke Denton, Loyola Chicago (MIVA)",Jr.,6-6,,7,0,5,5,0.714
34,"Andrew Lyons, Loyola Chicago (MIVA)",So.,6-7,,7,0,5,5,0.714
34,"Cole Schlothauer, Loyola Chicago (MIVA)",So.,6-5,,7,0,5,5,0.714
37,"Ryan Coenen, Lewis (MIVA)",Sr.,6-9,OH,10,0,7,7,0.700
37,"Kevin Kauling, Lewis (MIVA)",So.,6-8,S,10,0,7,7,0.700
39,"Justin Sharfenaker, Lincoln Memorial (DI Independent)",Fr.,6-6,,13,0,9,9,0.692
40,"Colton Brooks, Loyola Chicago (MIVA)",So.,6-4,,6,0,4,4,0.667
40,"Jacob Pasteur, Ohio St. (MIVA)",Fr.,6-4,OH,6,0,4,4,0.667
42,"Christos Gkitersos, Limestone (DI Independent)",So.,6-4,S,8,0,5,5,0.625
43,"Tim Baldwin, Ohio St. (MIVA)",So.,6-6,OPP,5,0,3,3,0.600
44,"Bryce Behrendt, Ball St. (MIVA)",So.,6-4,OH,7,0,4,4,0.571
44,"Felix Egharevba, Ball St. (MIVA)",Jr.,6-5,MH,7,0,4,4,0.571
46,"Joshua Blair, Saint Francis (EIVA)",Jr.,6-5,,16,2,7,9,0.563
47,"Jack Bolz, George Mason (EIVA)",Fr.,6-7,,9,2,3,5,0.556
47,"Quinn Isaacson, Ball St. (MIVA)",Sr.,6-2,S,9,0,5,5,0.556
47,"Michael Ladner, Quincy (MIVA)",So.,6-3,OH,9,0,5,5,0.556
47,"Blake Reardon, Ball St. (MIVA)",Sr.,6-4,OH,9,1,4,5,0.556
51,"Juan Alcoba, Erskine (Conference Carolinas)",Fr.,6-3,S,11,1,5,6,0.545
52,"Jake Somers, Belmont Abbey (Conference Carolinas)",Sr.,6-4,OH,4,0,2,2,0.500
53,"Richie Hoff, George Mason (EIVA)",Jr.,6-4,,9,0,4,4,0.444
53,"Yoran Raymaekers, Quincy (MIVA)",Sr.,6-4,S,9,0,4,4,0.444
55,"Lucas Blanco, Tusculum (DI Independent)",So.,6-3,S,7,0,3,3,0.429
55,"Dane Loup, Tusculum (DI Independent)",Fr.,6-2,OH,7,0,3,3,0.429
57,"Kellan Kennedy, King (TN) (Conference Carolinas)",Fr.,6-6,MB,5,0,2,2,0.400
57,"Luke Lentin, Ohio St. (MIVA)",Jr.,6-3,S,5,0,2,2,0.400
57,"Jason Sall, Erskine (Conference Carolinas)",Fr.,6-3,OH,10,3,1,4,0.400
57,"Jacob Whyte, Erskine (Conference Carolinas)",Fr.,6-4,OPP,10,0,4,4,0.400
61,"Pedro Carvalho, Lincoln Memorial (DI Independent)",Sr.,6-7,,13,2,3,5,0.385
62,"Francisco Salinger, Limestone (DI Independent)",Sr.,6-5,OH,8,0,3,3,0.375
63,"Jack Brinkman, Queens (NC) (DI Independent)",So.,6-2,OH,14,1,4,5,0.357
64,"Che' Arbo, Alderson Broaddus (DI Independent)",Fr.,6-1,S,3,1,0,1,0.333
64,"Austin Gerwig, Ohio St. (MIVA)",Sr.,6-6,MB,6,0,2,2,0.333
64,"Tommy McGrath, McKendree (MIVA)",Jr.,6-7,,3,0,1,1,0.333
64,"Bradley Peters, Lees-McRae (Conference Carolinas)",So.,6-2,S,3,1,0,1,0.333
64,"Zach Schnittker, McKendree (MIVA)",Sr.,6-4,,3,0,1,1,0.333
69,"Jacob Titus, Lincoln Memorial (DI Independent)",So.,6-4,,10,0,3,3,0.300
70,"Nic Cavallaro, Queens (NC) (DI Independent)",Sr.,6-3,OH,14,1,3,4,0.286
70,"Omar Hoyos, George Mason (EIVA)",Fr.,6-6,,7,0,2,2,0.286
72,"Emanuel Adames, North Greenville (Conference Carolinas)",Fr.,6-6,MB,4,0,1,1,0.250
72,"Tom Curry, North Greenville (Conference Carolinas)",Fr.,6-2,OH,4,0,1,1,0.250
72,"Brennan Davis, Belmont Abbey (Conference Carolinas)",Sr.,6-0,S,4,0,1,1,0.250
72,"Luis Kannee, North Greenville (Conference Carolinas)",Sr.,6-3,OPP,4,0,1,1,0.250
76,"AJ Risavy, Lincoln Memorial (DI Independent)",Jr.,6-7,,9,0,2,2,0.222
