Rank,Player,Cl,Ht,Pos,S,Assists,Per Set
1,"Quinn Isaacson, Ball St. (MIVA)",Sr.,6-2,S,9,102,11.33
2,"Garrett Zolg, Loyola Chicago (MIVA)",Sr.,6-3,,7,75,10.71
3,"Kevin Kauling, Lewis (MIVA)",So.,6-8,S,10,103,10.30
4,"Brennan Davis, Belmont Abbey (Conference Carolinas)",Sr.,6-0,S,4,40,10.00
4,"Ryan Serrano, McKendree (MIVA)",Jr.,6-3,,3,30,10.00
6,"Sergio Carrillo, North Greenville (Conference Carolinas)",Jr.,6-5,S,4,39,9.75
7,"Yoran Raymaekers, Quincy (MIVA)",Sr.,6-4,S,9,83,9.22
8,"Luis Velez, George Mason (EIVA)",Sr.,6-4,,7,59,8.43
9,"Luke Lentin, Ohio St. (MIVA)",Jr.,6-3,S,5,41,8.20
10,"Christos Gkitersos, Limestone (DI Independent)",So.,6-4,S,8,65,8.13
11,"Juan Alcoba, Erskine (Conference Carolinas)",Fr.,6-3,S,11,89,8.09
12,"AJ Risavy, Lincoln Memorial (DI Independent)",Jr.,6-7,,9,70,7.78
13,"Che' Arbo, Alderson Broaddus (DI Independent)",Fr.,6-1,S,3,22,7.33
14,"Lucas Blanco, Tusculum (DI Independent)",So.,6-3,S,7,50,7.14
15,"AJ Drooker, King (TN) (Conference Carolinas)",Fr.,6-3,S,5,29,5.80
16,"Bradley Peters, Lees-McRae (Conference Carolinas)",So.,6-2,S,3,16,5.33
17,"Jack Driscoll, Penn St. (EIVA)",Jr.,6-4,S,6,10,1.67
18,"Michal Podgorzak, Limestone (DI Independent)",Jr.,5-11,L,8,10,1.25
19,"Sergio Palmer, King (TN) (Conference Carolinas)",Sr.,5-7,L,5,6,1.20
20,"Noah Melendez, King (TN) (Conference Carolinas)",Jr.,5-10,L,5,4,0.80
21,"Steven Nalls, Lees-McRae (Conference Carolinas)",So.,6-0,L,3,2,0.67
22,"Justin Rendon, Erskine (Conference Carolinas)",So.,5-11,L,11,7,0.64
23,"Noam Hannoun, Quincy (MIVA)",Jr.,5-11,L,9,5,0.56
24,"Attia Soliman, Lincoln Memorial (DI Independent)",Fr.,5-8,,13,7,0.54
25,"Matteo Miselli, Belmont Abbey (Conference Carolinas)",Sr.,6-2,OH,4,2,0.50
25,"Spencer Saint-Eloi, Limestone (DI Independent)",Sr.,6-1,OPP,8,4,0.50
27,"Carlos Jimenez, Lewis (MIVA)",Jr.,6-1,L,7,3,0.43
27,"Taylor Phillips, Tusculum (DI Independent)",Fr.,6-0,L,7,3,0.43
29,"Ryan Coenen, Lewis (MIVA)",Sr.,6-9,OH,10,4,0.40
29,"Matthew Menosky, Saint Francis (EIVA)",So.,6-0,,15,6,0.40
31,"Guillermo Jordan, Queens (NC) (DI Independent)",So.,5-10,L/DS,20,7,0.35
32,"Max Kuntz, Lees-McRae (Conference Carolinas)",Jr.,6-3,OH,3,1,0.33
32,"Nick Lavanchy, Ball St. (MIVA)",Sr.,5-10,L,9,3,0.33
32,"Luke Meidel, Ohio St. (MIVA)",Sr.,6-1,L,6,2,0.33
32,"Jack Reese, George Mason (EIVA)",Sr.,6-8,,9,3,0.33
32,"Patrick Ross, McKendree (MIVA)",Sr.,6-5,,3,1,0.33
37,"Omar Hoyos, George Mason (EIVA)",Fr.,6-6,,7,2,0.29
37,"Shaun Kampshoff, Tusculum (DI Independent)",Jr.,6-4,RS,7,2,0.29
37,"Geraldo Rivera, Limestone (DI Independent)",Sr.,6-0,OH,7,2,0.29
37,"Cole Schlothauer, Loyola Chicago (MIVA)",So.,6-5,,7,2,0.29
37,"Jack Yentz, Loyola Chicago (MIVA)",So.,6-6,,7,2,0.29
42,"Jon Fuller, Erskine (Conference Carolinas)",Fr.,6-3,MB,11,3,0.27
43,"Brandon Baker, North Greenville (Conference Carolinas)",Sr.,6-6,MB,4,1,0.25
43,"Matthew Maxwell, Belmont Abbey (Conference Carolinas)",So.,5-10,L,4,1,0.25
43,"Jake Somers, Belmont Abbey (Conference Carolinas)",Sr.,6-4,OH,4,1,0.25
46,"Jack Bolz, George Mason (EIVA)",Fr.,6-7,,9,2,0.22
46,"Colin Ensalaco, Ball St. (MIVA)",Sr.,6-1,L,9,2,0.22
46,"Jason Gibbs, Lewis (MIVA)",So.,6-3,L,9,2,0.22
46,"Will Hippe, Ball St. (MIVA)",Sr.,6-8,MH,9,2,0.22
46,"Kaleb Jenness, Ball St. (MIVA)",Jr.,6-6,OH,9,2,0.22
46,"Trevor Kennan, George Mason (EIVA)",Jr.,6-2,,9,2,0.22
46,"Omari Wheeler, Quincy (MIVA)",Sr.,6-5,OPP,9,2,0.22
