Team 1,Team 1 Score,Team 2,Team 2 Score,Date
Princeton,0,UCLA,0,01-02-2019
Grand Canyon,0,Long Beach St.,0,01-03-2019
Concordia (CA),0,CSUN,0,01-03-2019
Harvard,0,UC Santa Barb.,0,01-03-2019
George Mason,0,Queens (N.C.),0,01-04-2019
NJIT,0,Fort Wayne,0,01-04-2019
Grand Canyon,0,UC Santa Barb.,0,01-04-2019
Princeton,0,Ball State,0,01-04-2019
UC Irvine,0,Loyola Chicago,0,01-04-2019
Menlo,0,Stanford,0,01-04-2019
UC San Diego,0,Pepperdine,0,01-04-2019
North Greenville,0,Lewis,0,01-04-2019
Charleston (WVa),0,Ohio St.,0,01-04-2019
Concordia (CA),0,Long Beach St.,0,01-04-2019
Harvard,0,CSUN,0,01-04-2019
George Mason,0,Barton,0,01-05-2019
NJIT,0,Ball State,0,01-05-2019
Grand Canyon,0,CSUN,0,01-05-2019
Princeton,0,Fort Wayne,0,01-05-2019
Concordia (CA),0,UC Santa Barb.,0,01-05-2019
UC Irvine,0,Lewis,0,01-05-2019
Harvard,0,Long Beach St.,0,01-05-2019
UC San Diego,0,UCLA,0,01-05-2019
North Greenville,0,Loyola Chicago,0,01-05-2019
Penn St.,0,Ohio St.,0,01-05-2019
UC Irvine,0,Ball State,0,01-07-2019
Erskine,0,Life (GA),0,01-08-2019
Pepperdine,0,UC Santa Barb.,0,01-09-2019
North Greenville,0,Queens (N.C.),0,01-09-2019
UCLA,0,CSUN,0,01-09-2019
Long Beach St.,0,Mount Olive,0,01-10-2019
NJIT,0,Hawaii,0,01-10-2019
USC,0,Concordia (CA),0,01-10-2019
Ball State,0,Stanford,0,01-10-2019
Ohio St.,0,BYU,0,01-10-2019
Daemen,3,Alderson-Broad.,2,01-11-2019
UC Merced,1,CSUN,3,01-11-2019
UC Irvine,3,Princeton,0,01-11-2019
Lewis,0,King (Tenn.),0,01-11-2019
Emmanuel (Ga.),0,St. Francis (Pa.),0,01-11-2019
Benedictine Mesa,0,Grand Canyon,0,01-11-2019
Concordia (CA),0,Hawaii,0,01-11-2019
Charleston (WVa),0,Lindenwood (MO),0,01-11-2019
UC Santa Barb.,0,Pepperdine,0,01-11-2019
UC San Diego,0,Sacred Heart,0,01-11-2019
Erskine,0,George Mason,0,01-11-2019
Fort Wayne,0,Lees-McRae,0,01-11-2019
UCLA,0,McKendree,0,01-11-2019
Campbellsville,0,Lincoln Memorial,0,01-11-2019
Loyola Chicago,0,Mount Olive,0,01-11-2019
NJIT,0,USC,0,01-11-2019
Long Beach St.,0,Barton,0,01-11-2019
Alderson-Broad.,0,St. Francis (Pa.),3,01-12-2019
Ohio St.,1,Stanford,3,01-12-2019
Ball State,0,BYU,3,01-12-2019
UC Irvine,3,George Mason,1,01-12-2019
USC,0,Hawaii,3,01-12-2019
Lewis,0,Mount Olive,0,01-12-2019
Daemen,0,St. Francis (Pa.),0,01-12-2019
Concordia (CA),0,NJIT,0,01-12-2019
Charleston (WVa),0,McKendree,0,01-12-2019
Emmanuel (Ga.),0,Alderson-Broad.,0,01-12-2019
Emmanuel (Ga.),0,Daemen,0,01-12-2019
North Greenville,0,Penn St.,0,01-12-2019
Belmont Abbey,0,Campbellsville,0,01-12-2019
Belmont Abbey,0,Lincoln Memorial,0,01-12-2019
Ottawa (AZ),0,Grand Canyon,0,01-12-2019
UC San Diego,0,Harvard,0,01-12-2019
Fort Wayne,0,Queens (N.C.),0,01-12-2019
UCLA,0,Lindenwood (MO),0,01-12-2019
Princeton,0,Erskine,0,01-12-2019
Loyola Chicago,0,King (Tenn.),0,01-12-2019
Mount Olive,0,Lincoln Memorial,0,01-13-2019
St. Andrews,1,Coker,3,01-15-2019
Bluefield Col.,0,Lees-McRae,0,01-15-2019
Life (GA),0,Erskine,0,01-15-2019
UC Santa Barb.,0,UCLA,3,01-16-2019
King (Tenn.),0,Queens (N.C.),0,01-16-2019
Quincy,0,Culver-Stockton,0,01-16-2019
UC Irvine,1,Stanford,3,01-17-2019
Westcliff,0,Concordia (CA),0,01-17-2019
Benedictine Mesa,0,Concordia (CA),0,01-17-2019
George Mason,3,Ohio St.,1,01-18-2019
CSUN,3,Fort Wayne,2,01-18-2019
BYU,3,Penn St.,2,01-18-2019
Pepperdine,2,Loyola Chicago,3,01-18-2019
UC Santa Barb.,3,Ball State,2,01-18-2019
Lincoln Memorial,0,USC,3,01-18-2019
King (Tenn.),0,Charleston (WVa),0,01-18-2019
Limestone,0,Lindenwood (MO),0,01-18-2019
Erskine,0,Cincinnati Christian,0,01-18-2019
UC San Diego,0,Lewis,0,01-18-2019
Barton,0,Grand Canyon,0,01-18-2019
Life (GA),0,North Greenville,0,01-18-2019
Lees-McRae,0,Queens (N.C.),0,01-18-2019
Long Beach St.,3,UCLA,0,01-19-2019
CSUN,2,Ball State,3,01-19-2019
BYU,3,St. Francis (Pa.),0,01-19-2019
UC Irvine,3,Stanford,1,01-19-2019
UC Santa Barb.,3,Fort Wayne,1,01-19-2019
Coker,3,Alderson-Broad.,1,01-19-2019
George Mason,0,Charleston (WVa),0,01-19-2019
Grand Canyon,0,Lindenwood (MO),0,01-19-2019
Pepperdine,0,Lewis,0,01-19-2019
