Team 1,Team 1 Score,Team 2,Team 2 Score,Date
Lewis,3,Quincy,1,04-08-2023
Loyola Chicago,0,Ohio St.,3,04-08-2023
McKendree,1,Lindenwood,3,04-08-2023
Purdue Fort Wayne,0,Ball St.,3,04-08-2023
CUI,0,Pepperdine,3,04-08-2023
Grand Canyon,2,Stanford,3,04-08-2023
CSUN,0,Long Beach St.,3,04-08-2023
UCLA,3,Southern California,0,04-08-2023
UC Irvine,0,Hawaii,3,04-09-2023
Edward Waters,3,Fort Valley St.,2,04-13-2023
CarolinaU,2,Benedict,3,04-13-2023
Emmanuel (GA),0,Erskine,3,04-13-2023
Lees-McRae,3,King (TN),1,04-13-2023
North Greenville,3,Belmont Abbey,1,04-13-2023
Mount Olive,3,Barton,0,04-13-2023
UCLA,3,Pepperdine,1,04-13-2023
Southern California,3,CUI,2,04-13-2023
Limestone,3,Alderson Broaddus,0,04-14-2023
Maryville (MO),3,Tusculum,2,04-14-2023
Limestone,2,Queens (NC),3,04-14-2023
Sacred Heart,3,St. Francis Brooklyn,1,04-14-2023
Daemen,1,FDU,3,04-14-2023
Morehouse,0,Edward Waters,3,04-14-2023
D'Youville,0,Saint Francis (PA),3,04-14-2023
Central St. (OH),3,Kentucky St.,0,04-14-2023
George Mason,3,Harvard,0,04-14-2023
NJIT,1,Princeton,3,04-14-2023
Charleston (WV),0,Penn St.,3,04-14-2023
Merrimack,0,LIU,3,04-14-2023
Maryville (MO),0,Lincoln Memorial,3,04-14-2023
Stanford,1,BYU,3,04-14-2023
UC Santa Barbara,3,CSUN,0,04-14-2023
UC Irvine,0,Long Beach St.,3,04-14-2023
UC San Diego,1,Hawaii,3,04-15-2023
Maryville (MO),1,Limestone,3,04-15-2023
George Mason,3,Harvard,1,04-15-2023
D'Youville,0,FDU,3,04-15-2023
Charleston (WV),1,Penn St.,3,04-15-2023
Daemen,1,Saint Francis (PA),3,04-15-2023
Merrimack,3,St. Francis Brooklyn,1,04-15-2023
Queens (NC),0,Lincoln Memorial,3,04-15-2023
Lindenwood,0,Ohio St.,3,04-15-2023
Benedict,3,Fort Valley St.,2,04-15-2023
Quincy,0,Ball St.,3,04-15-2023
Sacred Heart,3,LIU,2,04-15-2023
Long Beach St.,3,UC Irvine,2,04-15-2023
Purdue Fort Wayne,1,Lewis,3,04-15-2023
McKendree,3,Loyola Chicago,2,04-15-2023
Stanford,0,BYU,3,04-15-2023
CUI,0,Southern California,3,04-15-2023
CSUN,1,UC Santa Barbara,3,04-15-2023
Pepperdine,1,UCLA,3,04-15-2023
Alderson Broaddus,3,Tusculum,1,04-15-2023
UC San Diego,0,Hawaii,3,04-16-2023
Lees-McRae,0,Belmont Abbey,3,04-18-2023
Mount Olive,2,King (TN),3,04-18-2023
Merrimack,1,LIU,3,04-19-2023
NJIT,3,Charleston (WV),2,04-19-2023
CUI,1,BYU,3,04-19-2023
Harvard,2,George Mason,3,04-19-2023
St. Francis Brooklyn,0,Sacred Heart,3,04-19-2023
Lewis,0,Ball St.,3,04-19-2023
McKendree,1,Ohio St.,3,04-19-2023
Southern California,1,Stanford,3,04-19-2023
Pepperdine,0,Grand Canyon,3,04-19-2023
Kentucky St.,0,Fort Valley St.,3,04-20-2023
Morehouse,0,Benedict,3,04-20-2023
Fort Valley St.,0,Edward Waters,3,04-20-2023
LIU,3,Daemen,0,04-20-2023
NJIT,1,Princeton,3,04-20-2023
George Mason,1,Penn St.,3,04-20-2023
Benedict,1,Central St. (OH),3,04-20-2023
Sacred Heart,0,Saint Francis (PA),3,04-20-2023
Grand Canyon,0,UCLA,3,04-20-2023
UC San Diego,2,UC Santa Barbara,3,04-20-2023
BYU,2,Stanford,3,04-20-2023
CSUN,0,UC Irvine,3,04-20-2023
Central St. (OH),1,Edward Waters,3,04-21-2023
Belmont Abbey,0,North Greenville,3,04-21-2023
Erskine,0,King (TN),3,04-21-2023
UC Santa Barbara,0,Hawaii,3,04-21-2023
Long Beach St.,0,UC Irvine,3,04-21-2023
LIU,3,Saint Francis (PA),0,04-22-2023
North Greenville,2,King (TN),3,04-22-2023
Princeton,0,Penn St.,3,04-22-2023
Ohio St.,3,Ball St.,1,04-22-2023
UCLA,3,Stanford,0,04-22-2023
Hawaii,3,UC Irvine,1,04-22-2023
King (TN),0,Ohio St.,3,04-30-2023
Grand Canyon,1,Long Beach St.,3,05-02-2023
Ohio St.,1,Penn St.,3,05-02-2023
Long Beach St.,0,UCLA,3,05-04-2023
Penn St.,2,Hawaii,3,05-04-2023
Hawaii,1,UCLA,3,05-06-2023
