Team 1,Team 1 Score,Team 2,Team 2 Score,Date
Lindenwood,0,Stanford,3,01-05-2022
BYU,0,Penn St.,3,01-06-2022
Lindenwood,0,Stanford,3,01-06-2022
Southern California,3,UC Santa Barbara,2,01-06-2022
Loyola Chicago,0,Hawaii,3,01-06-2022
Indiana Tech,3,Central St. (OH),2,01-06-2022
Long Beach St.,,McMaster (CAN),,01-06-2022
Purdue Fort Wayne,3,King (TN),0,01-07-2022
Southern California,3,UC Santa Barbara,1,01-07-2022
Central St. (OH),0,Ohio St.,3,01-07-2022
Juniata,0,Saint Francis (PA),3,01-07-2022
McKendree,1,Grand Canyon,3,01-07-2022
Lindenwood,0,UC Irvine,3,01-07-2022
Long Beach St.,,McMaster (CAN),,01-07-2022
Loyola Chicago,1,Hawaii,3,01-08-2022
Purdue Fort Wayne,0,Lincoln Memorial,3,01-08-2022
Central St. (OH),0,Ohio St.,3,01-08-2022
BYU,0,Penn St.,3,01-08-2022
Lancaster Bible,3,Erskine,2,01-08-2022
UC Irvine,2,Stanford,3,01-08-2022
McKendree,1,Grand Canyon,3,01-08-2022
Central St. (OH),,Charleston (WV),,01-08-2022
St. Xavier,1,CUI,3,01-10-2022
St. Xavier,0,UC Santa Barbara,3,01-11-2022
North Greenville,3,Tusculum,1,01-11-2022
Saint Francis (PA),0,Ohio St.,3,01-12-2022
Princeton,0,Southern California,3,01-12-2022
Harvard,0,UC Irvine,3,01-12-2022
Queens (NC),2,Emmanuel (GA),3,01-13-2022
Grand Canyon,0,Penn St.,3,01-13-2022
CarolinaU (Piedmont Int'l),0,Belmont Abbey,3,01-13-2022
St. Katherine,0,CUI,3,01-13-2022
Erskine,0,Pepperdine,3,01-13-2022
Erskine,0,Southern California,3,01-14-2022
Springfield,3,LIU,0,01-14-2022
Maryville (MO),0,Purdue Fort Wayne,3,01-14-2022
NJIT,1,Lewis,3,01-14-2022
Harvard,1,UC San Diego,3,01-14-2022
Stanford,1,UC Irvine,3,01-14-2022
Limestone,3,Campbellsville,2,01-14-2022
George Mason,3,Barton,0,01-14-2022
Saint Francis (PA),0,Loyola Chicago,3,01-14-2022
Erskine,0,Pepperdine,3,01-14-2022
King (TN),,Charleston (WV),,01-14-2022
Tusculum,0,Ball St.,3,01-15-2022
Fort Valley St.,0,King (TN),3,01-15-2022
George Mason,2,Mount Olive,3,01-15-2022
Grand Canyon,0,Penn St.,3,01-15-2022
Saint Francis (PA),0,Lewis,3,01-15-2022
Princeton,0,UCLA,3,01-15-2022
Stanford,0,UC San Diego,3,01-15-2022
Harvard,0,Long Beach St.,3,01-15-2022
Edward Waters,0,Hawaii,3,01-15-2022
Lees-McRae,0,Queens (NC),3,01-15-2022
NJIT,1,Loyola Chicago,3,01-15-2022
D'Youville,,LIU,,01-15-2022
Fort Valley St.,,Charleston (WV),,01-15-2022
Edward Waters,0,Hawaii,3,01-16-2022
Erskine,0,Long Beach St.,3,01-17-2022
Princeton,0,Pepperdine,3,01-17-2022
Mount Olive,3,Queens (NC),1,01-18-2022
American Int'l,0,Endicott,3,01-18-2022
Hilbert,,D'Youville,,01-18-2022
St. Francis Brooklyn,,LIU,,01-18-2022
Princeton,3,UC Santa Barbara,1,01-19-2022
Saint Francis (PA),,Daemen,,01-19-2022
Kentucky St.,,Georgetown (KY),,01-19-2022
Quincy,,Mo. Baptist,,01-19-2022
Erskine,0,Limestone,3,01-20-2022
George Mason,3,Purdue Fort Wayne,2,01-20-2022
Benedict,0,Fort Valley St.,3,01-21-2022
Daemen,3,American Int'l,0,01-21-2022
George Mason,0,Ball St.,3,01-21-2022
Alderson Broaddus,0,Randolph-Macon,3,01-21-2022
Central St. (OH),0,McKendree,3,01-21-2022
Ohio St.,2,UCLA,3,01-21-2022
William Penn,0,Quincy,3,01-21-2022
Long Beach St.,3,Lewis,1,01-21-2022
Culver-Stockton,1,Maryville (MO),3,01-21-2022
UC Irvine,2,BYU,3,01-21-2022
Grand Canyon,3,UC San Diego,1,01-21-2022
Vanguard,0,Stanford,3,01-21-2022
Southern California,3,Penn St.,1,01-21-2022
Edward Waters,1,Life (GA),3,01-21-2022
UC Santa Barbara,3,Pepperdine,2,01-21-2022
Queens (NC),0,Harvard,3,01-21-2022
Belmont Abbey,0,Loyola Chicago,3,01-21-2022
Alderson Broaddus,1,Randolph-Macon,3,01-22-2022
SUNY Potsdam,0,D'Youville,3,01-22-2022
East. Mennonite,1,Alderson Broaddus,3,01-22-2022
Endicott,3,American Int'l,0,01-22-2022
Daemen,2,Sacred Heart,3,01-22-2022
Purdue Fort Wayne,3,St. Francis Brooklyn,1,01-22-2022
St. Xavier,2,Quincy,3,01-22-2022
LIU,0,Saint Francis (PA),3,01-22-2022
Erskine,2,Edward Waters,3,01-22-2022
Central St. (OH),0,Lindenwood,3,01-22-2022
Belmont Abbey,0,Lewis,3,01-22-2022
Southern California,1,Ohio St.,3,01-22-2022
Olivet Nazarene,0,Maryville (MO),3,01-22-2022
UC Santa Cruz,1,Stanford,3,01-22-2022
UC Irvine,0,BYU,3,01-22-2022
Master's,0,CUI,3,01-22-2022
Penn St.,1,UCLA,3,01-22-2022
King (TN),0,Harvard,3,01-22-2022
Long Beach St.,3,Loyola Chicago,0,01-22-2022
King (TN),2,Queens (NC),3,01-22-2022
Kentucky St.,,Cumberland (TN),,01-22-2022
Milligan,,Kentucky St.,,01-22-2022
CarolinaU (Piedmont Int'l),,Kentucky St.,,01-22-2022
Purdue Fort Wayne,0,NJIT,3,01-23-2022
Daemen,3,Princeton,2,01-23-2022
D'Youville,0,Elmira,3,01-25-2022
King (TN),2,Lincoln Memorial,3,01-25-2022
North Greenville,2,Limestone,3,01-25-2022
LIU,3,Fairleigh Dickinson,1,01-25-2022
St. Ambrose,1,Quincy,3,01-25-2022
UC Irvine,0,Southern California,3,01-26-2022
Wittenberg,,Central St. (OH),,01-26-2022
Mount Olive,2,BYU,3,01-27-2022
Benedictine Mesa,0,Grand Canyon,3,01-27-2022
CSUN,0,UCLA,3,01-27-2022
Edward Waters,2,Webber Int'l,3,01-27-2022
Maryville (MO),1,Judson (IL),3,01-28-2022
Master's,0,Grand Canyon,3,01-28-2022
Charleston (WV),3,Limestone,0,01-28-2022
Lasell,0,Sacred Heart,3,01-28-2022
UC San Diego,2,NJIT,3,01-28-2022
Maryville (MO),3,Cumberland (TN),1,01-28-2022
North Greenville,3,Alderson Broaddus,1,01-28-2022
Benedict,0,Lees-McRae,3,01-28-2022
McKendree,3,King (TN),0,01-28-2022
Loyola Chicago,0,Lincoln Memorial,3,01-28-2022
Saint Francis (PA),1,Purdue Fort Wayne,3,01-28-2022
Barton,0,Queens (NC),3,01-28-2022
Missouri Valley,3,Quincy,2,01-28-2022
Ohio St.,1,Long Beach St.,3,01-28-2022
Penn St.,0,UC Santa Barbara,3,01-28-2022
Southern California,3,UC Irvine,2,01-28-2022
