,Team 1,Team 1 Score,Team 2,Team 2 Score
25,Fort Valley St.,0,Ohio St.,3
26,Grand Canyon,3,NJIT,1
27,Saint Francis,0,UCLA,3
28,Rockhurst,0,Lindenwood,3
29,Barton,0,Barry,3
30,Central St. (OH),1,Purdue Fort Wayne,3
31,Maryville (MO),0,Lewis,3
32,Menlo,1,UC Santa Barbara,3
33,Penn St.,1,Loyola Chicago,3
34,Ball St.,3,Stanford,0
35,St. Thomas Aquinas,0,BYU,3
36,Daemen,0,UC San Diego,3
37,Missouri S&T,0,CSUN,3
38,Saint Francis,0,Long Beach St.,3
39,Edward Waters,,Emmanuel (GA),
40,Harvard,2,Hawaii,3
41,Fort Valley St.,0,Ohio St.,3
42,Barton,0,Barry,3
43,Menlo,1,CSUN,3
44,Charleston (WV),1,Queens (NC),3
45,Erskine,3,Edward Waters,0
46,Grand Canyon,3,NJIT,1
47,Missouri S&T,0,UC Irvine,3
48,Maryville (MO),1,Loyola Chicago,3
49,Penn St.,0,Lewis,3
50,Rockhurst,2,McKendree,3
51,Ball St.,0,Stanford,3
52,St. Thomas Aquinas,0,BYU,3
53,Tusculum,0,UC Santa Barbara,3
54,Princeton,0,Southern California,3
55,Daemen,3,CUI,1
56,Charleston (WV),2,Queens (NC),3
57,Missouri S&T,0,Pepperdine,3
58,Central St. (OH),0,Thomas More,3
59,Roosevelt,0,Lewis,3
60,George Mason,0,UC San Diego,3
61,Barry,1,FDU,3
62,Belmont Abbey,3,Catawba,1
63,Long Beach St.,3,Lindenwood,0
64,SUNY New Paltz,0,Menlo,3
65,Princeton,1,Hawaii,3
66,Roberts Wesleyan,1,LIU,3
67,Quincy,3,Roosevelt,1
68,BYU,3,Ball St.,2
69,Queens (NC),3,Belmont Abbey,0
70,Barry,0,Dominican (NY),3
71,Thomas More,3,Mt. St. Joseph,1
72,Long Beach St.,3,McKendree,0
73,Barry,1,St. Thomas Aquinas,3
74,Roberts Wesleyan,0,NJIT,3
75,Penn St.,0,UCLA,3
76,P.R.-Rio Piedras,1,Juniata,3
77,Sacred Heart,3,FDU,2
78,Mount Olive,3,Fort Valley St.,0
79,Tusculum,3,Erskine,0
80,BYU,3,Ball St.,2
81,Lindenwood,1,UC San Diego,3
82,Barry,0,LIU,3
83,Lincoln Memorial,3,Charleston (WV),0
84,Russell Sage,1,American Int'l,3
85,Lees-McRae,0,Catawba,3
86,George Mason,0,Grand Canyon,3
87,Saint Francis,0,Loyola Chicago,3
88,Rockhurst,0,Lewis,3
89,Ohio St.,0,Stanford,3
90,Purdue Fort Wayne,0,CSUN,3
91,Emmanuel (GA),0,UC Santa Barbara,3
92,D'Youville,0,Southern California,3
93,Springfield,0,CUI,3
94,Kentucky St.,,Missouri S&T,
95,Princeton,0,Hawaii,3
96,P.R.-Rio Piedras,3,Saint Vincent,0
97,American Int'l,0,MIT,3
98,Mount Olive,3,Fort Valley St.,1
99,Lincoln Memorial,3,Charleston (WV),1
100,Rockhurst,1,Saint Francis,3
101,American Int'l,0,Emmanuel (MA),3
102,P.R.-Rio Piedras,,Grove City,
103,St. Thomas Aquinas,0,Harvard,3
104,Penn St.,1,Stanford,3
105,George Mason,1,Grand Canyon,3
106,Purdue Fort Wayne,0,UC San Diego,3
107,Ohio St.,3,UCLA,1
108,Rockhurst,1,Loyola Chicago,3
109,Long Beach St.,3,Lewis,1
110,Lindenwood,1,CSUN,3
111,Emmanuel (GA),0,Southern California,3
112,D'Youville,0,CUI,3
113,Kentucky St.,,Maryville (MO),
114,Tusculum,1,Queens (NC),3
115,Tusculum,1,Barton,3
116,Barton,1,Queens (NC),3
117,D'Youville,0,Pepperdine,3
118,Jessup,3,Pacific Union,1
119,Quincy,3,Lees-McRae,0
120,Emmanuel (GA),0,Pepperdine,3
121,Quincy,1,Tusculum,3
122,Catawba,1,North Greenville,3
123,American Int'l,0,Sacred Heart,3
124,Merrimack,0,Harvard,3
125,LIU,3,Lees-McRae,1
126,Southern California,3,CSUN,1
127,BYU,2,UC Irvine,3
128,Quincy,3,King (TN),0
129,Queens (NC),1,George Mason,2
130,LIU,2,Purdue Fort Wayne,3
131,Lees-McRae,0,Ball St.,3
132,Benedict,0,Catawba,3
133,UC San Diego,1,UCLA,3
134,Barry,1,Emmanuel (GA),3
135,Barry,2,Fort Valley St.,3
136,Edward Waters,1,St. Thomas Aquinas,3
137,Marymount (VA),,Barton,0
138,Queens (NC),2,NJIT,3
139,Roberts Wesleyan,1,FDU,3
140,King (TN),0,George Mason,3
141,Fort Valley St.,3,Emmanuel (GA),0
142,Saint Francis,2,Princeton,3
143,Dominican (NY),0,Daemen,3
144,Concordia Wisconsin,3,American Int'l,1
145,Maryville (MO),0,Ball St.,3
146,UC Santa Barbara,3,Grand Canyon,0
147,Missouri S&T,0,Loyola Chicago,3
148,Mount Olive,2,Lewis,3
149,Kan. Wesleyan,1,Rockhurst,3
150,BYU,0,UC Irvine,3
151,UCLA,3,CSUN,1
152,Vanguard,0,UC San Diego,3
153,CUI,0,Long Beach St.,3
154,Kentucky St.,0,St. Mary-Woods,3
155,Kentucky St.,0,Truett-McConnell,3
156,Hood,0,Barton,3
157,Barry,0,Erskine,3
158,Edward Waters,0,St. Thomas Aquinas,3
159,Graceland (IA),1,Rockhurst,3
160,Roberts Wesleyan,0,FDU,3
161,St. Norbert,2,Barton,3
162,Kentucky St.,1,Franklin,3
163,Dominican (NY),0,D'Youville,3
164,Quincy,1,Lincoln Memorial,3
165,Ottawa (KS),0,Rockhurst,3
166,King (TN),0,George Mason,3
167,Mount Olive,0,Loyola Chicago,3
168,Lees-McRae,0,Purdue Fort Wayne,3
169,Saint Francis,0,NJIT,3
170,Merrimack,3,American Int'l,0
171,Missouri S&T,0,Lewis,3
172,Charleston (WV),0,McKendree,3
173,UC Santa Barbara,2,Grand Canyon,3
174,Jessup,0,Menlo,3
175,Governors St.,3,Kentucky St.,0
176,Queens (NC),0,Princeton,3
177,Charleston (WV),0,Lindenwood,3
178,Edward Waters,0,LIU,2
179,Long Beach St.,3,Pepperdine,2
180,Brescia,0,Maryville (MO),3
181,Warner,3,Edward Waters,2
182,Tusculum,3,North Greenville,1
183,Catawba,3,Barton,2
184,Central St. (OH),3,Southern California,0
185,Erskine,3,Warren Wilson,0
186,CUI,0,UC Santa Barbara,3
187,Geneva,0,Roberts Wesleyan,3
188,Catawba,1,Queens (NC),3
189,Simpson (CA),0,Menlo,3
190,Indiana Tech,3,Thomas More,0
191,Tusculum,0,Ball St.,3
192,Edward Waters,1,Barton,3
193,Houghton,0,Roberts Wesleyan,3
194,Emerson,2,American Int'l,3
195,Loyola Chicago,3,Pepperdine,2
196,UC Merced,0,Vanguard,3
197,Missouri S&T,3,Quincy,1
198,UCLA,3,Penn St.,0
199,Saint Francis,0,Purdue Fort Wayne,3
200,Rockhurst,3,Emmanuel (GA),0
201,NJIT,3,LIU,0
202,St. Thomas Aquinas,0,George Mason,3
203,Lees-McRae,0,Queens (NC),3
204,Talladega,3,Morehouse,0
205,Fort Valley St.,0,Long Beach St.,3
206,Roosevelt,0,Quincy,3
207,Southern California,3,Ohio St.,1
208,Lincoln Memorial,3,Harvard,2
209,Dominican (NY),0,Sacred Heart,3
210,King (TN),0,Charleston (WV),3
211,FDU,0,Princeton,3
212,Edward Waters,1,Mount Olive,3
213,Wabash,3,Central St. (OH),0
214,Tusculum,0,Ball St.,3
215,Lewis,3,UC Santa Barbara,1
216,Maryville (MO),0,McKendree,3
217,Jessup,3,Simpson (CA),1
218,UC Irvine,3,Stanford,0
219,Hawaii,3,BYU,2
220,Grand Canyon,3,Belmont Abbey,0
221,Master's,3,CUI,1
222,Rockhurst,3,Quincy,1
223,FDU,3,American Int'l,1
224,King (TN),0,Charleston (WV),3
225,Benedict,3,Milligan,0
226,Belmont Abbey,3,Fort Valley St.,1
227,Loyola Chicago,3,UC San Diego,2
228,St. Thomas Aquinas,0,CSUN,3
229,Missouri S&T,3,Emmanuel (GA),0
230,Benedict,1,Truett-McConnell,3
231,Rockhurst,3,Roosevelt,0
232,Saint Francis,2,Lincoln Memorial,3
233,Southern California,3,Penn St.,1
234,Lewis,0,Pepperdine,3
235,Grand Canyon,3,Fort Valley St.,0
236,Emmanuel (GA),0,Quincy,3
237,Long Beach St.,3,Belmont Abbey,0
238,UCLA,3,Ohio St.,1
239,Purdue Fort Wayne,3,Harvard,0
240,Merrimack,3,Sacred Heart,1
241,Dominican (NY),0,NJIT,3
242,Maryville (MO),1,Lindenwood,3
243,Roosevelt,0,Missouri S&T,3
244,UC Irvine,3,Stanford,0
245,Hawaii,3,BYU,1
