,Team 1,Team 1 Score,Team 2,Team 2 Score
408,Hawaii,3,Queens (NC),1
409,Ball St.,2,McKendree,3
410,Quincy,1,Loyola Chicago,3
411,Sacred Heart,0,Harvard,3
412,Wentworth,0,Merrimack,3
413,Penn St.,3,NJIT,1
414,UC Irvine,2,UCLA,3
415,Purdue Fort Wayne,2,Lewis,3
416,Barry,0,BYU,3
417,UC San Diego,3,CUI,0
418,Barton,0,Long Beach St.,3
419,Benedict,0,Fort Valley St.,3
420,Sacred Heart,0,Harvard,3
421,Barton,0,Long Beach St.,3
422,D'Youville,3,Roberts Wesleyan,2
423,King (TN),3,North Greenville,2
424,Belmont Abbey,3,Lees-McRae,0
425,Erskine,3,Emmanuel (GA),0
426,Cal Lutheran,0,UC Santa Barbara,3
427,Dominican (NY),3,American Int'l,0
428,LeMoyne-Owen,3,Kentucky St.,2
429,Harvard,1,Merrimack,3
430,Maryville (MO),3,Missouri S&T,0
431,UC Santa Barbara,1,UCLA,3
432,Southern California,3,Vanguard,0
433,Jessup,3,Soka,0
434,Cumberland (TN),0,Tusculum,3
435,Daemen,3,Roberts Wesleyan,1
436,Fort Valley St.,3,Benedict,0
437,Ohio St.,2,Ball St.,3
438,North Greenville,1,Catawba,3
439,Lewis,3,Loyola Chicago,1
440,Grand Canyon,1,Pepperdine,3
441,CUI,0,Master's,3
442,FDU,0,St. Thomas Aquinas,3
443,LIU,3,Charleston (WV),0
444,Warner,0,Barry,3
445,McKendree,3,Queens (NC),0
446,Morehouse,0,Central St. (OH),3
447,Mount Olive,3,Erskine,0
448,Rockhurst,3,Maryville (MO),2
449,Lindenwood,3,Purdue Fort Wayne,1
450,NJIT,1,Princeton,3
451,Barton,3,Emmanuel (GA),0
452,Merrimack,1,Penn St.,3
453,George Mason,0,Saint Francis,3
454,Grand Canyon,1,Pepperdine,3
455,UC Merced,0,Stanford,3
456,UC San Diego,3,Menlo,0
457,Cal Lutheran,0,CSUN,3
458,UCLA,3,UC Santa Barbara,1
459,Vanguard,0,Southern California,3
460,UC Irvine,0,Hawaii,3
461,Ottawa (AZ),1,Jessup,3
462,Morehouse,0,Central St. (OH),3
463,American Int'l,0,St. Thomas Aquinas,3
464,Dominican (NY),3,Roberts Wesleyan,1
465,Dominican (NY),3,Roberts Wesleyan,2
466,Mount Olive,3,Emmanuel (GA),0
467,Barton,3,Erskine,1
468,Belmont Abbey,3,King (TN),1
469,Lees-McRae,1,North Greenville,3
470,Cent. Christian (KS),0,Rockhurst,3
471,Lincoln Memorial,3,Princeton,0
472,Kentucky St.,0,LeMoyne-Owen,3
473,Cent. Christian (KS),0,Rockhurst,3
474,McKendree,3,Queens (NC),1
475,LIU,1,George Mason,3
476,Purdue Fort Wayne,2,Ohio St.,3
477,Missouri S&T,3,Kentucky St.,0
478,Lindenwood,1,Ball St.,3
479,Charleston (WV),2,Saint Francis,3
480,Maryville (MO),3,Roosevelt,0
481,Lewis,3,Quincy,2
482,Menlo,1,UC Santa Cruz,3
483,UC San Diego,3,Stanford,2
484,Missouri S&T,3,Thomas More,0
485,Lincoln Memorial,3,NJIT,0
486,Bethel (IN),3,Edward Waters,0
487,UC Irvine,0,Hawaii,3
488,North Greenville,1,Barry,3
489,Benedict,1,Lees-McRae,3
490,Sacred Heart,0,CSUN,3
491,Jamestown,0,Vanguard,3
492,Saint Francis,1,Queens (NC),3
493,Catawba,3,Emmanuel (GA),0
494,Talladega,3,LeMoyne-Owen,0
495,Ball St.,3,Quincy,1
496,Lees-McRae,1,Tusculum,3
497,Thomas More,3,Central St. (OH),0
498,Edward Waters,3,Benedict,2
499,Saint Francis,3,Erskine,1
500,Lincoln Memorial,3,King (TN),0
501,North Greenville,3,Barry,1
502,McKendree,3,Maryville (MO),1
503,Long Beach St.,3,CSUN,0
504,Sacred Heart,0,UC San Diego,3
505,Olivet Nazarene,0,Vanguard,3
506,Lindenwood,0,Hawaii,3
507,Life (GA),2,Benedict,3
508,Lewis,3,Emmanuel (GA),1
509,Stanford,1,UCLA,3
510,Jessup,1,CUI,3
511,Roosevelt,1,St. John Fisher,3
512,Reinhardt,3,King (TN),2
513,Daemen,3,American Int'l,0
514,Dominican (NY),0,FDU,3
515,Central St. (OH),3,LeMoyne-Owen,0
516,Ohio St.,3,NJIT,0
517,Loyola Chicago,3,Ball St.,1
518,Barton,0,Catawba,3
519,Thomas More,0,Purdue Fort Wayne,3
520,D'Youville,1,Merrimack,3
521,LIU,3,Barry,1
522,Roosevelt,1,LIU,3
523,Mt. St. Joseph,0,Maryville (MO),3
524,Southern California,3,BYU,2
525,Sacred Heart,0,Long Beach St.,3
526,Pepperdine,0,UC Irvine,3
527,UC San Diego,3,UC Santa Barbara,1
528,Stanford,0,UCLA,3
529,Menlo,3,Vanguard,2
530,Jessup,0,CUI,3
531,Lindenwood,1,Hawaii,3
532,Morehouse,0,Fort Valley St.,3
533,Roberts Wesleyan,3,American Int'l,0
534,Roosevelt,0,Barry,3
535,Tusculum,3,King (TN),2
536,Central St. (OH),3,LeMoyne-Owen,0
537,Morehouse,0,Lewis,3
538,Benedict,1,Edward Waters,3
539,St. John Fisher,0,LIU,3
540,D'Youville,3,American Int'l,1
541,Menlo,1,Vanguard,3
542,Daemen,1,Merrimack,3
543,Lewis,3,Fort Valley St.,0
544,Harvard,3,Charleston (WV),2
545,Missouri S&T,1,McKendree,3
546,Thomas More,0,Rockhurst,3
547,Ohio St.,3,NJIT,0
548,St. John Fisher,3,Barry,2
549,Penn St.,0,Grand Canyon,3
550,Southern California,3,BYU,0
551,Sacred Heart,0,UC Irvine,3
552,Roberts Wesleyan,0,Merrimack,3
553,Harvard,1,Charleston (WV),3
554,Thomas More,0,Rockhurst,3
555,Penn St.,0,Grand Canyon,3
556,Thomas More,0,Missouri S&T,3
557,Maryville (MO),3,Central St. (OH),0
558,FDU,3,Dominican (NY),2
559,Fort Valley St.,3,Morehouse,0
560,Viterbo,1,Barry,3
561,Princeton,1,UC San Diego,3
562,NJIT,2,St. Thomas Aquinas,3
563,Maryville (MO),2,Purdue Fort Wayne,3
564,Simpson (CA),0,Jessup,3
565,Belmont Abbey,1,Tusculum,3
566,Maryville (MO),3,Thomas More,0
567,Trinity Christian,0,Roosevelt,3
568,Princeton,1,CSUN,3
569,Thomas More,3,Roberts Wesleyan,2
