Team_norm,Team,Year,BlocksPerSet_Rank,BlocksPerSet_S,BlocksPerSet_W-L,BlocksPerSet_Block Solos,BlocksPerSet_Block Assists,BlocksPerSet_TB,BlocksPerSet_Per Set,TeamAttacksPerSet_Rank,TeamAttacksPerSet_S,TeamAttacksPerSet_W-L,TeamAttacksPerSet_Kills,TeamAttacksPerSet_Errors,TeamAttacksPerSet_Total Attacks,TeamAttacksPerSet_Per Set,DigsPerSet_Rank,DigsPerSet_S,DigsPerSet_W-L,DigsPerSet_Digs,DigsPerSet_Per Set,OpponentHittingPercentage_Rank,OpponentHittingPercentage_S,OpponentHittingPercentage_W-L,OpponentHittingPercentage_Opp Kills,OpponentHittingPercentage_Opp Errors,OpponentHittingPercentage_Opp Attacks,OpponentHittingPercentage_Opp Pct,AcesPerSet_Rank,AcesPerSet_S,AcesPerSet_W-L,AcesPerSet_Aces,AcesPerSet_Per Set,AssistsPerSet_Rank,AssistsPerSet_S,AssistsPerSet_W-L,AssistsPerSet_Assists,AssistsPerSet_Per Set,MatchW-LPctg._Rank,MatchW-LPctg._W,MatchW-LPctg._L,MatchW-LPctg._Pct.,KillsPerSet_Rank,KillsPerSet_S,KillsPerSet_W-L,KillsPerSet_Kills,KillsPerSet_Per Set,HittingPercentage_Rank,HittingPercentage_Kills,HittingPercentage_W-L,HittingPercentage_Errors,HittingPercentage_Total Attacks,HittingPercentage_Pct.,Team_norm
erskine,Erskine (Conference Carolinas),2025,32.0,78.0,8-15,42.0,233.0,158.5,2.032,2.0,78.0,8-15,915,426.0,"2,359",30.24,2.0,78.0,8-15,838,10.74,9.0,78.0,8-15,873,419.0,"2,311",0.196,28.0,78.0,8-15,111.0,1.42,31.0,78.0,8-15,855,10.96,50.0,8.0,15.0,0.348,30.0,78.0,8-15,915,11.73,47.0,915,8-15,426.0,"2,359",0.207,erskine
fdu,FDU (NEC),2025,42.0,72.0,8-11,44.0,187.0,137.5,1.91,31.0,72.0,8-11,780,420.0,"1,935",26.88,31.0,72.0,8-11,623,8.65,21.0,72.0,8-11,798,356.0,"1,918",0.23,46.0,72.0,8-11,88.0,1.22,44.0,72.0,8-11,732,10.17,44.0,8.0,11.0,0.421,48.0,72.0,8-11,780,10.83,,,,,,,fdu
fort valley st,Fort Valley St. (SIAC),2025,48.0,71.0,13-9,33.0,194.0,130.0,1.831,,,,,,,,30.0,71.0,13-9,617,8.69,8.0,71.0,13-9,718,360.0,"1,839",0.195,11.0,71.0,13-9,119.0,1.68,,,,,,22.0,13.0,9.0,0.591,44.0,71.0,13-9,786,11.07,23.0,786,13-9,299.0,"1,772",0.275,fort valley st
george mason,George Mason (EIVA),2025,22.0,82.0,13-10,83.0,197.0,181.5,2.213,38.0,82.0,13-10,929,378.0,"2,174",26.51,,,,,,37.0,82.0,13-10,970,406.0,"2,190",0.258,27.0,82.0,13-10,118.0,1.44,38.0,82.0,13-10,869,10.6,26.0,13.0,10.0,0.565,38.0,82.0,13-10,929,11.33,32.0,929,13-10,378.0,"2,174",0.253,george mason
grand canyon,Grand Canyon (MPSF),2025,18.0,88.0,15-9,40.0,329.0,204.5,2.324,,,,,,,,34.0,88.0,15-9,753,8.56,40.0,88.0,15-9,"1,084",438.0,"2,493",0.259,39.0,88.0,15-9,112.0,1.27,34.0,88.0,15-9,946,10.75,20.0,15.0,9.0,0.625,31.0,88.0,15-9,"1,030",11.7,13.0,"1,030",15-9,339.0,"2,255",0.306,grand canyon
harvard,Harvard (EIVA),2025,26.0,68.0,9-10,41.0,208.0,145.0,2.132,41.0,68.0,9-10,725,325.0,"1,797",26.43,47.0,68.0,9-10,553,8.13,26.0,68.0,9-10,768,336.0,"1,805",0.239,21.0,68.0,9-10,102.0,1.5,,,,,,35.0,9.0,10.0,0.474,,,,,,44.0,725,9-10,325.0,"1,797",0.223,harvard
hawaii,Hawaii (Big West),2025,12.0,90.0,22-3,35.0,361.0,215.5,2.394,44.0,90.0,22-3,"1,216",376.0,"2,368",26.31,,,,,,32.0,90.0,22-3,"1,019",435.0,"2,354",0.248,6.0,90.0,22-3,167.0,1.86,2.0,90.0,22-3,"1,131",12.57,4.0,22.0,3.0,0.88,2.0,90.0,22-3,"1,216",13.51,5.0,"1,216",22-3,376.0,"2,368",0.355,hawaii
liu,LIU (NEC),2025,6.0,85.0,17-5,39.0,340.0,209.0,2.459,13.0,85.0,17-5,"1,064",400.0,"2,392",28.14,7.0,85.0,17-5,832,9.79,6.0,85.0,17-5,935,464.0,"2,431",0.194,20.0,85.0,17-5,129.0,1.52,13.0,85.0,17-5,991,11.66,8.0,17.0,5.0,0.773,10.0,85.0,17-5,"1,064",12.52,21.0,"1,064",17-5,400.0,"2,392",0.278,liu
lewis,Lewis (MIVA),2025,23.0,111.0,20-8,40.0,411.0,245.5,2.212,39.0,111.0,20-8,"1,375",407.0,"2,937",26.46,15.0,111.0,20-8,"1,029",9.27,29.0,111.0,20-8,"1,296",530.0,"3,128",0.245,17.0,111.0,20-8,177.0,1.59,19.0,111.0,20-8,"1,259",11.34,10.0,20.0,8.0,0.714,18.0,111.0,20-8,"1,375",12.39,8.0,"1,375",20-8,407.0,"2,937",0.33,lewis
lincoln memorial,Lincoln Memorial (DI Independent),2025,7.0,70.0,19-1,51.0,240.0,171.0,2.443,49.0,70.0,19-1,852,275.0,"1,826",26.09,14.0,70.0,19-1,658,9.4,1.0,70.0,19-1,715,399.0,"1,955",0.162,18.0,70.0,19-1,111.0,1.59,25.0,70.0,19-1,782,11.17,2.0,19.0,1.0,0.95,23.0,70.0,19-1,852,12.17,12.0,852,19-1,275.0,"1,826",0.316,lincoln memorial
lindenwood,Lindenwood (MIVA),2025,,,,,,,,43.0,83.0,8-14,"1,046",406.0,"2,185",26.33,,,,,,,,,,,,,19.0,83.0,8-14,129.0,1.55,8.0,83.0,8-14,981,11.82,47.0,8.0,14.0,0.364,9.0,83.0,8-14,"1,046",12.6,16.0,"1,046",8-14,406.0,"2,185",0.293,lindenwood
long beach st,Long Beach St. (Big West),2025,2.0,78.0,23-1,27.0,366.0,210.0,2.692,,,,,,,,,,,,,5.0,78.0,23-1,725,373.0,"1,828",0.193,1.0,78.0,23-1,186.0,2.38,6.0,78.0,23-1,942,12.08,1.0,23.0,1.0,0.958,3.0,78.0,23-1,"1,032",13.23,1.0,"1,032",23-1,264.0,"1,921",0.4,long beach st
loyola chicago,Loyola Chicago (MIVA),2025,3.0,85.0,21-2,49.0,344.0,221.0,2.6,37.0,85.0,21-2,"1,115",289.0,"2,260",26.59,39.0,85.0,21-2,709,8.34,12.0,85.0,21-2,902,432.0,"2,218",0.212,7.0,85.0,21-2,153.0,1.8,3.0,85.0,21-2,"1,042",12.26,3.0,21.0,2.0,0.913,4.0,85.0,21-2,"1,115",13.12,2.0,"1,115",21-2,289.0,"2,260",0.365,loyola chicago
maryville,Maryville (MO) (DI Independent),2025,34.0,84.0,16-8,50.0,233.0,166.5,1.982,18.0,84.0,16-8,"1,022",404.0,"2,326",27.69,13.0,84.0,16-8,790,9.4,24.0,84.0,16-8,939,394.0,"2,293",0.238,5.0,84.0,16-8,156.0,1.86,21.0,84.0,16-8,947,11.27,16.0,16.0,8.0,0.667,24.0,84.0,16-8,"1,022",12.17,27.0,"1,022",16-8,404.0,"2,326",0.266,maryville
mckendree,McKendree (MIVA),2025,33.0,97.0,17-7,36.0,322.0,197.0,2.031,5.0,97.0,17-7,"1,227",404.0,"2,858",29.46,1.0,97.0,17-7,"1,047",10.79,36.0,97.0,17-7,"1,235",471.0,"2,979",0.256,,,,,,7.0,97.0,17-7,"1,157",11.93,11.0,17.0,7.0,0.708,8.0,97.0,17-7,"1,227",12.65,17.0,"1,227",17-7,404.0,"2,858",0.288,mckendree
menlo,Menlo (MPSF),2025,41.0,74.0,9-12,39.0,206.0,142.0,1.919,27.0,74.0,9-12,843,321.0,"2,003",27.07,35.0,74.0,9-12,631,8.53,,,,,,,,14.0,74.0,9-12,121.0,1.64,33.0,74.0,9-12,796,10.76,41.0,9.0,12.0,0.429,37.0,74.0,9-12,843,11.39,28.0,843,9-12,321.0,"2,003",0.261,menlo
merrimack,Merrimack (DI Independent),2025,45.0,67.0,13-6,20.0,208.0,124.0,1.851,26.0,67.0,13-6,805,303.0,"1,824",27.22,12.0,67.0,13-6,635,9.48,14.0,67.0,13-6,653,281.0,"1,723",0.216,2.0,67.0,13-6,141.0,2.1,27.0,67.0,13-6,748,11.16,14.0,13.0,6.0,0.684,25.0,67.0,13-6,805,12.01,22.0,805,13-6,303.0,"1,824",0.275,merrimack
missouri s&t,Missouri S&T (DI Independent),2025,31.0,78.0,10-13,56.0,209.0,160.5,2.058,12.0,78.0,10-13,891,350.0,"2,202",28.23,11.0,78.0,10-13,743,9.53,33.0,78.0,10-13,961,395.0,"2,255",0.251,36.0,78.0,10-13,102.0,1.31,36.0,78.0,10-13,829,10.63,39.0,10.0,13.0,0.435,36.0,78.0,10-13,891,11.42,38.0,891,10-13,350.0,"2,202",0.246,missouri s&t
mount olive,Mount Olive (Conference Carolinas),2025,21.0,69.0,18-3,41.0,227.0,154.5,2.239,20.0,69.0,18-3,897,275.0,"1,910",27.68,5.0,69.0,18-3,703,10.19,2.0,69.0,18-3,756,386.0,"1,994",0.186,23.0,69.0,18-3,101.0,1.46,9.0,69.0,18-3,811,11.75,6.0,18.0,3.0,0.857,5.0,69.0,18-3,897,13.0,9.0,897,18-3,275.0,"1,910",0.326,mount olive
njit,NJIT (EIVA),2025,38.0,80.0,10-12,36.0,239.0,155.5,1.944,42.0,80.0,10-12,934,411.0,"2,108",26.35,,,,,,41.0,80.0,10-12,931,383.0,"2,098",0.261,,,,,,30.0,80.0,10-12,878,10.98,36.0,10.0,12.0,0.455,32.0,80.0,10-12,934,11.68,37.0,934,10-12,411.0,"2,108",0.248,njit
north greenville,North Greenville (Conference Carolinas),2025,,,,,,,,3.0,79.0,10-11,980,461.0,"2,370",30.0,8.0,79.0,10-11,773,9.78,15.0,79.0,10-11,857,377.0,"2,177",0.22,41.0,79.0,10-11,100.0,1.27,14.0,79.0,10-11,916,11.59,34.0,10.0,11.0,0.476,17.0,79.0,10-11,980,12.41,45.0,980,10-11,461.0,"2,370",0.219,north greenville
ohio st,Ohio St. (MIVA),2025,,,,,,,,32.0,92.0,14-10,"1,145",434.0,"2,471",26.86,41.0,92.0,14-10,761,8.27,,,,,,,,12.0,92.0,14-10,154.0,1.67,11.0,92.0,14-10,"1,076",11.7,24.0,14.0,10.0,0.583,14.0,92.0,14-10,"1,145",12.45,18.0,"1,145",14-10,434.0,"2,471",0.288,ohio st
penn st,Penn St. (EIVA),2025,8.0,75.0,8-14,40.0,284.0,182.0,2.427,,,,,,,,,,,,,,,,,,,,48.0,75.0,8-14,91.0,1.21,42.0,75.0,8-14,779,10.39,47.0,8.0,14.0,0.364,43.0,75.0,8-14,833,11.11,43.0,833,8-14,387.0,"1,930",0.231,penn st
pepperdine,Pepperdine (MPSF),2025,36.0,78.0,15-7,26.0,256.0,154.0,1.974,,,,,,,,43.0,78.0,15-7,642,8.23,30.0,78.0,15-7,869,362.0,"2,052",0.247,10.0,78.0,15-7,133.0,1.71,5.0,78.0,15-7,944,12.1,15.0,15.0,7.0,0.682,6.0,78.0,15-7,"1,001",12.83,6.0,"1,001",15-7,298.0,"2,001",0.351,pepperdine
princeton,Princeton (EIVA),2025,5.0,73.0,11-9,43.0,283.0,184.5,2.527,,,,,,,,50.0,73.0,11-9,583,7.99,13.0,73.0,11-9,792,379.0,"1,917",0.215,29.0,73.0,11-9,102.0,1.4,35.0,73.0,11-9,784,10.74,28.0,11.0,9.0,0.55,34.0,73.0,11-9,838,11.48,20.0,838,11-9,330.0,"1,824",0.279,princeton
purdue fort wayne,Purdue Fort Wayne (MIVA),2025,29.0,88.0,11-12,53.0,262.0,184.0,2.091,47.0,88.0,11-12,"1,035",437.0,"2,298",26.11,,,,,,,,,,,,,30.0,88.0,11-12,122.0,1.39,29.0,88.0,11-12,968,11.0,32.0,11.0,12.0,0.478,29.0,88.0,11-12,"1,035",11.76,30.0,"1,035",11-12,437.0,"2,298",0.26,purdue fort wayne
queens,Queens (NC) (MIVA),2025,30.0,101.0,10-17,68.0,285.0,210.5,2.084,22.0,101.0,10-17,"1,140",442.0,"2,773",27.46,26.0,101.0,10-17,881,8.72,,,,,,,,40.0,101.0,10-17,128.0,1.27,40.0,101.0,10-17,"1,056",10.46,46.0,10.0,17.0,0.37,39.0,101.0,10-17,"1,140",11.29,34.0,"1,140",10-17,442.0,"2,773",0.252,queens
rockhurst,Rockhurst (DI Independent),2025,46.0,100.0,18-10,78.0,213.0,184.5,1.845,30.0,100.0,18-10,"1,247",454.0,"2,693",26.93,20.0,100.0,18-10,912,9.12,7.0,100.0,18-10,"1,014",509.0,"2,606",0.194,8.0,100.0,18-10,172.0,1.72,10.0,100.0,18-10,"1,173",11.73,18.0,18.0,10.0,0.643,13.0,100.0,18-10,"1,247",12.47,14.0,"1,247",18-10,454.0,"2,693",0.294,rockhurst
saint francis,Saint Francis (NEC),2025,50.0,79.0,10-12,23.0,235.0,140.5,1.778,23.0,79.0,10-12,970,377.0,"2,168",27.44,,,,,,35.0,79.0,10-12,806,325.0,"1,886",0.255,15.0,79.0,10-12,129.0,1.63,20.0,79.0,10-12,895,11.33,36.0,10.0,12.0,0.455,20.0,79.0,10-12,970,12.28,24.0,970,10-12,377.0,"2,168",0.274,saint francis
southern california,Southern California (MPSF),2025,1.0,79.0,19-3,28.0,386.0,221.0,2.797,25.0,79.0,19-3,"1,069",285.0,"2,151",27.23,18.0,79.0,19-3,726,9.19,16.0,79.0,19-3,938,435.0,"2,278",0.221,,,,,,1.0,79.0,19-3,995,12.59,5.0,19.0,3.0,0.864,1.0,79.0,19-3,"1,069",13.53,3.0,"1,069",19-3,285.0,"2,151",0.364,southern california
st thomas aquinas,St. Thomas Aquinas (ECC),2025,19.0,75.0,13-9,45.0,252.0,171.0,2.28,33.0,75.0,13-9,837,359.0,"2,009",26.79,16.0,75.0,13-9,690,9.2,11.0,75.0,13-9,847,413.0,"2,116",0.205,,,,,,39.0,75.0,13-9,785,10.47,22.0,13.0,9.0,0.591,42.0,75.0,13-9,837,11.16,41.0,837,13-9,359.0,"2,009",0.238,st thomas aquinas
stanford,Stanford (MPSF),2025,35.0,76.0,9-12,20.0,261.0,150.5,1.98,36.0,76.0,9-12,902,353.0,"2,027",26.67,,,,,,46.0,76.0,9-12,903,360.0,"2,034",0.267,38.0,76.0,9-12,97.0,1.28,22.0,76.0,9-12,854,11.24,41.0,9.0,12.0,0.429,28.0,76.0,9-12,902,11.87,25.0,902,9-12,353.0,"2,027",0.271,stanford
thomas more,Thomas More (DI Independent),2025,24.0,63.0,7-11,65.0,141.0,135.5,2.151,19.0,63.0,7-11,671,350.0,"1,744",27.68,22.0,63.0,7-11,568,9.02,27.0,63.0,7-11,768,340.0,"1,783",0.24,43.0,63.0,7-11,78.0,1.24,49.0,63.0,7-11,631,10.02,45.0,7.0,11.0,0.389,,,,,,,,,,,,thomas more
tusculum,Tusculum (DI Independent),2025,44.0,91.0,14-11,72.0,199.0,171.5,1.885,50.0,91.0,14-11,"1,020",431.0,"2,367",26.01,29.0,91.0,14-11,791,8.69,31.0,91.0,14-11,"1,056",441.0,"2,484",0.248,42.0,91.0,14-11,114.0,1.25,41.0,91.0,14-11,948,10.42,27.0,14.0,11.0,0.56,41.0,91.0,14-11,"1,020",11.21,36.0,"1,020",14-11,431.0,"2,367",0.249,tusculum
uc irvine,UC Irvine (Big West),2025,20.0,74.0,16-6,38.0,259.0,167.5,2.264,46.0,74.0,16-6,924,272.0,"1,937",26.18,40.0,74.0,16-6,613,8.28,42.0,74.0,16-6,878,353.0,"1,991",0.264,3.0,74.0,16-6,153.0,2.07,12.0,74.0,16-6,865,11.69,9.0,16.0,6.0,0.727,11.0,74.0,16-6,924,12.49,7.0,924,16-6,272.0,"1,937",0.337,uc irvine
uc san diego,UC San Diego (Big West),2025,27.0,88.0,17-7,27.0,319.0,186.5,2.119,,,,,,,,45.0,88.0,17-7,718,8.16,25.0,88.0,17-7,981,428.0,"2,315",0.239,13.0,88.0,17-7,145.0,1.65,17.0,88.0,17-7,"1,010",11.48,11.0,17.0,7.0,0.708,19.0,88.0,17-7,"1,082",12.3,11.0,"1,082",17-7,353.0,"2,283",0.319,uc san diego
uc santa barbara,UC Santa Barbara (Big West),2025,49.0,84.0,11-12,25.0,254.0,152.0,1.81,24.0,84.0,11-12,"1,045",428.0,"2,295",27.32,49.0,84.0,11-12,671,7.99,47.0,84.0,11-12,916,343.0,"2,118",0.271,43.0,84.0,11-12,104.0,1.24,18.0,84.0,11-12,961,11.44,32.0,11.0,12.0,0.478,15.0,84.0,11-12,"1,045",12.44,26.0,"1,045",11-12,428.0,"2,295",0.269,uc santa barbara
ucla,UCLA (MPSF),2025,11.0,76.0,17-4,26.0,314.0,183.0,2.408,,,,,,,,,,,,,17.0,76.0,17-4,741,350.0,"1,764",0.222,4.0,76.0,17-4,148.0,1.95,15.0,76.0,17-4,877,11.54,7.0,17.0,4.0,0.81,16.0,76.0,17-4,944,12.42,4.0,944,17-4,278.0,"1,855",0.359,ucla
vanguard,Vanguard  (MPSF),2025,,,,,,,,29.0,85.0,8-15,933,378.0,"2,295",27.0,36.0,85.0,8-15,720,8.47,,,,,,,,24.0,85.0,8-15,124.0,1.46,46.0,85.0,8-15,857,10.08,50.0,8.0,15.0,0.348,45.0,85.0,8-15,933,10.98,39.0,933,8-15,378.0,"2,295",0.242,vanguard
