Rank,Team,S,W-L,Kills,Per Set
1,Purdue Fort Wayne (MIVA),6,2-1,89,14.83
2,Ball St. (MIVA),6,2-0,78,13.00
3,Belmont Abbey (Conference Carolinas),9,3-0,115,12.78
4,Long Beach St. (Big West),3,1-0,38,12.67
4,Southern California (MPSF),15,4-0,190,12.67
6,UC San Diego (Big West),7,2-0,88,12.57
7,Grand Canyon (MPSF),14,2-2,168,12.00
8,McKendree (MIVA),8,0-2,95,11.88
9,Princeton (EIVA),6,0-2,70,11.67
10,Emmanuel (GA) (Conference Carolinas),5,1-0,58,11.60
11,NJIT (EIVA),8,0-2,92,11.50
12,Ohio St. (MIVA),9,3-0,102,11.33
13,George Mason (EIVA),8,1-1,90,11.25
13,UC Santa Barbara (Big West),12,1-2,135,11.25
15,Mount Olive (Conference Carolinas),5,1-0,54,10.80
16,North Greenville (Conference Carolinas),4,1-0,41,10.25
17,Harvard (EIVA),10,0-3,102,10.20
18,Lees-McRae (Conference Carolinas),3,0-1,30,10.00
19,BYU (MPSF),6,0-2,59,9.83
20,Saint Francis (EIVA),12,1-3,111,9.25
21,Lindenwood (MIVA),9,0-3,83,9.22
22,LIU (DI Independent),9,0-3,79,8.78
23,Erskine (Conference Carolinas),14,0-4,122,8.71
24,Tusculum (DI Independent),7,0-2,58,8.29
