Rank,Team,S,W-L,Opp Kills,Opp Errors,Opp Attacks,Opp Pct
1,Pepperdine (MPSF),3,1-0,20,23,82,-0.037
2,Stanford (MPSF),6,2-0,47,41,182,0.033
3,UCLA (MPSF),6,2-0,47,38,141,0.064
4,UC Irvine (Big West),3,1-0,29,16,80,0.163
5,Lewis (MIVA),7,1-1,62,34,161,0.174
6,Hawaii (Big West),6,2-0,56,28,136,0.206
7,BYU (MPSF),8,2-0,84,39,209,0.215
8,Southern California (MPSF),5,1-0,52,26,120,0.217
9,North Greenville (Conference Carolinas),7,1-1,84,36,185,0.259
10,Princeton (EIVA),8,0-2,85,31,207,0.261
11,Ohio St. (MIVA),3,1-0,31,12,71,0.268
12,George Mason (EIVA),3,0-1,42,16,87,0.299
13,Loyola Chicago (MVC),8,1-1,106,40,218,0.303
14,Urbana (DI Independent),4,0-1,48,14,94,0.362
15,Charleston (WV) (EIVA),6,0-2,69,22,124,0.379
16,Daemen (DI Independent),3,0-1,23,5,47,0.383
17,King (TN) (Conference Carolinas),7,0-2,85,21,156,0.410
