Rank,Team,S,W-L,Digs,Per Set
1,Pepperdine (MPSF),3,1-0,31,10.33
1,UC Irvine (Big West),3,1-0,31,10.33
3,Stanford (MPSF),6,2-0,61,10.17
4,Princeton (EIVA),8,0-2,69,8.63
4,BYU (MPSF),8,2-0,69,8.63
6,Ohio St. (MIVA),3,1-0,24,8.00
6,George Mason (EIVA),3,0-1,24,8.00
8,Southern California (MPSF),5,1-0,38,7.60
9,Lewis (MIVA),7,1-1,51,7.29
9,North Greenville (Conference Carolinas),7,1-1,51,7.29
11,UCLA (MPSF),6,2-0,43,7.17
12,Loyola Chicago (MVC),8,1-1,55,6.88
13,Hawaii (Big West),6,2-0,41,6.83
14,Urbana (DI Independent),4,0-1,25,6.25
15,King (TN) (Conference Carolinas),7,0-2,42,6.00
16,Daemen (DI Independent),3,0-1,17,5.67
17,Charleston (WV) (EIVA),6,0-2,26,4.33
