Rank,Team,S,W-L,Kills,Errors,Total Attacks,Per Set
1,Purdue Fort Wayne (MIVA),6,2-0,88,24,184,30.67
2,UC Irvine (Big West),9,2-0,114,48,266,29.56
3,Penn St. (EIVA),4,0-1,48,20,118,29.50
4,Loyola Chicago (MIVA),8,1-1,108,29,229,28.63
5,CUI (MPSF),10,0-3,103,55,280,28.00
6,Lewis (MIVA),7,1-1,87,44,193,27.57
7,Long Beach St. (Big West),9,3-0,138,38,247,27.44
8,North Greenville (Conference Carolinas),6,0-2,52,34,154,25.67
9,CSUN (Big West),14,2-1,154,76,355,25.36
10,NJIT (Independent),8,0-2,65,41,201,25.13
11,Queens (NC) (DI Independent),3,0-1,9,27,75,25.00
12,Ohio St. (MIVA),7,2-0,91,20,174,24.86
13,UC Santa Barbara (Big West),11,3-0,141,40,273,24.82
14,Ball St. (MIVA),8,2-0,96,34,198,24.75
15,Pepperdine (MPSF),7,2-0,88,20,173,24.71
16,Princeton (EIVA),13,0-4,133,54,320,24.62
17,Grand Canyon (MPSF),11,1-2,104,56,268,24.36
18,George Mason (EIVA),7,2-0,79,30,166,23.71
19,UC San Diego (Big West),7,0-2,63,40,163,23.29
20,Harvard (EIVA),13,0-3,111,48,278,21.38
21,UCLA (MPSF),7,2-0,81,26,148,21.14
22,Stanford (MPSF),6,2-0,76,18,120,20.00
22,Charleston (WV) (EIVA),3,0-1,20,12,60,20.00
24,Barton (Conference Carolinas),4,0-1,36,17,74,18.50
