Rank,Team,S,W-L,Aces,Per Set
1,UCLA (MPSF),9,3-0,32,3.56
2,St. Francis Brooklyn (NEC),9,3-0,26,2.89
3,Daemen (NEC),4,1-0,11,2.75
3,FDU (NEC),4,1-0,11,2.75
5,CUI (MPSF),3,1-0,8,2.67
5,LIU (NEC),3,1-0,8,2.67
7,Loyola Chicago (MIVA),3,1-0,7,2.33
7,Pepperdine (MPSF),3,1-0,7,2.33
9,UC Irvine (Big West),7,2-0,16,2.29
10,Tusculum (DI Independent),7,0-2,14,2.00
11,CSUN (Big West),9,1-2,17,1.89
12,Penn St. (EIVA),8,2-0,15,1.88
13,NJIT (EIVA),7,1-1,13,1.86
13,Ohio St. (MIVA),7,1-1,13,1.86
15,Belmont Abbey (Conference Carolinas),13,1-3,24,1.85
16,BYU (MPSF),7,2-0,12,1.71
16,Princeton (EIVA),7,1-1,12,1.71
18,Stanford (MPSF),9,2-0,15,1.67
19,Lewis (MIVA),11,1-2,17,1.55
20,American Int'l (DI Independent),6,0-2,9,1.50
21,Purdue Fort Wayne (MIVA),6,1-1,8,1.33
22,Emmanuel (GA) (Conference Carolinas),4,1-0,5,1.25
22,Southern California (MPSF),12,2-1,15,1.25
24,Central St. (OH) (SIAC),7,0-2,8,1.14
24,Grand Canyon (MPSF),7,2-0,8,1.14
26,Lincoln Memorial (DI Independent),16,1-3,18,1.13
27,UC San Diego (Big West),13,1-2,14,1.08
28,Erskine (Conference Carolinas),3,1-0,3,1.00
28,McKendree (MIVA),10,1-2,10,1.00
30,Lindenwood (MIVA),7,0-2,6,0.86
31,Saint Francis (NEC),9,0-2,7,0.78
32,King (TN) (Conference Carolinas),3,0-1,2,0.67
32,UC Santa Barbara (Big West),12,1-2,8,0.67
