Rank,Team,S,W-L,Opp Kills,Opp Errors,Opp Attacks,Opp Pct
1,Ohio St. (MIVA),9,3-0,57,49,200,0.040
2,Belmont Abbey (Conference Carolinas),9,3-0,76,52,221,0.109
3,Purdue Fort Wayne (MIVA),6,2-1,46,30,140,0.114
4,North Greenville (Conference Carolinas),4,1-0,36,22,101,0.139
5,George Mason (EIVA),8,1-1,72,40,212,0.151
6,Ball St. (MIVA),6,2-0,49,27,142,0.155
7,Lees-McRae (Conference Carolinas),3,0-1,30,15,89,0.169
8,UC San Diego (Big West),7,2-0,71,35,190,0.189
9,Emmanuel (GA) (Conference Carolinas),5,1-0,50,20,140,0.214
10,Southern California (MPSF),15,4-0,160,70,390,0.231
11,Mount Olive (Conference Carolinas),5,1-0,64,29,142,0.246
12,Saint Francis (EIVA),12,1-3,134,58,305,0.249
13,Long Beach St. (Big West),3,1-0,30,13,67,0.254
14,Grand Canyon (MPSF),14,2-2,179,64,407,0.283
15,Harvard (EIVA),10,0-3,120,46,252,0.294
16,Princeton (EIVA),6,0-2,79,29,168,0.298
17,McKendree (MIVA),8,0-2,113,31,259,0.317
18,LIU (DI Independent),9,0-3,118,42,237,0.321
19,Tusculum (DI Independent),7,0-2,72,23,152,0.322
20,UC Santa Barbara (Big West),12,1-2,134,38,291,0.330
21,Erskine (Conference Carolinas),14,0-4,151,43,320,0.338
22,NJIT (EIVA),8,0-2,95,29,182,0.363
23,Lindenwood (MIVA),9,0-3,116,34,215,0.381
24,BYU (MPSF),6,0-2,69,21,125,0.384
