Rank,Team,S,W-L,Digs,Per Set
1,Emmanuel (GA) (Conference Carolinas),5,1-0,61,12.20
2,McKendree (MIVA),8,0-2,95,11.88
3,Lees-McRae (Conference Carolinas),3,0-1,34,11.33
4,UC San Diego (Big West),7,2-0,74,10.57
5,Grand Canyon (MPSF),14,2-2,134,9.57
6,Ball St. (MIVA),6,2-0,56,9.33
6,Belmont Abbey (Conference Carolinas),9,3-0,84,9.33
8,George Mason (EIVA),8,1-1,74,9.25
9,Purdue Fort Wayne (MIVA),6,2-1,55,9.17
10,Southern California (MPSF),15,4-0,136,9.07
11,North Greenville (Conference Carolinas),4,1-0,34,8.50
11,Saint Francis (EIVA),12,1-3,102,8.50
13,Mount Olive (Conference Carolinas),5,1-0,41,8.20
14,UC Santa Barbara (Big West),12,1-2,95,7.92
15,Ohio St. (MIVA),9,3-0,71,7.89
16,Erskine (Conference Carolinas),14,0-4,106,7.57
17,Princeton (EIVA),6,0-2,44,7.33
18,Tusculum (DI Independent),7,0-2,51,7.29
19,Harvard (EIVA),10,0-3,72,7.20
20,Long Beach St. (Big West),3,1-0,20,6.67
21,LIU (DI Independent),9,0-3,57,6.33
22,NJIT (EIVA),8,0-2,45,5.63
23,Lindenwood (MIVA),9,0-3,48,5.33
24,BYU (MPSF),6,0-2,31,5.17
