Rank,Team,S,W-L,Block Solos,Block Assists,TB,Per Set
1,Stanford (MPSF),6,2-0,5,42,26.0,4.333
2,Pepperdine (MPSF),3,1-0,0,23,11.5,3.833
3,UC Irvine (Big West),3,1-0,2,16,10.0,3.333
4,George Mason (EIVA),3,0-1,0,16,8.0,2.667
5,BYU (MPSF),8,2-0,1,40,24.0,2.625
6,Hawaii (Big West),6,2-0,4,20,15.0,2.333
7,Southern California (MPSF),5,1-0,2,18,13.0,2.200
8,Ohio St. (MIVA),3,1-0,0,12,6.0,2.000
8,North Greenville (Conference Carolinas),7,1-1,6,16,16.0,2.000
10,Princeton (EIVA),8,0-2,2,27,16.5,1.938
11,UCLA (MPSF),6,2-0,2,16,10.0,1.667
12,Loyola Chicago (MVC),8,1-1,2,22,13.0,1.625
13,Charleston (WV) (EIVA),6,0-2,2,14,12.0,1.500
13,Urbana (DI Independent),4,0-1,4,4,8.0,1.500
15,King (TN) (Conference Carolinas),7,0-2,2,16,13.0,1.429
15,Lewis (MIVA),7,1-1,1,18,14.0,1.429
17,Daemen (DI Independent),3,0-1,1,0,1.0,0.333
