Rank,Team,S,W-L,Kills,Errors,Total Attacks,Per Set
1,Emmanuel (GA) (Conference Carolinas),5,1-0,58,32,163,32.60
2,McKendree (MIVA),8,0-2,95,43,257,32.13
3,Lees-McRae (Conference Carolinas),3,0-1,30,19,94,31.33
4,UC San Diego (Big West),7,2-0,88,35,211,30.14
5,Mount Olive (Conference Carolinas),5,1-0,54,17,143,28.60
6,Grand Canyon (MPSF),14,2-2,168,59,395,28.21
7,Princeton (EIVA),6,0-2,70,31,167,27.83
8,NJIT (EIVA),8,0-2,92,42,218,27.25
9,Purdue Fort Wayne (MIVA),6,2-1,89,24,158,26.33
10,LIU (DI Independent),9,0-3,79,57,236,26.22
11,Saint Francis (EIVA),12,1-3,111,63,312,26.00
11,Southern California (MPSF),15,4-0,190,57,390,26.00
13,George Mason (EIVA),8,1-1,90,43,199,24.88
14,Harvard (EIVA),10,0-3,102,50,246,24.60
15,Belmont Abbey (Conference Carolinas),9,3-0,115,42,221,24.56
16,Tusculum (DI Independent),7,0-2,58,39,171,24.43
17,UC Santa Barbara (Big West),12,1-2,135,44,290,24.17
18,Lindenwood (MIVA),9,0-3,83,50,216,24.00
19,Erskine (Conference Carolinas),14,0-4,122,79,335,23.93
20,North Greenville (Conference Carolinas),4,1-0,41,16,93,23.25
21,BYU (MPSF),6,0-2,59,30,139,23.17
22,Ball St. (MIVA),6,2-0,78,14,138,23.00
23,Ohio St. (MIVA),9,3-0,102,37,204,22.67
24,Long Beach St. (Big West),3,1-0,38,12,63,21.00
