Rank,Team,S,W-L,Assists,Per Set
1,Long Beach St. (Big West),9,3-0,129,14.33
2,Purdue Fort Wayne (MIVA),6,2-0,85,14.17
3,Ohio St. (MIVA),7,2-0,89,12.71
4,Loyola Chicago (MIVA),8,1-1,101,12.63
5,Pepperdine (MPSF),7,2-0,85,12.14
6,UC Santa Barbara (Big West),11,3-0,131,11.91
7,UC Irvine (Big West),9,2-0,107,11.89
8,Lewis (MIVA),7,1-1,82,11.71
9,Stanford (MPSF),6,2-0,69,11.50
10,Ball St. (MIVA),8,2-0,90,11.25
11,UCLA (MPSF),7,2-0,78,11.14
12,CSUN (Big West),14,2-1,143,10.21
13,Penn St. (EIVA),4,0-1,40,10.00
14,George Mason (EIVA),7,2-0,69,9.86
15,CUI (MPSF),10,0-3,96,9.60
16,Princeton (EIVA),13,0-4,121,9.31
17,Grand Canyon (MPSF),11,1-2,99,9.00
17,Barton (Conference Carolinas),4,0-1,36,9.00
19,UC San Diego (Big West),7,0-2,62,8.86
20,North Greenville (Conference Carolinas),6,0-2,49,8.17
21,Harvard (EIVA),13,0-3,105,8.08
22,NJIT (Independent),8,0-2,63,7.88
23,Charleston (WV) (EIVA),3,0-1,20,6.67
24,Queens (NC) (DI Independent),3,0-1,9,3.00
