Rank,Team,S,W-L,Opp Kills,Opp Errors,Opp Attacks,Opp Pct
1,Quincy (MIVA),9,3-0,69,75,262,-0.023
2,North Greenville (Conference Carolinas),4,1-0,32,26,101,0.059
3,Erskine (Conference Carolinas),11,2-1,94,70,275,0.087
4,McKendree (MIVA),3,1-0,31,22,82,0.110
5,Ohio St. (MIVA),6,1-1,46,25,129,0.163
6,Lewis (MIVA),10,3-0,105,58,258,0.182
7,Loyola Chicago (MIVA),7,2-0,76,39,196,0.189
8,Penn St. (EIVA),6,1-1,61,33,141,0.199
9,Saint Francis (EIVA),18,1-4,176,83,457,0.204
10,Limestone (DI Independent),8,1-1,88,42,223,0.206
11,Belmont Abbey (Conference Carolinas),4,1-0,42,20,101,0.218
12,Queens (NC) (DI Independent),20,1-4,231,110,554,0.218
13,George Mason (EIVA),9,1-1,123,54,293,0.235
14,Lincoln Memorial (DI Independent),13,1-3,153,58,363,0.262
15,Ball St. (MIVA),9,1-1,114,45,259,0.266
16,King (TN) (Conference Carolinas),5,2-0,64,22,132,0.318
17,Alderson Broaddus (DI Independent),3,1-1,33,11,69,0.319
18,Tusculum (DI Independent),7,0-2,83,23,171,0.351
19,Lees-McRae (Conference Carolinas),3,0-1,34,4,53,0.566
