Rank,Team,S,W-L,Aces,Per Set
1,Ball St. (MIVA),6,2-0,24,4.00
2,Long Beach St. (Big West),3,1-0,8,2.67
3,Ohio St. (MIVA),9,3-0,19,2.11
4,North Greenville (Conference Carolinas),4,1-0,8,2.00
5,Emmanuel (GA) (Conference Carolinas),5,1-0,9,1.80
6,UC San Diego (Big West),7,2-0,12,1.71
7,Purdue Fort Wayne (MIVA),6,2-1,10,1.67
7,UC Santa Barbara (Big West),12,1-2,20,1.67
9,George Mason (EIVA),8,1-1,13,1.63
10,Belmont Abbey (Conference Carolinas),9,3-0,14,1.56
11,Southern California (MPSF),15,4-0,21,1.40
12,Grand Canyon (MPSF),14,2-2,19,1.36
13,Lees-McRae (Conference Carolinas),3,0-1,4,1.33
14,NJIT (EIVA),8,0-2,10,1.25
15,LIU (DI Independent),9,0-3,11,1.22
16,Saint Francis (EIVA),12,1-3,14,1.17
17,Lindenwood (MIVA),9,0-3,9,1.00
17,McKendree (MIVA),8,0-2,8,1.00
19,BYU (MPSF),6,0-2,5,0.83
19,Princeton (EIVA),6,0-2,5,0.83
21,Harvard (EIVA),10,0-3,8,0.80
21,Mount Olive (Conference Carolinas),5,1-0,4,0.80
23,Erskine (Conference Carolinas),14,0-4,11,0.79
24,Tusculum (DI Independent),7,0-2,4,0.57
