Rank,Team,S,W-L,Kills,Errors,Total Attacks,Per Set
1,Ball St. (MIVA),9,1-1,123,54,293,32.56
2,Loyola Chicago (MIVA),7,2-0,93,28,211,30.14
3,George Mason (EIVA),9,1-1,114,45,259,28.78
4,Saint Francis (EIVA),18,1-4,200,100,504,28.00
5,Quincy (MIVA),9,3-0,100,39,244,27.11
6,Belmont Abbey (Conference Carolinas),4,1-0,48,17,107,26.75
7,McKendree (MIVA),3,1-0,34,16,80,26.67
8,Erskine (Conference Carolinas),11,2-1,117,50,288,26.18
9,Limestone (DI Independent),8,1-1,88,42,209,26.13
10,Lincoln Memorial (DI Independent),13,1-3,149,68,339,26.08
11,Lewis (MIVA),10,3-0,129,30,258,25.80
12,Queens (NC) (DI Independent),20,1-4,186,85,503,25.15
13,Tusculum (DI Independent),7,0-2,57,44,173,24.71
14,King (TN) (Conference Carolinas),5,2-0,44,23,123,24.60
15,North Greenville (Conference Carolinas),4,1-0,42,14,97,24.25
16,Ohio St. (MIVA),6,1-1,61,33,141,23.50
17,Alderson Broaddus (DI Independent),3,1-1,24,18,65,21.67
18,Penn St. (EIVA),6,1-1,46,25,129,21.50
19,Lees-McRae (Conference Carolinas),3,0-1,22,12,58,19.33
