Rank,Team,S,W-L,Digs,Per Set
1,Pepperdine (MPSF),3,1-0,38,12.67
2,Daemen (NEC),4,1-0,41,10.25
3,FDU (NEC),4,1-0,37,9.25
4,Penn St. (EIVA),8,2-0,73,9.13
5,St. Francis Brooklyn (NEC),9,3-0,82,9.11
6,LIU (NEC),3,1-0,27,9.00
6,Loyola Chicago (MIVA),3,1-0,27,9.00
6,Princeton (EIVA),7,1-1,63,9.00
9,Emmanuel (GA) (Conference Carolinas),4,1-0,35,8.75
10,Grand Canyon (MPSF),7,2-0,60,8.57
10,UC Irvine (Big West),7,2-0,60,8.57
12,Erskine (Conference Carolinas),3,1-0,25,8.33
13,UC Santa Barbara (Big West),12,1-2,97,8.08
14,American Int'l (DI Independent),6,0-2,48,8.00
14,CUI (MPSF),3,1-0,24,8.00
16,Tusculum (DI Independent),7,0-2,54,7.71
17,UC San Diego (Big West),13,1-2,99,7.62
18,Ohio St. (MIVA),7,1-1,53,7.57
19,McKendree (MIVA),10,1-2,75,7.50
20,Belmont Abbey (Conference Carolinas),13,1-3,97,7.46
21,Purdue Fort Wayne (MIVA),6,1-1,44,7.33
22,Southern California (MPSF),12,2-1,85,7.08
23,Central St. (OH) (SIAC),7,0-2,49,7.00
23,Lincoln Memorial (DI Independent),16,1-3,112,7.00
23,Stanford (MPSF),9,2-0,63,7.00
26,Saint Francis (NEC),9,0-2,62,6.89
26,UCLA (MPSF),9,3-0,62,6.89
28,BYU (MPSF),7,2-0,46,6.57
29,Lewis (MIVA),11,1-2,72,6.55
30,King (TN) (Conference Carolinas),3,0-1,19,6.33
31,Lindenwood (MIVA),7,0-2,43,6.14
32,CSUN (Big West),9,1-2,52,5.78
33,NJIT (EIVA),7,1-1,39,5.57
