Rank,Team,Kills,W-L,Errors,Total Attacks,Pct.
1,Ball St. (MIVA),78,2-0,14,138,0.464
2,Long Beach St. (Big West),38,1-0,12,63,0.413
3,Purdue Fort Wayne (MIVA),89,2-1,24,158,0.411
4,Southern California (MPSF),190,4-0,57,390,0.341
5,Belmont Abbey (Conference Carolinas),115,3-0,42,221,0.330
6,Ohio St. (MIVA),102,3-0,37,204,0.319
7,UC Santa Barbara (Big West),135,1-2,44,290,0.314
8,Grand Canyon (MPSF),168,2-2,59,395,0.276
9,North Greenville (Conference Carolinas),41,1-0,16,93,0.269
10,Mount Olive (Conference Carolinas),54,1-0,17,143,0.259
11,UC San Diego (Big West),88,2-0,35,211,0.251
12,George Mason (EIVA),90,1-1,43,199,0.236
13,Princeton (EIVA),70,0-2,31,167,0.234
14,NJIT (EIVA),92,0-2,42,218,0.229
15,Harvard (EIVA),102,0-3,50,246,0.211
16,BYU (MPSF),59,0-2,30,139,0.209
17,McKendree (MIVA),95,0-2,43,257,0.202
18,Emmanuel (GA) (Conference Carolinas),58,1-0,32,163,0.160
19,Saint Francis (EIVA),111,1-3,63,312,0.154
20,Lindenwood (MIVA),83,0-3,50,216,0.153
21,Erskine (Conference Carolinas),122,0-4,79,335,0.128
22,Lees-McRae (Conference Carolinas),30,0-1,19,94,0.117
23,Tusculum (DI Independent),58,0-2,39,171,0.111
24,LIU (DI Independent),79,0-3,57,236,0.093
