Rank,Team,S,W-L,Kills,Per Set
1,Long Beach St. (Big West),9,3-0,138,15.33
2,Purdue Fort Wayne (MIVA),6,2-0,88,14.67
3,Loyola Chicago (MIVA),8,1-1,108,13.50
4,Ohio St. (MIVA),7,2-0,91,13.00
5,UC Santa Barbara (Big West),11,3-0,141,12.82
6,UC Irvine (Big West),9,2-0,114,12.67
6,Stanford (MPSF),6,2-0,76,12.67
8,Pepperdine (MPSF),7,2-0,88,12.57
9,Lewis (MIVA),7,1-1,87,12.43
10,Penn St. (EIVA),4,0-1,48,12.00
10,Ball St. (MIVA),8,2-0,96,12.00
12,UCLA (MPSF),7,2-0,81,11.57
13,George Mason (EIVA),7,2-0,79,11.29
14,CSUN (Big West),14,2-1,154,11.00
15,CUI (MPSF),10,0-3,103,10.30
16,Princeton (EIVA),13,0-4,133,10.23
17,Grand Canyon (MPSF),11,1-2,104,9.45
18,Barton (Conference Carolinas),4,0-1,36,9.00
18,UC San Diego (Big West),7,0-2,63,9.00
20,North Greenville (Conference Carolinas),6,0-2,52,8.67
21,Harvard (EIVA),13,0-3,111,8.54
22,NJIT (Independent),8,0-2,65,8.13
23,Charleston (WV) (EIVA),3,0-1,20,6.67
24,Queens (NC) (DI Independent),3,0-1,9,3.00
