Rank,Team,S,W-L,Kills,Per Set
1,Emmanuel (GA) (Conference Carolinas),4,1-0,58,14.50
2,UC Irvine (Big West),7,2-0,101,14.43
3,LIU (NEC),3,1-0,43,14.33
4,Daemen (NEC),4,1-0,53,13.25
5,Penn St. (EIVA),8,2-0,102,12.75
6,Pepperdine (MPSF),3,1-0,38,12.67
7,Grand Canyon (MPSF),7,2-0,88,12.57
7,Lindenwood (MIVA),7,0-2,88,12.57
9,McKendree (MIVA),10,1-2,124,12.40
10,Stanford (MPSF),9,2-0,111,12.33
11,Lewis (MIVA),11,1-2,133,12.09
12,CUI (MPSF),3,1-0,36,12.00
13,BYU (MPSF),7,2-0,83,11.86
14,St. Francis Brooklyn (NEC),9,3-0,105,11.67
15,FDU (NEC),4,1-0,46,11.50
15,Southern California (MPSF),12,2-1,138,11.50
17,Princeton (EIVA),7,1-1,79,11.29
18,Ohio St. (MIVA),7,1-1,78,11.14
19,Loyola Chicago (MIVA),3,1-0,33,11.00
20,UC Santa Barbara (Big West),12,1-2,131,10.92
21,UCLA (MPSF),9,3-0,97,10.78
22,NJIT (EIVA),7,1-1,75,10.71
23,Erskine (Conference Carolinas),3,1-0,32,10.67
24,Lincoln Memorial (DI Independent),16,1-3,170,10.63
25,Saint Francis (NEC),9,0-2,94,10.44
26,UC San Diego (Big West),13,1-2,134,10.31
27,CSUN (Big West),9,1-2,92,10.22
28,Tusculum (DI Independent),7,0-2,71,10.14
29,Purdue Fort Wayne (MIVA),6,1-1,59,9.83
30,Belmont Abbey (Conference Carolinas),13,1-3,124,9.54
31,King (TN) (Conference Carolinas),3,0-1,27,9.00
32,Central St. (OH) (SIAC),7,0-2,58,8.29
33,American Int'l (DI Independent),6,0-2,49,8.17
