Rank,Team,S,W-L,Block Solos,Block Assists,TB,Per Set
1,Mount Olive (Conference Carolinas),5,1-0,10,10,15.0,3.000
2,UC San Diego (Big West),7,2-0,3,30,18.0,2.571
3,Grand Canyon (MPSF),14,2-2,11,42,32.0,2.286
4,North Greenville (Conference Carolinas),4,1-0,3,12,9.0,2.250
4,Purdue Fort Wayne (MIVA),6,2-1,1,25,13.5,2.250
6,Ohio St. (MIVA),9,3-0,4,31,19.5,2.167
7,Saint Francis (EIVA),12,1-3,6,34,23.0,1.917
8,LIU (DI Independent),9,0-3,7,19,16.5,1.833
9,Belmont Abbey (Conference Carolinas),9,3-0,4,24,16.0,1.778
9,Lindenwood (MIVA),9,0-3,2,28,16.0,1.778
11,NJIT (EIVA),8,0-2,3,20,13.0,1.625
12,Harvard (EIVA),10,0-3,2,27,15.5,1.550
13,Southern California (MPSF),15,4-0,4,38,23.0,1.533
14,McKendree (MIVA),8,0-2,4,16,12.0,1.500
14,Princeton (EIVA),6,0-2,5,8,9.0,1.500
16,George Mason (EIVA),8,1-1,3,16,11.0,1.375
17,Lees-McRae (Conference Carolinas),3,0-1,2,4,4.0,1.333
17,Long Beach St. (Big West),3,1-0,1,6,4.0,1.333
19,UC Santa Barbara (Big West),12,1-2,1,29,15.5,1.292
20,Erskine (Conference Carolinas),14,0-4,4,26,17.0,1.214
21,BYU (MPSF),6,0-2,1,12,7.0,1.167
22,Ball St. (MIVA),6,2-0,0,13,6.5,1.083
23,Emmanuel (GA) (Conference Carolinas),5,1-0,0,10,5.0,1.000
24,Tusculum (DI Independent),7,0-2,3,6,6.0,0.857
