Rank,Team,S,W-L,Assists,Per Set
1,Purdue Fort Wayne (MIVA),6,2-1,87,14.50
2,Southern California (MPSF),15,4-0,184,12.27
3,UC San Diego (Big West),7,2-0,85,12.14
4,Belmont Abbey (Conference Carolinas),9,3-0,108,12.00
5,Long Beach St. (Big West),3,1-0,35,11.67
6,Ball St. (MIVA),6,2-0,68,11.33
7,Grand Canyon (MPSF),14,2-2,158,11.29
8,NJIT (EIVA),8,0-2,89,11.13
9,Emmanuel (GA) (Conference Carolinas),5,1-0,54,10.80
9,Mount Olive (Conference Carolinas),5,1-0,54,10.80
11,Ohio St. (MIVA),9,3-0,97,10.78
12,George Mason (EIVA),8,1-1,86,10.75
12,UC Santa Barbara (Big West),12,1-2,129,10.75
14,Princeton (EIVA),6,0-2,62,10.33
15,McKendree (MIVA),8,0-2,82,10.25
16,Lees-McRae (Conference Carolinas),3,0-1,29,9.67
17,North Greenville (Conference Carolinas),4,1-0,38,9.50
18,Harvard (EIVA),10,0-3,94,9.40
19,BYU (MPSF),6,0-2,54,9.00
20,Saint Francis (EIVA),12,1-3,107,8.92
21,Lindenwood (MIVA),9,0-3,80,8.89
22,Erskine (Conference Carolinas),14,0-4,117,8.36
23,LIU (DI Independent),9,0-3,73,8.11
24,Tusculum (DI Independent),7,0-2,50,7.14
