Rank,Team,S,W-L,Aces,Per Set
1,UCLA (MPSF),6,2-0,20,3.33
2,Lewis (MIVA),7,1-1,19,2.71
3,BYU (MPSF),8,2-0,21,2.63
4,Pepperdine (MPSF),3,1-0,7,2.33
4,UC Irvine (Big West),3,1-0,7,2.33
4,Hawaii (Big West),6,2-0,14,2.33
7,Ohio St. (MIVA),3,1-0,6,2.00
8,Loyola Chicago (MVC),8,1-1,15,1.88
9,North Greenville (Conference Carolinas),7,1-1,11,1.57
10,Southern California (MPSF),5,1-0,7,1.40
11,Princeton (EIVA),8,0-2,10,1.25
12,King (TN) (Conference Carolinas),7,0-2,8,1.14
13,Stanford (MPSF),6,2-0,5,0.83
14,Daemen (DI Independent),3,0-1,2,0.67
14,George Mason (EIVA),3,0-1,2,0.67
16,Urbana (DI Independent),4,0-1,2,0.50
17,Charleston (WV) (EIVA),6,0-2,1,0.17
