Rank,Team,S,W-L,Assists,Per Set
1,Southern California (MPSF),79,19-3,995,12.59
2,Hawaii (Big West),90,22-3,"1,131",12.57
3,Loyola Chicago (MIVA),85,21-2,"1,042",12.26
4,Charleston (WV) (EIVA),91,11-14,"1,106",12.15
5,Pepperdine (MPSF),78,15-7,944,12.10
6,Long Beach St. (Big West),78,23-1,942,12.08
7,McKendree (MIVA),97,17-7,"1,157",11.93
8,Lindenwood (MIVA),83,8-14,981,11.82
9,Mount Olive (Conference Carolinas),69,18-3,811,11.75
10,Rockhurst (DI Independent),100,18-10,"1,173",11.73
11,Ohio St. (MIVA),92,14-10,"1,076",11.70
12,UC Irvine (Big West),74,16-6,865,11.69
13,LIU (NEC),85,17-5,991,11.66
14,North Greenville (Conference Carolinas),79,10-11,916,11.59
15,UCLA (MPSF),76,17-4,877,11.54
16,Ball St. (MIVA),110,17-11,"1,268",11.53
17,UC San Diego (Big West),88,17-7,"1,010",11.48
18,UC Santa Barbara (Big West),84,11-12,961,11.44
19,Lewis (MIVA),111,20-8,"1,259",11.34
20,Saint Francis (NEC),79,10-12,895,11.33
21,Maryville (MO) (DI Independent),84,16-8,947,11.27
22,Stanford (MPSF),76,9-12,854,11.24
23,BYU (MPSF),92,17-7,"1,031",11.21
24,Catawba (DI Independent),77,12-10,861,11.18
25,Lincoln Memorial (DI Independent),70,19-1,782,11.17
26,CSUN (Big West),88,16-8,983,11.17
27,Merrimack (DI Independent),67,13-6,748,11.16
28,Belmont Abbey (Conference Carolinas),75,14-8,835,11.13
29,Purdue Fort Wayne (MIVA),88,11-12,968,11.00
30,NJIT (EIVA),80,10-12,878,10.98
31,Erskine (Conference Carolinas),78,8-15,855,10.96
32,Quincy (MIVA),99,8-17,"1,078",10.89
33,Menlo (MPSF),74,9-12,796,10.76
34,Grand Canyon (MPSF),88,15-9,946,10.75
35,Princeton (EIVA),73,11-9,784,10.74
36,Missouri S&T (DI Independent),78,10-13,829,10.63
37,Daemen (NEC),75,11-10,797,10.63
38,George Mason (EIVA),82,13-10,869,10.60
39,St. Thomas Aquinas (ECC),75,13-9,785,10.47
40,Queens (NC) (MIVA),101,10-17,"1,056",10.46
41,Tusculum (DI Independent),91,14-11,948,10.42
42,Penn St. (EIVA),75,8-14,779,10.39
43,CUI (MPSF),93,9-16,954,10.26
44,FDU (NEC),72,8-11,732,10.17
45,Roosevelt  (DI Independent),75,5-16,760,10.13
46,Vanguard  (MPSF),85,8-15,857,10.08
47,Edward Waters (SIAC),77,9-12,774,10.05
48,Barton (Conference Carolinas),89,15-11,893,10.03
49,Thomas More (DI Independent),63,7-11,631,10.02
50,Roberts Wesleyan (ECC),97,9-17,970,10.00
