Rank,Team,S,W-L,Kills,Per Set
1,Ohio St. (MIVA),3,1-0,46,15.33
2,BYU (MPSF),8,2-0,111,13.88
3,Stanford (MPSF),6,2-0,75,12.50
4,Lewis (MIVA),7,1-1,87,12.43
5,Pepperdine (MPSF),3,1-0,35,11.67
6,Hawaii (Big West),6,2-0,69,11.50
7,UC Irvine (Big West),3,1-0,34,11.33
8,North Greenville (Conference Carolinas),7,1-1,79,11.29
9,UCLA (MPSF),6,2-0,65,10.83
10,Loyola Chicago (MVC),8,1-1,82,10.25
11,Southern California (MPSF),5,1-0,51,10.20
12,Princeton (EIVA),8,0-2,81,10.13
13,George Mason (EIVA),3,0-1,29,9.67
14,Urbana (DI Independent),4,0-1,38,9.50
15,Charleston (WV) (EIVA),6,0-2,56,9.33
16,King (TN) (Conference Carolinas),7,0-2,57,8.14
17,Daemen (DI Independent),3,0-1,18,6.00
