Rank,Team,S,W-L,Aces,Per Set
1,Long Beach St. (Big West),78,23-1,186,2.38
2,Merrimack (DI Independent),67,13-6,141,2.10
3,UC Irvine (Big West),74,16-6,153,2.07
4,UCLA (MPSF),76,17-4,148,1.95
5,Maryville (MO) (DI Independent),84,16-8,156,1.86
6,Hawaii (Big West),90,22-3,167,1.86
7,Loyola Chicago (MIVA),85,21-2,153,1.80
8,Rockhurst (DI Independent),100,18-10,172,1.72
9,CSUN (Big West),88,16-8,151,1.72
10,Pepperdine (MPSF),78,15-7,133,1.71
11,Fort Valley St. (SIAC),71,13-9,119,1.68
12,Ohio St. (MIVA),92,14-10,154,1.67
13,UC San Diego (Big West),88,17-7,145,1.65
14,Menlo (MPSF),74,9-12,121,1.64
15,Saint Francis (NEC),79,10-12,129,1.63
16,Daemen (NEC),75,11-10,120,1.60
17,Lewis (MIVA),111,20-8,177,1.59
18,Lincoln Memorial (DI Independent),70,19-1,111,1.59
19,Lindenwood (MIVA),83,8-14,129,1.55
20,LIU (NEC),85,17-5,129,1.52
21,Harvard (EIVA),68,9-10,102,1.50
22,CUI (MPSF),93,9-16,137,1.47
23,Mount Olive (Conference Carolinas),69,18-3,101,1.46
24,Vanguard  (MPSF),85,8-15,124,1.46
25,Quincy (MIVA),99,8-17,143,1.44
26,Edward Waters (SIAC),77,9-12,111,1.44
27,George Mason (EIVA),82,13-10,118,1.44
28,Erskine (Conference Carolinas),78,8-15,111,1.42
29,Princeton (EIVA),73,11-9,102,1.40
30,Purdue Fort Wayne (MIVA),88,11-12,122,1.39
31,Central St. (OH) (SIAC),76,6-16,103,1.36
32,Roberts Wesleyan (ECC),97,9-17,131,1.35
33,BYU (MPSF),92,17-7,124,1.35
34,Ball St. (MIVA),110,17-11,145,1.32
35,Catawba (DI Independent),77,12-10,101,1.31
36,Missouri S&T (DI Independent),78,10-13,102,1.31
37,Sacred Heart (EIVA),74,6-15,96,1.30
38,Stanford (MPSF),76,9-12,97,1.28
39,Grand Canyon (MPSF),88,15-9,112,1.27
40,Queens (NC) (MIVA),101,10-17,128,1.27
41,North Greenville (Conference Carolinas),79,10-11,100,1.27
42,Tusculum (DI Independent),91,14-11,114,1.25
43,Thomas More (DI Independent),63,7-11,78,1.24
43,UC Santa Barbara (Big West),84,11-12,104,1.24
45,Roosevelt  (DI Independent),75,5-16,92,1.23
46,FDU (NEC),72,8-11,88,1.22
47,LeMoyne-Owen (SIAC),50,2-14,61,1.22
48,Penn St. (EIVA),75,8-14,91,1.21
49,Kentucky St. (SIAC),20,0-7,24,1.20
50,Dominican (NY) (ECC),92,6-20,108,1.17
