Rank,Player,Cl,Ht,Pos,S,Aces,Per Set
1,"Isaiah Fedd, Fort Valley St. (SIAC)",So.,6-3,OH,59,39,0.661
2,"Ben Harrington, Princeton (EIVA)",Sr.,6-4,,91,58,0.637
3,"Nathan Zini, Saint Francis (NEC)",Jr.,6-7,OPP,107,63,0.589
4,"Jacob Pasteur, Ohio St. (MIVA)",Sr.,6-4,OH,110,63,0.573
5,"Omar Hoyos, George Mason (EIVA)",Sr.,6-6,OH,106,58,0.547
6,"Camden Gianni, Grand Canyon (MPSF)",Sr.,6-5,OPP,104,56,0.538
7,"Griffin Monrad, Roberts Wesleyan (ECC)",Fr.,6-3,OPP,82,41,0.500
8,"AJ Lewis, Lindenwood (MIVA)",Sr.,6-5,OH,96,46,0.479
9,"Ryan Parker, Saint Francis (NEC)",Sr.,6-3,S,101,48,0.475
10,"Luke Koster, Dominican (NY) (ECC)",Fr.,6-4,S,85,39,0.459
11,"Clay Wieter, Lindenwood (MIVA)",Sr.,6-6,OH,101,46,0.455
12,"Chey Cooper, Fort Valley St. (SIAC)",Sr.,6-1,OH,78,34,0.436
13,"Kevin Lamp, Stanford (MPSF)",Sr.,6-6,OH,74,32,0.432
13,"Will Rottman, Stanford (MPSF)",Sr.,6-6,OH,74,32,0.432
15,"Louis Sakanoko, Hawaii (Big West)",Fr.,6-5,OH,73,31,0.425
16,"Kyran  Versteegen, St. Thomas Aquinas (ECC)",Fr.,6-4,S,78,33,0.423
17,"Kupono Browne, BYU (MPSF)",Sr.,6-5,OPP,90,38,0.422
18,"Hilir Henno, UC Irvine (Big West)",Jr.,6-8,OH,117,49,0.419
19,"Kyle Hobus, CSUN (Big West)",Sr.,6-8,OH,110,46,0.418
20,"Anthony Cherfan, UC San Diego (Big West)",Jr.,6-6,OPP,89,37,0.416
21,"Jackson Lahey, Mount Olive (Conference Carolinas)",So.,6-2,S,92,38,0.413
22,"Tread Rosenthal, Hawaii (Big West)",Fr.,6-8,S,101,41,0.406
23,"Nyherowo Omene, Princeton (EIVA)",Jr.,6-7,,89,36,0.404
24,"Ido David, UCLA (MPSF)",Jr.,6-7,OPP,87,35,0.402
24,"Logan Whitaker, Merrimack (NEC)",So.,6-4,OH,87,35,0.402
26,"Matthew Staskunas, Belmont Abbey (Conference Carolinas)",Jr.,6-5,OH,95,38,0.400
27,"Jack Brinkman, Queens (NC) (MIVA)",Sr.,6-2,OH,91,36,0.396
28,"Keoni Thiim, Hawaii (Big West)",Sr.,6-0,OH,103,40,0.388
29,"Nathan Lietzke, Stanford (MPSF)",Sr.,6-6,S,98,38,0.388
30,"Brady Stump, Saint Francis (NEC)",So.,6-7,OH,93,36,0.387
31,"Geste Bianchi, UC Santa Barbara (Big West)",Jr.,6-6,OPP,97,37,0.381
32,"Michal Kowal, Penn St. (EIVA)",Sr.,6-2,OH,108,41,0.380
33,"Kevin Schuele, McKendree (MIVA)",Jr.,6-4,OH,88,33,0.375
34,"Griffin Walters, CSUN (Big West)",Sr.,6-6,OH,99,37,0.374
35,"Cooper Robinson, UCLA (MPSF)",Jr.,6-7,OH,95,35,0.368
36,"Andrew Fedmasu, NJIT (EIVA)",So.,6-5,MB,101,37,0.366
37,"Nate Meyer, Missouri S&T (DI Independent)",So.,6-3,OH,71,26,0.366
38,"Cameron Milligan, Daemen (NEC)",Sr.,6-6,OPP,82,30,0.366
39,"Jake Read, Loyola Chicago (MIVA)",Fr.,6-4,OH,83,30,0.361
39,"Zach Schneider, Daemen (NEC)",Sr.,6-6,OH,83,30,0.361
39,"Logan Taylor, North Greenville (Conference Carolinas)",Fr.,6-3,S,83,30,0.361
42,"Donovan Constable, CSUN (Big West)",Jr.,6-1,S,109,39,0.358
43,"Monty Pereson, Kentucky St. (SIAC)",Jr.,5-5,OH,68,24,0.353
43,"Michael Wright, Ohio St. (MIVA)",Sr.,6-4,S,102,36,0.353
45,"Simon Torwie, Long Beach St. (Big West)",Sr.,6-10,MB,94,33,0.351
46,"Andrew Rowan, UCLA (MPSF)",So.,6-6,S,115,40,0.348
47,"Ian Schuller, Lindenwood (MIVA)",So.,6-5,OPP,95,33,0.347
47,"Skyler Varga, Long Beach St. (Big West)",Jr.,6-7,OH,95,33,0.347
49,"Edgerrin Austin, Erskine (Conference Carolinas)",Sr.,5-11,OH,72,25,0.347
